model,f1-score,field
KNN,0.3879127966976264,combination_hsv+hog
GaussianNB,0.4317652589471377,combination_hsv+hog
LinearSVC,0.5194521908285834,combination_hsv+hog
SVC,0.3618246291894915,combination_hsv+hog
LogisticRegression,0.4731468916192921,combination_hsv+hog
RandomForest,0.3429406850459481,combination_hsv+hog
LGBM,0.6122620104353851,combination_hsv+hog
XGBoost,0.5733233793704118,combination_hsv+hog
AdaBoost,0.3744408042048695,combination_hsv+hog
ExtraTrees,0.4129798615528938,combination_hsv+hog
MLP,0.5005997835719197,combination_hsv+hog
DummyClassifier,0.2003335219769855,combination_hsv+hog
KNN,0.3879127966976264,combination_hsv+hu+hog
GaussianNB,0.4317652589471377,combination_hsv+hu+hog
LinearSVC,0.5179811855952051,combination_hsv+hu+hog
SVC,0.3618246291894915,combination_hsv+hu+hog
LogisticRegression,0.4731468916192921,combination_hsv+hu+hog
RandomForest,0.3217173054851362,combination_hsv+hu+hog
LGBM,0.609605116470105,combination_hsv+hu+hog
XGBoost,0.617139662882697,combination_hsv+hu+hog
AdaBoost,0.3744408042048695,combination_hsv+hu+hog
ExtraTrees,0.3484056052079884,combination_hsv+hu+hog
MLP,0.4935704588338742,combination_hsv+hu+hog
DummyClassifier,0.2155367829319352,combination_hsv+hu+hog
KNN,0.5339358567248573,combination_hsv+hu
GaussianNB,0.4092818157241522,combination_hsv+hu
LinearSVC,0.6319491327940344,combination_hsv+hu
SVC,0.5605453046830575,combination_hsv+hu
LogisticRegression,0.6121174089068826,combination_hsv+hu
RandomForest,0.4320547602153679,combination_hsv+hu
LGBM,0.6049910229011359,combination_hsv+hu
XGBoost,0.6456155136250111,combination_hsv+hu
AdaBoost,0.4933060428849902,combination_hsv+hu
ExtraTrees,0.4873438841859895,combination_hsv+hu
MLP,0.5758718829606136,combination_hsv+hu
DummyClassifier,0.2007224621597365,combination_hsv+hu
KNN,0.3879127966976264,combination_hsv+lbp+hog
GaussianNB,0.4317652589471377,combination_hsv+lbp+hog
LinearSVC,0.5179811855952051,combination_hsv+lbp+hog
SVC,0.3618246291894915,combination_hsv+lbp+hog
LogisticRegression,0.4731468916192921,combination_hsv+lbp+hog
RandomForest,0.3816523336848628,combination_hsv+lbp+hog
LGBM,0.610370870997719,combination_hsv+lbp+hog
XGBoost,0.5964678777689565,combination_hsv+lbp+hog
AdaBoost,0.4550588837685612,combination_hsv+lbp+hog
ExtraTrees,0.3771929824561403,combination_hsv+lbp+hog
MLP,0.4558528033639085,combination_hsv+lbp+hog
DummyClassifier,0.2393268866953077,combination_hsv+lbp+hog
KNN,0.3879127966976264,combination_hsv+lbp+hu+hog
GaussianNB,0.4317652589471377,combination_hsv+lbp+hu+hog
LinearSVC,0.5075545651176508,combination_hsv+lbp+hu+hog
SVC,0.3618246291894915,combination_hsv+lbp+hu+hog
LogisticRegression,0.4731468916192921,combination_hsv+lbp+hu+hog
RandomForest,0.3251386635018286,combination_hsv+lbp+hu+hog
LGBM,0.6802094094653078,combination_hsv+lbp+hu+hog
XGBoost,0.6407691054261039,combination_hsv+lbp+hu+hog
AdaBoost,0.4550588837685612,combination_hsv+lbp+hu+hog
ExtraTrees,0.3512465373961218,combination_hsv+lbp+hu+hog
MLP,0.5147003873319662,combination_hsv+lbp+hu+hog
DummyClassifier,0.2671984621050834,combination_hsv+lbp+hu+hog
KNN,0.5365017271751742,combination_hsv+lbp+hu
GaussianNB,0.4067781993894465,combination_hsv+lbp+hu
LinearSVC,0.6513696111404166,combination_hsv+lbp+hu
SVC,0.5490612496152661,combination_hsv+lbp+hu
LogisticRegression,0.6110126354810057,combination_hsv+lbp+hu
RandomForest,0.4623211875843453,combination_hsv+lbp+hu
LGBM,0.6197323373793963,combination_hsv+lbp+hu
XGBoost,0.5954424983289716,combination_hsv+lbp+hu
AdaBoost,0.5697247002191637,combination_hsv+lbp+hu
ExtraTrees,0.3785425101214574,combination_hsv+lbp+hu
MLP,0.5812735834509168,combination_hsv+lbp+hu
DummyClassifier,0.2550571504518873,combination_hsv+lbp+hu
KNN,0.5417840900914493,combination_hsv+lbp
GaussianNB,0.4067781993894465,combination_hsv+lbp
LinearSVC,0.6220308460179238,combination_hsv+lbp
SVC,0.542092072285978,combination_hsv+lbp
LogisticRegression,0.6206109022556391,combination_hsv+lbp
RandomForest,0.4377331789314416,combination_hsv+lbp
LGBM,0.6589426453972502,combination_hsv+lbp
XGBoost,0.6074282480394535,combination_hsv+lbp
AdaBoost,0.5697247002191637,combination_hsv+lbp
ExtraTrees,0.4230019493177388,combination_hsv+lbp
MLP,0.5973007832986517,combination_hsv+lbp
DummyClassifier,0.2669305227879081,combination_hsv+lbp
KNN,0.3767827306361141,combination_rgb+hog
GaussianNB,0.3643549798970029,combination_rgb+hog
LinearSVC,0.5194521908285834,combination_rgb+hog
SVC,0.3518759770713914,combination_rgb+hog
LogisticRegression,0.4731468916192921,combination_rgb+hog
RandomForest,0.378276541965581,combination_rgb+hog
LGBM,0.6115091891294945,combination_rgb+hog
XGBoost,0.6438840287738277,combination_rgb+hog
AdaBoost,0.4366185162182196,combination_rgb+hog
ExtraTrees,0.3317610062893082,combination_rgb+hog
MLP,0.4959925523393016,combination_rgb+hog
DummyClassifier,0.3056140350877193,combination_rgb+hog
KNN,0.3879811284253256,combination_rgb+hsv+hog
GaussianNB,0.4400928792569659,combination_rgb+hsv+hog
LinearSVC,0.5172546217107465,combination_rgb+hsv+hog
SVC,0.3518759770713914,combination_rgb+hsv+hog
LogisticRegression,0.4731468916192921,combination_rgb+hsv+hog
RandomForest,0.3718817109663792,combination_rgb+hsv+hog
LGBM,0.5913363526907465,combination_rgb+hsv+hog
XGBoost,0.6314453328062867,combination_rgb+hsv+hog
AdaBoost,0.3911819021237303,combination_rgb+hsv+hog
ExtraTrees,0.3777327935222672,combination_rgb+hsv+hog
MLP,0.5121775025799794,combination_rgb+hsv+hog
DummyClassifier,0.1997127321227044,combination_rgb+hsv+hog
KNN,0.3879811284253256,combination_rgb+hsv+hu+hog
GaussianNB,0.4400928792569659,combination_rgb+hsv+hu+hog
LinearSVC,0.5247062373378163,combination_rgb+hsv+hu+hog
SVC,0.3518759770713914,combination_rgb+hsv+hu+hog
LogisticRegression,0.4731468916192921,combination_rgb+hsv+hu+hog
RandomForest,0.3529625096332562,combination_rgb+hsv+hu+hog
LGBM,0.5577637075144,combination_rgb+hsv+hu+hog
XGBoost,0.6053036437246962,combination_rgb+hsv+hu+hog
AdaBoost,0.3911819021237303,combination_rgb+hsv+hu+hog
ExtraTrees,0.3218388200376101,combination_rgb+hsv+hu+hog
MLP,0.4547861130097971,combination_rgb+hsv+hu+hog
DummyClassifier,0.2414007201266373,combination_rgb+hsv+hu+hog
KNN,0.4761732200590845,combination_rgb+hsv+hu
GaussianNB,0.3947637437528395,combination_rgb+hsv+hu
LinearSVC,0.5574477612413121,combination_rgb+hsv+hu
SVC,0.529921875086074,combination_rgb+hsv+hu
LogisticRegression,0.5580055401662051,combination_rgb+hsv+hu
RandomForest,0.40998410617659,combination_rgb+hsv+hu
LGBM,0.5662636383224618,combination_rgb+hsv+hu
XGBoost,0.5983800445385911,combination_rgb+hsv+hu
AdaBoost,0.4281845134657697,combination_rgb+hsv+hu
ExtraTrees,0.449822819079785,combination_rgb+hsv+hu
MLP,0.5531224678236946,combination_rgb+hsv+hu
DummyClassifier,0.205221551903474,combination_rgb+hsv+hu
KNN,0.3879811284253256,combination_rgb+hsv+lbp+hog
GaussianNB,0.4400928792569659,combination_rgb+hsv+lbp+hog
LinearSVC,0.5147727830123475,combination_rgb+hsv+lbp+hog
SVC,0.3518759770713914,combination_rgb+hsv+lbp+hog
LogisticRegression,0.4731468916192921,combination_rgb+hsv+lbp+hog
RandomForest,0.3531328320802004,combination_rgb+hsv+lbp+hog
LGBM,0.5961834694262538,combination_rgb+hsv+lbp+hog
XGBoost,0.6328584854574753,combination_rgb+hsv+lbp+hog
AdaBoost,0.3360323886639677,combination_rgb+hsv+lbp+hog
ExtraTrees,0.4302496612143727,combination_rgb+hsv+lbp+hog
MLP,0.533724062077203,combination_rgb+hsv+lbp+hog
DummyClassifier,0.1516746411483253,combination_rgb+hsv+lbp+hog
KNN,0.3879811284253256,combination_rgb+hsv+lbp+hu+hog
GaussianNB,0.4400928792569659,combination_rgb+hsv+lbp+hu+hog
LinearSVC,0.5247062373378163,combination_rgb+hsv+lbp+hu+hog
SVC,0.3518759770713914,combination_rgb+hsv+lbp+hu+hog
LogisticRegression,0.4731468916192921,combination_rgb+hsv+lbp+hu+hog
RandomForest,0.3475681719992884,combination_rgb+hsv+lbp+hu+hog
LGBM,0.5844875629935052,combination_rgb+hsv+lbp+hu+hog
XGBoost,0.6531909483854563,combination_rgb+hsv+lbp+hu+hog
AdaBoost,0.3360323886639677,combination_rgb+hsv+lbp+hu+hog
ExtraTrees,0.3713675717756964,combination_rgb+hsv+lbp+hu+hog
MLP,0.5214987413325364,combination_rgb+hsv+lbp+hu+hog
DummyClassifier,0.2068400666738616,combination_rgb+hsv+lbp+hu+hog
KNN,0.4896115887805637,combination_rgb+hsv+lbp+hu
GaussianNB,0.3947637437528395,combination_rgb+hsv+lbp+hu
LinearSVC,0.6381658177842485,combination_rgb+hsv+lbp+hu
SVC,0.5461539081859961,combination_rgb+hsv+lbp+hu
LogisticRegression,0.6270546694730725,combination_rgb+hsv+lbp+hu
RandomForest,0.4195265178383351,combination_rgb+hsv+lbp+hu
LGBM,0.5494277896627008,combination_rgb+hsv+lbp+hu
XGBoost,0.5474595579858738,combination_rgb+hsv+lbp+hu
AdaBoost,0.4990697261024783,combination_rgb+hsv+lbp+hu
ExtraTrees,0.4481005836268995,combination_rgb+hsv+lbp+hu
MLP,0.5682728797410238,combination_rgb+hsv+lbp+hu
DummyClassifier,0.22889655833573,combination_rgb+hsv+lbp+hu
KNN,0.5380026969222447,combination_rgb+hsv+lbp
GaussianNB,0.3947637437528395,combination_rgb+hsv+lbp
