model,labels,precision,recall,f1-score,support
knn,bart,0.47540983606557374,0.8285714285714286,0.6041666666666667,35.0
knn,homer,0.44,0.44,0.44,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29736768149882903,0.33371428571428574,0.30295098039215684,95.0
knn,weighted avg,0.3510908418587452,0.4631578947368421,0.3879127966976264,95.0
nb,bart,0.5681818181818182,0.7142857142857143,0.6329113924050633,35.0
nb,homer,0.6,0.48,0.5333333333333332,25.0
nb,lisa,0.20689655172413793,0.46153846153846156,0.28571428571428575,13.0
nb,marge,1.0,0.1,0.18181818181818182,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
nb,macro avg,0.47501567398119116,0.3511648351648352,0.32675543865417284,95.0
nb,weighted avg,0.5008001979871309,0.4631578947368421,0.4317652589471377,95.0
lsvc,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lsvc,homer,0.5,0.56,0.5283018867924528,25.0
lsvc,lisa,0.21052631578947367,0.3076923076923077,0.25,13.0
lsvc,marge,0.3333333333333333,0.2,0.25,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.5008771929824561,0.4178241758241758,0.4286055828379426,95.0
lsvc,weighted avg,0.5519852262234534,0.5263157894736842,0.5194521908285834,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.625,0.4,0.48780487804878053,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
svc,macro avg,0.22196969696969698,0.26285714285714284,0.22429364887708286,95.0
svc,weighted avg,0.34310207336523124,0.4421052631578947,0.36182462918949154,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
rf,homer,0.4782608695652174,0.44,0.4583333333333333,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
rf,macro avg,0.19262187088274046,0.27085714285714285,0.2183993399339934,95.0
rf,weighted avg,0.304486512724499,0.45263157894736844,0.3540689595275317,95.0
lgbm,bart,0.660377358490566,1.0,0.7954545454545454,35.0
lgbm,homer,0.6923076923076923,0.72,0.7058823529411765,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
lgbm,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lgbm,maggie,1.0,0.6666666666666666,0.8,12.0
lgbm,accuracy,0.6631578947368421,0.6631578947368421,0.6631578947368421,0.6631578947368421
lgbm,macro avg,0.603870343492985,0.5173333333333333,0.521805841217606,95.0
lgbm,weighted avg,0.621974384437145,0.6631578947368421,0.6122620104353851,95.0
xgb,bart,0.6181818181818182,0.9714285714285714,0.7555555555555554,35.0
xgb,homer,0.7272727272727273,0.64,0.6808510638297872,25.0
xgb,lisa,0.0,0.0,0.0,13.0
xgb,marge,0.6666666666666666,0.4,0.5,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
xgb,macro avg,0.6024242424242424,0.468952380952381,0.4872813238770686,95.0
xgb,weighted avg,0.6156299840510366,0.6105263157894737,0.5733233793704118,95.0
ab,bart,0.5714285714285714,0.6857142857142857,0.6233766233766234,35.0
ab,homer,0.41935483870967744,0.52,0.46428571428571425,25.0
ab,lisa,0.0625,0.07692307692307693,0.06896551724137931,13.0
ab,marge,0.16666666666666666,0.1,0.125,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
ab,macro avg,0.24399001536098314,0.27652747252747256,0.2563255709807434,95.0
ab,weighted avg,0.3469793435200905,0.4105263157894737,0.3744408042048695,95.0
et,bart,0.48214285714285715,0.7714285714285715,0.5934065934065934,35.0
et,homer,0.36,0.36,0.36,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
et,macro avg,0.16842857142857143,0.22628571428571428,0.19068131868131868,95.0
et,weighted avg,0.2723684210526316,0.37894736842105264,0.3133603238866397,95.0
mlp,bart,0.6923076923076923,0.7714285714285715,0.7297297297297296,35.0
mlp,homer,0.6470588235294118,0.44,0.5238095238095238,25.0
mlp,lisa,0.21428571428571427,0.46153846153846156,0.2926829268292683,13.0
mlp,marge,0.42857142857142855,0.3,0.3529411764705882,10.0
mlp,maggie,0.75,0.25,0.375,12.0
mlp,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
mlp,macro avg,0.5464447317388494,0.4445934065934066,0.454832671367822,95.0
mlp,weighted avg,0.5945122988466641,0.5263157894736842,0.5312638784133159,95.0
dc,bart,0.4074074074074074,0.3142857142857143,0.3548387096774193,35.0
dc,homer,0.36363636363636365,0.32,0.3404255319148936,25.0
dc,lisa,0.1875,0.23076923076923078,0.20689655172413793,13.0
dc,marge,0.08695652173913043,0.2,0.12121212121212122,10.0
dc,maggie,0.2857142857142857,0.16666666666666666,0.2105263157894737,12.0
dc,accuracy,0.2736842105263158,0.2736842105263158,0.2736842105263158,0.2736842105263158
dc,macro avg,0.2662429156994374,0.24634432234432238,0.24677984606360917,95.0
dc,weighted avg,0.31669268416980084,0.2736842105263158,0.287979845374639,95.0
