model,labels,precision,recall,f1-score,support
knn,bart,0.47540983606557374,0.8285714285714286,0.6041666666666667,35.0
knn,homer,0.44,0.44,0.44,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29736768149882903,0.33371428571428574,0.30295098039215684,95.0
knn,weighted avg,0.3510908418587452,0.4631578947368421,0.3879127966976264,95.0
nb,bart,0.5681818181818182,0.7142857142857143,0.6329113924050633,35.0
nb,homer,0.6,0.48,0.5333333333333332,25.0
nb,lisa,0.20689655172413793,0.46153846153846156,0.28571428571428575,13.0
nb,marge,1.0,0.1,0.18181818181818182,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
nb,macro avg,0.47501567398119116,0.3511648351648352,0.32675543865417284,95.0
nb,weighted avg,0.5008001979871309,0.4631578947368421,0.4317652589471377,95.0
lsvc,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lsvc,homer,0.4827586206896552,0.56,0.5185185185185185,25.0
lsvc,lisa,0.2222222222222222,0.3076923076923077,0.2580645161290323,13.0
lsvc,marge,0.3333333333333333,0.2,0.25,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.4997680984069369,0.4178241758241758,0.42826181240896216,95.0
lsvc,weighted avg,0.5490485136010018,0.5263157894736842,0.5179811855952051,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.625,0.4,0.48780487804878053,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
svc,macro avg,0.22196969696969698,0.26285714285714284,0.22429364887708286,95.0
svc,weighted avg,0.34310207336523124,0.4421052631578947,0.36182462918949154,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4782608695652174,0.9428571428571428,0.6346153846153846,35.0
rf,homer,0.5,0.36,0.41860465116279066,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
rf,macro avg,0.26231884057971017,0.2805714285714286,0.24141323792486577,95.0
rf,weighted avg,0.34286803966437834,0.45263157894736844,0.3601591187270502,95.0
lgbm,bart,0.6140350877192983,1.0,0.7608695652173912,35.0
lgbm,homer,0.7692307692307693,0.8,0.7843137254901961,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
lgbm,marge,1.0,0.3,0.4615384615384615,10.0
lgbm,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
lgbm,accuracy,0.6631578947368421,0.6631578947368421,0.6631578947368421,0.6631578947368421
lgbm,macro avg,0.6766531713900135,0.5033333333333333,0.5189914092727392,95.0
lgbm,weighted avg,0.6602315505362597,0.6631578947368421,0.609605116470105,95.0
xgb,bart,0.6181818181818182,0.9714285714285714,0.7555555555555554,35.0
xgb,homer,0.8260869565217391,0.76,0.7916666666666667,25.0
xgb,lisa,0.0,0.0,0.0,13.0
xgb,marge,0.8,0.4,0.5333333333333333,10.0
xgb,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
xgb,accuracy,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685
xgb,macro avg,0.6488537549407114,0.5096190476190475,0.5337581699346405,95.0
xgb,weighted avg,0.6556688163095485,0.6526315789473685,0.617139662882697,95.0
ab,bart,0.5348837209302325,0.6571428571428571,0.5897435897435898,35.0
ab,homer,0.4583333333333333,0.44,0.4489795918367347,25.0
ab,lisa,0.047619047619047616,0.07692307692307693,0.058823529411764705,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,1.0,0.25,0.4,12.0
ab,accuracy,0.4,0.4,0.4,0.4
ab,macro avg,0.4081672203765227,0.2848131868131868,0.2995093421984178,95.0
ab,weighted avg,0.45050853878883257,0.4,0.39400232967681,95.0
et,bart,0.5161290322580645,0.9142857142857143,0.6597938144329898,35.0
et,homer,0.5217391304347826,0.48,0.4999999999999999,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
et,macro avg,0.3409069658719027,0.31885714285714284,0.29349722442505943,95.0
et,weighted avg,0.3976280111217735,0.4842105263157895,0.4070495429692392,95.0
mlp,bart,0.6842105263157895,0.7428571428571429,0.7123287671232877,35.0
mlp,homer,0.56,0.56,0.56,25.0
mlp,lisa,0.25,0.38461538461538464,0.30303030303030304,13.0
mlp,marge,0.4,0.2,0.26666666666666666,10.0
mlp,maggie,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
mlp,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
mlp,macro avg,0.5216992481203008,0.46082783882783884,0.47366830525878834,95.0
mlp,weighted avg,0.5659873367629601,0.5473684210526316,0.5458248097795777,95.0
dc,bart,0.4117647058823529,0.2,0.2692307692307692,35.0
dc,homer,0.3157894736842105,0.24,0.2727272727272727,25.0
dc,lisa,0.2692307692307692,0.5384615384615384,0.3589743589743589,13.0
dc,marge,0.045454545454545456,0.1,0.06250000000000001,10.0
dc,maggie,0.0,0.0,0.0,12.0
dc,accuracy,0.22105263157894736,0.22105263157894736,0.22105263157894736,0.22105263157894736
dc,macro avg,0.2084478988503756,0.2156923076923077,0.19268648018648016,95.0
dc,weighted avg,0.2764320737108744,0.22105263157894736,0.22666237271500425,95.0
