model,labels,precision,recall,f1-score,support
knn,bart,0.6785714285714286,0.5428571428571428,0.603174603174603,35.0
knn,homer,0.5172413793103449,0.6,0.5555555555555556,25.0
knn,lisa,0.21428571428571427,0.46153846153846156,0.2926829268292683,13.0
knn,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
knn,macro avg,0.6153530377668309,0.4775457875457875,0.49918949970297855,95.0
knn,weighted avg,0.6119306887909428,0.5157894736842106,0.5339358567248573,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.5,0.36,0.41860465116279066,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.5454545454545454,0.6,0.5714285714285713,10.0
nb,maggie,0.3181818181818182,0.5833333333333334,0.4117647058823529,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.3789772727272727,0.40580952380952384,0.3818521230081758,95.0
nb,weighted avg,0.4249102870813397,0.4105263157894737,0.4092818157241522,95.0
lsvc,bart,0.7777777777777778,0.6,0.6774193548387097,35.0
lsvc,homer,0.59375,0.76,0.6666666666666666,25.0
lsvc,lisa,0.3333333333333333,0.5384615384615384,0.41176470588235287,13.0
lsvc,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
lsvc,maggie,1.0,0.6666666666666666,0.8,12.0
lsvc,accuracy,0.6210526315789474,0.6210526315789474,0.6210526315789474,0.6210526315789474
lsvc,macro avg,0.6552579365079365,0.5930256410256409,0.6052877925363693,95.0
lsvc,weighted avg,0.6748799081035922,0.6210526315789474,0.6319491327940344,95.0
svc,bart,0.875,0.6,0.711864406779661,35.0
svc,homer,0.40425531914893614,0.76,0.5277777777777778,25.0
svc,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
svc,marge,0.5,0.5,0.5,10.0
svc,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
svc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
svc,macro avg,0.5844224924012158,0.504051282051282,0.5152968579641193,95.0
svc,weighted avg,0.6272476403775396,0.5578947368421052,0.5605453046830575,95.0
lr,bart,0.8,0.6857142857142857,0.7384615384615385,35.0
lr,homer,0.5128205128205128,0.8,0.625,25.0
lr,lisa,0.16666666666666666,0.15384615384615385,0.16,13.0
lr,marge,0.6666666666666666,0.4,0.5,10.0
lr,maggie,1.0,0.6666666666666666,0.8,12.0
lr,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lr,macro avg,0.6292307692307693,0.5412454212454212,0.5646923076923077,95.0
lr,weighted avg,0.648987854251012,0.6105263157894737,0.6121174089068826,95.0
rf,bart,0.5076923076923077,0.9428571428571428,0.6599999999999999,35.0
rf,homer,0.6666666666666666,0.64,0.6530612244897959,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
rf,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
rf,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
rf,macro avg,0.5682051282051281,0.3732380952380952,0.3549199372056515,95.0
rf,weighted avg,0.5589743589743589,0.5473684210526316,0.4668379740560191,95.0
lgbm,bart,0.5862068965517241,0.9714285714285714,0.7311827956989247,35.0
lgbm,homer,0.75,0.84,0.7924528301886793,25.0
lgbm,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
lgbm,marge,1.0,0.4,0.5714285714285715,10.0
lgbm,maggie,0.75,0.25,0.375,12.0
lgbm,accuracy,0.6631578947368421,0.6631578947368421,0.6631578947368421,0.6631578947368421
lgbm,macro avg,0.8172413793103448,0.5076703296703297,0.5225842680346637,95.0
lgbm,weighted avg,0.7501814882032668,0.6631578947368421,0.6049910229011359,95.0
xgb,bart,0.6071428571428571,0.9714285714285714,0.7472527472527473,35.0
xgb,homer,0.75,0.72,0.7346938775510204,25.0
xgb,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
xgb,marge,1.0,0.6,0.7499999999999999,10.0
xgb,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
xgb,accuracy,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895
xgb,macro avg,0.7428571428571429,0.5736703296703296,0.5993717811011043,95.0
xgb,weighted avg,0.7030075187969924,0.6842105263157895,0.6456155136250111,95.0
ab,bart,0.6756756756756757,0.7142857142857143,0.6944444444444444,35.0
ab,homer,0.3793103448275862,0.44,0.4074074074074074,25.0
ab,lisa,0.08333333333333333,0.07692307692307693,0.08,13.0
ab,marge,0.375,0.3,0.33333333333333326,10.0
ab,maggie,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
ab,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
ab,macro avg,0.4582194263228746,0.42290842490842495,0.43637037037037035,95.0
ab,weighted avg,0.4978744624842629,0.49473684210526314,0.49330604288499025,95.0
et,bart,0.5076923076923077,0.9428571428571428,0.6599999999999999,35.0
et,homer,0.5384615384615384,0.56,0.5490196078431373,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,1.0,0.1,0.18181818181818182,10.0
et,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
et,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
et,macro avg,0.5092307692307692,0.3372380952380952,0.30673898650369236,95.0
et,weighted avg,0.49716599190283395,0.5157894736842106,0.42482060766890495,95.0
mlp,bart,0.6785714285714286,0.5428571428571428,0.603174603174603,35.0
mlp,homer,0.5428571428571428,0.76,0.6333333333333332,25.0
mlp,lisa,0.25,0.3076923076923077,0.27586206896551724,13.0
mlp,marge,0.8,0.4,0.5333333333333333,10.0
mlp,maggie,0.8181818181818182,0.75,0.7826086956521738,12.0
mlp,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
mlp,macro avg,0.617922077922078,0.5521098901098902,0.5656624068917921,95.0
mlp,weighted avg,0.6146274777853725,0.5789473684210527,0.5816346212858482,95.0
dc,bart,0.42105263157894735,0.22857142857142856,0.2962962962962963,35.0
dc,homer,0.21428571428571427,0.24,0.2264150943396226,25.0
dc,lisa,0.18181818181818182,0.3076923076923077,0.2285714285714286,13.0
dc,marge,0.17647058823529413,0.3,0.22222222222222224,10.0
dc,maggie,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
dc,accuracy,0.23157894736842105,0.23157894736842105,0.23157894736842105,0.23157894736842105
dc,macro avg,0.22094764540584974,0.2319194139194139,0.213748627333533,95.0
dc,weighted avg,0.26900695307082795,0.23157894736842105,0.23544479647756705,95.0
