model,labels,precision,recall,f1-score,support
knn,bart,0.47540983606557374,0.8285714285714286,0.6041666666666667,35.0
knn,homer,0.44,0.44,0.44,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29736768149882903,0.33371428571428574,0.30295098039215684,95.0
knn,weighted avg,0.3510908418587452,0.4631578947368421,0.3879127966976264,95.0
nb,bart,0.5681818181818182,0.7142857142857143,0.6329113924050633,35.0
nb,homer,0.6,0.48,0.5333333333333332,25.0
nb,lisa,0.20689655172413793,0.46153846153846156,0.28571428571428575,13.0
nb,marge,1.0,0.1,0.18181818181818182,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
nb,macro avg,0.47501567398119116,0.3511648351648352,0.32675543865417284,95.0
nb,weighted avg,0.5008001979871309,0.4631578947368421,0.4317652589471377,95.0
lsvc,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lsvc,homer,0.4827586206896552,0.56,0.5185185185185185,25.0
lsvc,lisa,0.2222222222222222,0.3076923076923077,0.2580645161290323,13.0
lsvc,marge,0.3333333333333333,0.2,0.25,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.4997680984069369,0.4178241758241758,0.42826181240896216,95.0
lsvc,weighted avg,0.5490485136010018,0.5263157894736842,0.5179811855952051,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.625,0.4,0.48780487804878053,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
svc,macro avg,0.22196969696969698,0.26285714285714284,0.22429364887708286,95.0
svc,weighted avg,0.34310207336523124,0.4421052631578947,0.36182462918949154,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4857142857142857,0.9714285714285714,0.6476190476190476,35.0
rf,homer,0.42105263157894735,0.32,0.3636363636363636,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
rf,macro avg,0.18135338345864663,0.2582857142857143,0.20225108225108226,95.0
rf,weighted avg,0.2897506925207756,0.4421052631578947,0.3342902711323764,95.0
lgbm,bart,0.6481481481481481,1.0,0.7865168539325843,35.0
lgbm,homer,0.72,0.72,0.72,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
lgbm,marge,0.5,0.2,0.28571428571428575,10.0
lgbm,maggie,1.0,0.6666666666666666,0.8,12.0
lgbm,accuracy,0.6631578947368421,0.6631578947368421,0.6631578947368421,0.6631578947368421
lgbm,macro avg,0.5736296296296296,0.5173333333333333,0.518446227929374,95.0
lgbm,weighted avg,0.6072124756335282,0.6631578947368421,0.610370870997719,95.0
xgb,bart,0.6140350877192983,1.0,0.7608695652173912,35.0
xgb,homer,0.75,0.72,0.7346938775510204,25.0
xgb,lisa,0.0,0.0,0.0,13.0
xgb,marge,0.6666666666666666,0.4,0.5,10.0
xgb,maggie,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
xgb,accuracy,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685
xgb,macro avg,0.5728070175438597,0.5073333333333333,0.5102237996647935,95.0
xgb,weighted avg,0.5990304709141274,0.6526315789473685,0.5964678777689565,95.0
ab,bart,0.5945945945945946,0.6285714285714286,0.611111111111111,35.0
ab,homer,0.3870967741935484,0.48,0.42857142857142855,25.0
ab,lisa,0.1111111111111111,0.15384615384615385,0.12903225806451615,13.0
ab,marge,0.8333333333333334,0.5,0.625,10.0
ab,maggie,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
ab,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
ab,macro avg,0.5185604959798508,0.3858168498168498,0.4120762928827445,95.0
ab,weighted avg,0.508063241509761,0.45263157894736844,0.45505888376856124,95.0
et,bart,0.45614035087719296,0.7428571428571429,0.5652173913043478,35.0
et,homer,0.3793103448275862,0.44,0.4074074074074074,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.3894736842105263,0.3894736842105263,0.3894736842105263,0.3894736842105263
et,macro avg,0.16709013914095583,0.23657142857142857,0.194524959742351,95.0
et,weighted avg,0.2678702200146464,0.3894736842105263,0.3154504619035511,95.0
mlp,bart,0.5714285714285714,0.8,0.6666666666666666,35.0
mlp,homer,0.5909090909090909,0.52,0.5531914893617023,25.0
mlp,lisa,0.3125,0.38461538461538464,0.3448275862068966,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.42857142857142855,0.25,0.3157894736842105,12.0
mlp,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
mlp,macro avg,0.38068181818181823,0.39092307692307693,0.37609504318389514,95.0
mlp,weighted avg,0.46292720437457285,0.5157894736842106,0.47826687233974813,95.0
dc,bart,0.5,0.2571428571428571,0.33962264150943394,35.0
dc,homer,0.48148148148148145,0.52,0.5,25.0
dc,lisa,0.15789473684210525,0.23076923076923078,0.18749999999999997,13.0
dc,marge,0.13636363636363635,0.3,0.18749999999999997,10.0
dc,maggie,0.2222222222222222,0.16666666666666666,0.1904761904761905,12.0
dc,accuracy,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105
dc,macro avg,0.2995924153818891,0.29491575091575095,0.2810197663971249,95.0
dc,weighted avg,0.3749470699609204,0.3157894736842105,0.32615796566888916,95.0
