model,labels,precision,recall,f1-score,support
knn,bart,0.47540983606557374,0.8285714285714286,0.6041666666666667,35.0
knn,homer,0.44,0.44,0.44,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29736768149882903,0.33371428571428574,0.30295098039215684,95.0
knn,weighted avg,0.3510908418587452,0.4631578947368421,0.3879127966976264,95.0
nb,bart,0.5681818181818182,0.7142857142857143,0.6329113924050633,35.0
nb,homer,0.6,0.48,0.5333333333333332,25.0
nb,lisa,0.20689655172413793,0.46153846153846156,0.28571428571428575,13.0
nb,marge,1.0,0.1,0.18181818181818182,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
nb,macro avg,0.47501567398119116,0.3511648351648352,0.32675543865417284,95.0
nb,weighted avg,0.5008001979871309,0.4631578947368421,0.4317652589471377,95.0
lsvc,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lsvc,homer,0.4666666666666667,0.56,0.509090909090909,25.0
lsvc,lisa,0.17647058823529413,0.23076923076923078,0.20000000000000004,13.0
lsvc,marge,0.3333333333333333,0.2,0.25,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lsvc,macro avg,0.48739938080495354,0.4024395604395604,0.41476338729763385,95.0
lsvc,weighted avg,0.5385530389441096,0.5157894736842106,0.5075545651176508,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.625,0.4,0.48780487804878053,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
svc,macro avg,0.22196969696969698,0.26285714285714284,0.22429364887708286,95.0
svc,weighted avg,0.34310207336523124,0.4421052631578947,0.36182462918949154,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4444444444444444,0.9142857142857143,0.5981308411214952,35.0
rf,homer,0.4,0.24,0.3,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4,0.4,0.4,0.4
rf,macro avg,0.1688888888888889,0.23085714285714287,0.17962616822429905,95.0
rf,weighted avg,0.2690058479532164,0.4,0.2993113625184456,95.0
lgbm,bart,0.6730769230769231,1.0,0.8045977011494253,35.0
lgbm,homer,0.7777777777777778,0.84,0.8076923076923077,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
lgbm,marge,1.0,0.5,0.6666666666666666,10.0
lgbm,maggie,1.0,0.6666666666666666,0.8,12.0
lgbm,accuracy,0.7263157894736842,0.7263157894736842,0.7263157894736842,0.7263157894736842
lgbm,macro avg,0.6901709401709402,0.6013333333333333,0.6157913351016798,95.0
lgbm,weighted avg,0.6842330184435448,0.7263157894736842,0.6802094094653078,95.0
xgb,bart,0.68,0.9714285714285714,0.8,35.0
xgb,homer,0.7307692307692307,0.76,0.7450980392156863,25.0
xgb,lisa,0.0,0.0,0.0,13.0
xgb,marge,0.75,0.6,0.6666666666666665,10.0
xgb,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
xgb,accuracy,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895
xgb,macro avg,0.6035824175824176,0.5662857142857143,0.5686687306501549,95.0
xgb,weighted avg,0.630052053209948,0.6842105263157895,0.6407691054261039,95.0
ab,bart,0.5945945945945946,0.6285714285714286,0.611111111111111,35.0
ab,homer,0.3870967741935484,0.48,0.42857142857142855,25.0
ab,lisa,0.1111111111111111,0.15384615384615385,0.12903225806451615,13.0
ab,marge,0.8333333333333334,0.5,0.625,10.0
ab,maggie,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
ab,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
ab,macro avg,0.5185604959798508,0.3858168498168498,0.4120762928827445,95.0
ab,weighted avg,0.508063241509761,0.45263157894736844,0.45505888376856124,95.0
et,bart,0.4745762711864407,0.8,0.5957446808510638,35.0
et,homer,0.4642857142857143,0.52,0.49056603773584906,25.0
et,lisa,0.125,0.07692307692307693,0.09523809523809525,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
et,macro avg,0.212772397094431,0.2793846153846154,0.23630976276500162,95.0
et,weighted avg,0.31412960367019244,0.4421052631578947,0.36161378959240736,95.0
mlp,bart,0.7,0.8,0.7466666666666666,35.0
mlp,homer,0.7,0.56,0.6222222222222222,25.0
mlp,lisa,0.21739130434782608,0.38461538461538464,0.27777777777777773,13.0
mlp,marge,0.4,0.2,0.26666666666666666,10.0
mlp,maggie,0.5714285714285714,0.3333333333333333,0.4210526315789474,12.0
mlp,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
mlp,macro avg,0.5177639751552794,0.45558974358974363,0.4668771929824561,95.0
mlp,weighted avg,0.5861392611964694,0.5578947368421052,0.5580978762696214,95.0
dc,bart,0.25,0.17142857142857143,0.2033898305084746,35.0
dc,homer,0.16666666666666666,0.16,0.16326530612244897,25.0
dc,lisa,0.14285714285714285,0.23076923076923078,0.17647058823529413,13.0
dc,marge,0.13636363636363635,0.3,0.18749999999999997,10.0
dc,maggie,0.0,0.0,0.0,12.0
dc,accuracy,0.16842105263157894,0.16842105263157894,0.16842105263157894,0.16842105263157894
dc,macro avg,0.13917748917748918,0.17243956043956046,0.14612514497324353,95.0
dc,weighted avg,0.16986785144679883,0.16842105263157894,0.16178309860964907,95.0
