model,labels,precision,recall,f1-score,support
knn,bart,0.65625,0.6,0.626865671641791,35.0
knn,homer,0.48484848484848486,0.64,0.5517241379310344,25.0
knn,lisa,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
knn,marge,1.0,0.2,0.33333333333333337,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
knn,macro avg,0.666314935064935,0.46620512820512816,0.49681187316327513,95.0
knn,weighted avg,0.6270121326042379,0.5263157894736842,0.5365017271751742,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.47368421052631576,0.36,0.40909090909090906,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.5454545454545454,0.6,0.5714285714285713,10.0
nb,maggie,0.3181818181818182,0.5833333333333334,0.4117647058823529,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.37371411483253586,0.40580952380952384,0.3799493745937995,95.0
nb,weighted avg,0.41798507932510703,0.4105263157894737,0.4067781993894465,95.0
lsvc,bart,0.8214285714285714,0.6571428571428571,0.73015873015873,35.0
lsvc,homer,0.5,0.84,0.6268656716417911,25.0
lsvc,lisa,0.5,0.3076923076923077,0.380952380952381,13.0
lsvc,marge,0.7142857142857143,0.5,0.588235294117647,10.0
lsvc,maggie,0.9,0.75,0.8181818181818182,12.0
lsvc,accuracy,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685
lsvc,macro avg,0.687142857142857,0.6109670329670329,0.6288787790104735,95.0
lsvc,weighted avg,0.6915037593984963,0.6526315789473685,0.6513696111404166,95.0
svc,bart,0.8214285714285714,0.6571428571428571,0.73015873015873,35.0
svc,homer,0.3829787234042553,0.72,0.4999999999999999,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.5555555555555556,0.5,0.5263157894736842,10.0
svc,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
svc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
svc,macro avg,0.5519925700776765,0.49209523809523814,0.49866332497911436,95.0
svc,weighted avg,0.5882107751648625,0.5578947368421052,0.5490612496152661,95.0
lr,bart,0.78125,0.7142857142857143,0.7462686567164178,35.0
lr,homer,0.5116279069767442,0.88,0.6470588235294118,25.0
lr,lisa,0.2,0.07692307692307693,0.1111111111111111,13.0
lr,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
lr,maggie,1.0,0.6666666666666666,0.8,12.0
lr,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lr,macro avg,0.6128612956810631,0.5475750915750915,0.5550053653302116,95.0
lr,weighted avg,0.6363024567232034,0.631578947368421,0.6110126354810057,95.0
rf,bart,0.5161290322580645,0.9142857142857143,0.6597938144329898,35.0
rf,homer,0.6428571428571429,0.72,0.6792452830188679,25.0
rf,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
rf,marge,0.5,0.1,0.16666666666666669,10.0
rf,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
