model,labels,precision,recall,f1-score,support
knn,bart,0.6060606060606061,0.5714285714285714,0.588235294117647,35.0
knn,homer,0.5,0.56,0.5283018867924528,25.0
knn,lisa,0.25,0.46153846153846156,0.32432432432432434,13.0
knn,marge,1.0,0.3,0.4615384615384615,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
knn,macro avg,0.6712121212121211,0.49526007326007326,0.5278484144072088,95.0
knn,weighted avg,0.6206539074960128,0.5263157894736842,0.5417840900914493,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.47368421052631576,0.36,0.40909090909090906,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.5454545454545454,0.6,0.5714285714285713,10.0
nb,maggie,0.3181818181818182,0.5833333333333334,0.4117647058823529,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.37371411483253586,0.40580952380952384,0.3799493745937995,95.0
nb,weighted avg,0.41798507932510703,0.4105263157894737,0.4067781993894465,95.0
lsvc,bart,0.8333333333333334,0.7142857142857143,0.7692307692307692,35.0
lsvc,homer,0.5,0.88,0.6376811594202899,25.0
lsvc,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
lsvc,marge,0.625,0.5,0.5555555555555556,10.0
lsvc,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
lsvc,accuracy,0.6421052631578947,0.6421052631578947,0.6421052631578947,0.6421052631578947
lsvc,macro avg,0.6194444444444445,0.5675750915750915,0.5684038609869813,95.0
lsvc,weighted avg,0.6508771929824562,0.6421052631578947,0.6220308460179238,95.0
svc,bart,0.9090909090909091,0.5714285714285714,0.7017543859649122,35.0
svc,homer,0.4,0.8,0.5333333333333333,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.45454545454545453,0.5,0.47619047619047616,10.0
svc,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
svc,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
svc,macro avg,0.5527272727272727,0.490952380952381,0.48962406015037596,95.0
svc,weighted avg,0.6143540669856459,0.5473684210526316,0.542092072285978,95.0
lr,bart,0.8620689655172413,0.7142857142857143,0.7812500000000001,35.0
lr,homer,0.4888888888888889,0.88,0.6285714285714286,25.0
lr,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
lr,marge,0.6666666666666666,0.4,0.5,10.0
lr,maggie,1.0,0.6666666666666666,0.8,12.0
lr,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lr,macro avg,0.632096332785988,0.5475750915750915,0.5619642857142857,95.0
lr,weighted avg,0.6622994267277388,0.631578947368421,0.6206109022556391,95.0
