model,labels,precision,recall,f1-score,support
knn,bart,0.5526315789473685,0.6,0.5753424657534247,35.0
knn,homer,0.6111111111111112,0.44,0.5116279069767442,25.0
knn,lisa,0.1875,0.46153846153846156,0.26666666666666666,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
knn,macro avg,0.47024853801169597,0.416974358974359,0.4180958289319987,95.0
knn,weighted avg,0.5163935056940597,0.47368421052631576,0.4761732200590845,95.0
nb,bart,0.5277777777777778,0.5428571428571428,0.5352112676056338,35.0
nb,homer,0.4782608695652174,0.44,0.4583333333333333,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.4,0.2,0.26666666666666666,10.0
nb,maggie,0.3157894736842105,0.5,0.3870967741935484,12.0
nb,accuracy,0.4,0.4,0.4,0.4
nb,macro avg,0.3443656242054412,0.3365714285714286,0.3294616083598364,95.0
nb,weighted avg,0.40229702784803356,0.4,0.39476374375283957,95.0
lsvc,bart,0.5833333333333334,0.6,0.591549295774648,35.0
lsvc,homer,0.5172413793103449,0.6,0.5555555555555556,25.0
lsvc,lisa,0.3684210526315789,0.5384615384615384,0.4375,13.0
lsvc,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lsvc,maggie,1.0,0.6666666666666666,0.8,12.0
lsvc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lsvc,macro avg,0.6271324863883848,0.5210256410256411,0.5384594318045023,95.0
lsvc,weighted avg,0.5979351736873946,0.5578947368421052,0.5574477612413121,95.0
svc,bart,0.6875,0.6285714285714286,0.6567164179104478,35.0
svc,homer,0.4594594594594595,0.68,0.5483870967741935,25.0
svc,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
svc,marge,0.38461538461538464,0.5,0.4347826086956522,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
svc,macro avg,0.5348863973863974,0.4770989010989011,0.48131055800939204,95.0
svc,weighted avg,0.5605503493661388,0.5368421052631579,0.529921875086074,95.0
lr,bart,0.6486486486486487,0.6857142857142857,0.6666666666666667,35.0
lr,homer,0.5,0.64,0.5614035087719298,25.0
lr,lisa,0.23529411764705882,0.3076923076923077,0.26666666666666666,13.0
lr,marge,1.0,0.2,0.33333333333333337,10.0
lr,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
lr,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lr,macro avg,0.6767885532591416,0.48334798534798534,0.5129824561403509,95.0
lr,weighted avg,0.6343318550748892,0.5578947368421052,0.5580055401662051,95.0
rf,bart,0.4794520547945205,1.0,0.6481481481481481,35.0
rf,homer,0.6842105263157895,0.52,0.5909090909090909,25.0
rf,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
rf,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
rf,macro avg,0.6327325162220621,0.3514358974358974,0.33191401191401193,95.0
rf,weighted avg,0.6198535271126626,0.5368421052631579,0.45021824179718917,95.0
lgbm,bart,0.5573770491803278,0.9714285714285714,0.7083333333333333,35.0
lgbm,homer,0.7037037037037037,0.76,0.7307692307692308,25.0
lgbm,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
lgbm,marge,1.0,0.1,0.18181818181818182,10.0
lgbm,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
lgbm,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lgbm,macro avg,0.8522161505768062,0.465003663003663,0.4704026365791072,95.0
lgbm,weighted avg,0.7589556769884639,0.631578947368421,0.5662636383224618,95.0
xgb,bart,0.5333333333333333,0.9142857142857143,0.6736842105263158,35.0
xgb,homer,0.72,0.72,0.72,25.0
xgb,lisa,1.0,0.23076923076923078,0.375,13.0
xgb,marge,1.0,0.2,0.33333333333333337,10.0
xgb,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
xgb,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
xgb,macro avg,0.8506666666666668,0.49634432234432235,0.5380505675954593,95.0
xgb,weighted avg,0.7543859649122807,0.631578947368421,0.5983800445385911,95.0
ab,bart,0.5416666666666666,0.37142857142857144,0.44067796610169496,35.0
ab,homer,0.35714285714285715,0.6,0.44776119402985076,25.0
ab,lisa,0.125,0.15384615384615385,0.13793103448275862,13.0
ab,marge,0.4,0.2,0.26666666666666666,10.0
ab,maggie,1.0,0.6666666666666666,0.8,12.0
ab,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
ab,macro avg,0.4847619047619047,0.3983882783882784,0.4186073722561942,95.0
ab,weighted avg,0.47907268170426065,0.42105263157894735,0.4281845134657697,95.0
et,bart,0.5,0.9142857142857143,0.6464646464646465,35.0
et,homer,0.5384615384615384,0.56,0.5490196078431373,25.0
et,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
et,marge,1.0,0.1,0.18181818181818182,10.0
et,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
et,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
et,macro avg,0.6076923076923076,0.3469084249084249,0.3306985824632883,95.0
et,weighted avg,0.562753036437247,0.5157894736842106,0.4380795125067572,95.0
mlp,bart,0.631578947368421,0.6857142857142857,0.6575342465753424,35.0
mlp,homer,0.5416666666666666,0.52,0.5306122448979592,25.0
mlp,lisa,0.3333333333333333,0.5384615384615384,0.41176470588235287,13.0
mlp,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
mlp,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
mlp,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
mlp,macro avg,0.6124269005847953,0.5221684981684982,0.5339016533905449,95.0
