model,labels,precision,recall,f1-score,support
knn,bart,0.5476190476190477,0.6571428571428571,0.5974025974025974,35.0
knn,homer,0.7058823529411765,0.48,0.5714285714285713,25.0
knn,lisa,0.13793103448275862,0.3076923076923077,0.1904761904761905,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
knn,macro avg,0.4782864870085966,0.4056336996336996,0.41922989291410334,95.0
knn,weighted avg,0.5327034625102309,0.4842105263157895,0.48961158878056377,95.0
nb,bart,0.5277777777777778,0.5428571428571428,0.5352112676056338,35.0
nb,homer,0.4782608695652174,0.44,0.4583333333333333,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.4,0.2,0.26666666666666666,10.0
nb,maggie,0.3157894736842105,0.5,0.3870967741935484,12.0
nb,accuracy,0.4,0.4,0.4,0.4
nb,macro avg,0.3443656242054412,0.3365714285714286,0.3294616083598364,95.0
nb,weighted avg,0.40229702784803356,0.4,0.39476374375283957,95.0
lsvc,bart,0.6666666666666666,0.6857142857142857,0.676056338028169,35.0
lsvc,homer,0.5625,0.72,0.631578947368421,25.0
lsvc,lisa,0.5,0.5384615384615384,0.5185185185185186,13.0
lsvc,marge,1.0,0.3,0.4615384615384615,10.0
lsvc,maggie,0.9,0.75,0.8181818181818182,12.0
lsvc,accuracy,0.6421052631578947,0.6421052631578947,0.6421052631578947,0.6421052631578947
lsvc,macro avg,0.7258333333333333,0.5988351648351647,0.6211748167270776,95.0
lsvc,weighted avg,0.6810087719298245,0.6421052631578947,0.6381658177842485,95.0
svc,bart,0.71875,0.6571428571428571,0.6865671641791045,35.0
svc,homer,0.46153846153846156,0.72,0.5625,25.0
svc,lisa,0.2,0.07692307692307693,0.1111111111111111,13.0
svc,marge,0.38461538461538464,0.5,0.4347826086956522,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
svc,macro avg,0.5529807692307692,0.49081318681318675,0.49232551013050685,95.0
svc,weighted avg,0.5804301619433199,0.5578947368421052,0.5461539081859961,95.0
lr,bart,0.7142857142857143,0.7142857142857143,0.7142857142857143,35.0
lr,homer,0.5263157894736842,0.8,0.6349206349206348,25.0
lr,lisa,0.4,0.3076923076923077,0.34782608695652173,13.0
lr,marge,0.8,0.4,0.5333333333333333,10.0
lr,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
lr,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lr,macro avg,0.6881203007518797,0.5610622710622711,0.5934415749518724,95.0
lr,weighted avg,0.6669252077562327,0.631578947368421,0.6270546694730725,95.0
rf,bart,0.47761194029850745,0.9142857142857143,0.6274509803921569,35.0
rf,homer,0.56,0.56,0.56,25.0
rf,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
rf,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
rf,macro avg,0.5075223880597015,0.32690842490842487,0.2949260935143288,95.0
rf,weighted avg,0.5180675569520817,0.5052631578947369,0.41621338413908077,95.0
lgbm,bart,0.532258064516129,0.9428571428571428,0.6804123711340205,35.0
lgbm,homer,0.6923076923076923,0.72,0.7058823529411765,25.0
lgbm,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
lgbm,marge,1.0,0.1,0.18181818181818182,10.0
lgbm,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
lgbm,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lgbm,macro avg,0.8449131513647643,0.4512893772893773,0.4598410685736337,95.0
lgbm,weighted avg,0.7467023638500718,0.6105263157894737,0.5494277896627008,95.0
xgb,bart,0.515625,0.9428571428571428,0.6666666666666666,35.0
xgb,homer,0.76,0.76,0.76,25.0
xgb,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
xgb,marge,1.0,0.1,0.18181818181818182,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
xgb,macro avg,0.8551249999999999,0.44262271062271064,0.4502683982683983,95.0
xgb,weighted avg,0.7583881578947368,0.6105263157894737,0.5474595579858738,95.0
ab,bart,0.5660377358490566,0.8571428571428571,0.6818181818181818,35.0
ab,homer,0.5769230769230769,0.6,0.5882352941176471,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
ab,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
ab,macro avg,0.4285921625544267,0.40809523809523807,0.4013791162397974,95.0
ab,weighted avg,0.48667787029256737,0.5473684210526316,0.4990697261024783,95.0
et,bart,0.47058823529411764,0.9142857142857143,0.6213592233009708,35.0
et,homer,0.47619047619047616,0.4,0.43478260869565216,25.0
et,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
et,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
et,macro avg,0.3893557422969187,0.31157509157509156,0.2895616997326579,95.0
et,weighted avg,0.4285124576146248,0.47368421052631576,0.3941277687676346,95.0
