model,labels,precision,recall,f1-score,support
knn,bart,0.5454545454545454,0.6857142857142857,0.6075949367088607,35.0
knn,homer,0.75,0.48,0.5853658536585366,25.0
knn,lisa,0.25925925925925924,0.5384615384615384,0.35000000000000003,13.0
knn,marge,1.0,0.1,0.18181818181818182,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
knn,macro avg,0.7109427609427609,0.47750183150183156,0.49232421548974736,95.0
knn,weighted avg,0.6653818890660996,0.5368421052631579,0.5380026969222447,95.0
nb,bart,0.5277777777777778,0.5428571428571428,0.5352112676056338,35.0
nb,homer,0.4782608695652174,0.44,0.4583333333333333,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.4,0.2,0.26666666666666666,10.0
nb,maggie,0.3157894736842105,0.5,0.3870967741935484,12.0
nb,accuracy,0.4,0.4,0.4,0.4
nb,macro avg,0.3443656242054412,0.3365714285714286,0.3294616083598364,95.0
nb,weighted avg,0.40229702784803356,0.4,0.39476374375283957,95.0
lsvc,bart,0.6666666666666666,0.6857142857142857,0.676056338028169,35.0
lsvc,homer,0.53125,0.68,0.5964912280701754,25.0
lsvc,lisa,0.5,0.5384615384615384,0.5185185185185186,13.0
lsvc,marge,1.0,0.3,0.4615384615384615,10.0
lsvc,maggie,0.9,0.75,0.8181818181818182,12.0
lsvc,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lsvc,macro avg,0.7195833333333332,0.5908351648351647,0.6141572728674286,95.0
lsvc,weighted avg,0.6727850877192981,0.631578947368421,0.628932207442605,95.0
svc,bart,0.6551724137931034,0.5428571428571428,0.5937499999999999,35.0
svc,homer,0.42105263157894735,0.64,0.5079365079365079,25.0
svc,lisa,0.125,0.07692307692307693,0.09523809523809525,13.0
svc,marge,0.35714285714285715,0.5,0.41666666666666663,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
svc,macro avg,0.5116735805029815,0.451956043956044,0.45605158730158724,95.0
svc,weighted avg,0.5331976720385355,0.49473684210526314,0.4935202589807853,95.0
lr,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lr,homer,0.5428571428571428,0.76,0.6333333333333332,25.0
lr,lisa,0.45454545454545453,0.38461538461538464,0.41666666666666663,13.0
lr,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lr,maggie,1.0,0.6666666666666666,0.8,12.0
lr,accuracy,0.6421052631578947,0.6421052631578947,0.6421052631578947,0.6421052631578947
lr,macro avg,0.6749191159717476,0.5565421245421246,0.5794836670179135,95.0
lr,weighted avg,0.6633221810507128,0.6421052631578947,0.6296561477455492,95.0
rf,bart,0.44594594594594594,0.9428571428571428,0.6055045871559633,35.0
rf,homer,0.5555555555555556,0.4,0.46511627906976744,25.0
rf,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
rf,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
rf,macro avg,0.6003003003003002,0.316007326007326,0.29822673734771027,95.0
rf,weighted avg,0.5736525999683895,0.4842105263157895,0.40140408463182536,95.0
lgbm,bart,0.5396825396825397,0.9714285714285714,0.6938775510204082,35.0
