model,labels,precision,recall,f1-score,support
knn,bart,0.5714285714285714,0.6857142857142857,0.6233766233766234,35.0
knn,homer,0.8666666666666667,0.52,0.65,25.0
knn,lisa,0.3103448275862069,0.6923076923076923,0.4285714285714286,13.0
knn,marge,1.0,0.2,0.33333333333333337,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
knn,macro avg,0.749688013136289,0.5362710622710624,0.5544246981089087,95.0
knn,weighted avg,0.7126436781609196,0.5789473684210527,0.5875268314326486,95.0
nb,bart,0.5277777777777778,0.5428571428571428,0.5352112676056338,35.0
nb,homer,0.4782608695652174,0.44,0.4583333333333333,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.4,0.2,0.26666666666666666,10.0
nb,maggie,0.3157894736842105,0.5,0.3870967741935484,12.0
nb,accuracy,0.4,0.4,0.4,0.4
nb,macro avg,0.3443656242054412,0.3365714285714286,0.3294616083598364,95.0
nb,weighted avg,0.40229702784803356,0.4,0.39476374375283957,95.0
lsvc,bart,0.5897435897435898,0.6571428571428571,0.6216216216216216,35.0
lsvc,homer,0.5555555555555556,0.6,0.576923076923077,25.0
lsvc,lisa,0.4375,0.5384615384615384,0.4827586206896552,13.0
lsvc,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lsvc,maggie,0.9,0.75,0.8181818181818182,12.0
lsvc,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
lsvc,macro avg,0.6298931623931623,0.5491208791208791,0.5614354890216959,95.0
lsvc,weighted avg,0.6072008547008548,0.5894736842105263,0.5826400067779377,95.0
svc,bart,0.7307692307692307,0.5428571428571428,0.6229508196721311,35.0
svc,homer,0.4,0.64,0.4923076923076923,25.0
svc,lisa,0.1111111111111111,0.07692307692307693,0.09090909090909093,13.0
svc,marge,0.35714285714285715,0.5,0.41666666666666663,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
svc,macro avg,0.5198046398046399,0.451956043956044,0.4579001872444494,95.0
svc,weighted avg,0.5536083799241694,0.49473684210526314,0.499573219417913,95.0
lr,bart,0.6666666666666666,0.7428571428571429,0.7027027027027027,35.0
lr,homer,0.5666666666666667,0.68,0.6181818181818183,25.0
lr,lisa,0.35294117647058826,0.46153846153846156,0.4000000000000001,13.0
lr,marge,1.0,0.1,0.18181818181818182,10.0
lr,maggie,1.0,0.6666666666666666,0.8,12.0
lr,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lr,macro avg,0.7172549019607843,0.5302124542124542,0.5405405405405406,95.0
lr,weighted avg,0.6746130030959753,0.6105263157894737,0.5964981249191776,95.0
rf,bart,0.47058823529411764,0.9142857142857143,0.6213592233009708,35.0
rf,homer,0.6086956521739131,0.56,0.5833333333333334,25.0
rf,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
rf,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
rf,macro avg,0.6158567774936061,0.34229304029304025,0.3250410754294249,95.0
rf,weighted avg,0.5967155741014941,0.5157894736842106,0.43835501749145084,95.0
lgbm,bart,0.55,0.9428571428571428,0.6947368421052631,35.0
lgbm,homer,0.6666666666666666,0.72,0.6923076923076923,25.0
lgbm,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
lgbm,marge,1.0,0.1,0.18181818181818182,10.0
lgbm,maggie,1.0,0.5,0.6666666666666666,12.0
lgbm,accuracy,0.6210526315789474,0.6210526315789474,0.6210526315789474,0.6210526315789474
lgbm,macro avg,0.8433333333333334,0.467956043956044,0.4756773051509893,95.0
lgbm,weighted avg,0.7464912280701753,0.6210526315789474,0.5610400679652756,95.0
xgb,bart,0.5423728813559322,0.9142857142857143,0.6808510638297872,35.0
