model,labels,precision,recall,f1-score,support
knn,bart,0.45098039215686275,0.6571428571428571,0.5348837209302325,35.0
knn,homer,0.8,0.48,0.6,25.0
knn,lisa,0.13043478260869565,0.23076923076923078,0.16666666666666669,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,1.0,0.5,0.6666666666666666,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.47628303495311164,0.37358241758241756,0.39364341085271315,95.0
knn,weighted avg,0.5208417463095077,0.4631578947368421,0.46197470420236636,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.35714285714285715,0.2,0.25641025641025644,25.0
nb,lisa,0.0625,0.07692307692307693,0.06896551724137931,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.23076923076923078,0.5,0.3157894736842105,12.0
nb,accuracy,0.30526315789473685,0.30526315789473685,0.30526315789473685,0.30526315789473685
nb,macro avg,0.2363324175824176,0.25252747252747254,0.22972558678060206,95.0
nb,weighted avg,0.32741107576633893,0.30526315789473685,0.30376290366795383,95.0
lsvc,bart,0.5853658536585366,0.6857142857142857,0.6315789473684211,35.0
lsvc,homer,0.48,0.48,0.48,25.0
lsvc,lisa,0.42105263157894735,0.6153846153846154,0.5,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.75,0.5,0.6,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.4472836970474968,0.45621978021978027,0.4423157894736843,95.0
lsvc,weighted avg,0.4943314640902641,0.5263157894736842,0.503213296398892,95.0
svc,bart,0.5531914893617021,0.7428571428571429,0.6341463414634146,35.0
svc,homer,0.5909090909090909,0.52,0.5531914893617023,25.0
svc,lisa,0.1111111111111111,0.07692307692307693,0.09090909090909093,13.0
svc,marge,0.18181818181818182,0.2,0.1904761904761905,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
svc,macro avg,0.4874059746400173,0.40795604395604396,0.427077955775413,95.0
svc,weighted avg,0.5199690069790854,0.5052631578947369,0.4959104133878121,95.0
lr,bart,0.5476190476190477,0.6571428571428571,0.5974025974025974,35.0
lr,homer,0.4642857142857143,0.52,0.49056603773584906,25.0
lr,lisa,0.21052631578947367,0.3076923076923077,0.25,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.5,0.6666666666666666,12.0
lr,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
lr,macro avg,0.44448621553884704,0.39696703296703295,0.40092706036102255,95.0
lr,weighted avg,0.47905949083234406,0.4842105263157895,0.4676130721314435,95.0
rf,bart,0.44594594594594594,0.9428571428571428,0.6055045871559633,35.0
rf,homer,0.35714285714285715,0.2,0.25641025641025644,25.0
rf,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
rf,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
rf,macro avg,0.32728442728442725,0.2606227106227106,0.22571630204657728,95.0
rf,weighted avg,0.3688071530176793,0.42105263157894735,0.32564473993735227,95.0
lgbm,bart,0.5245901639344263,0.9142857142857143,0.6666666666666666,35.0
lgbm,homer,0.7142857142857143,0.6,0.6521739130434783,25.0
lgbm,lisa,0.6,0.23076923076923078,0.33333333333333337,13.0
lgbm,marge,0.5,0.1,0.16666666666666669,10.0
lgbm,maggie,1.0,0.5,0.6666666666666666,12.0
lgbm,accuracy,0.6,0.6,0.6,0.6
lgbm,macro avg,0.6677751756440281,0.46901098901098903,0.4971014492753624,95.0
lgbm,weighted avg,0.6422926167878713,0.6,0.564607170099161,95.0
xgb,bart,0.5076923076923077,0.9428571428571428,0.6599999999999999,35.0
xgb,homer,0.6818181818181818,0.6,0.6382978723404256,25.0
xgb,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
xgb,marge,1.0,0.1,0.18181818181818182,10.0
xgb,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
xgb,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
xgb,macro avg,0.7379020979020978,0.42728937728937727,0.4403369363219175,95.0
xgb,weighted avg,0.6664703717335295,0.5789473684210527,0.5228187946256584,95.0
ab,bart,0.5777777777777777,0.7428571428571429,0.65,35.0
ab,homer,0.41379310344827586,0.48,0.4444444444444445,25.0
ab,lisa,0.18181818181818182,0.15384615384615385,0.16666666666666669,13.0
ab,marge,0.6666666666666666,0.6,0.631578947368421,10.0
ab,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
ab,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
ab,macro avg,0.5680111459421804,0.41200732600732604,0.4093072424651372,95.0
ab,weighted avg,0.543130029881391,0.49473684210526314,0.465154958922272,95.0
et,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
et,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
et,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
et,marge,0.5,0.1,0.16666666666666669,10.0
et,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
et,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
et,macro avg,0.4545454545454545,0.3149084249084249,0.2987438181508121,95.0
et,weighted avg,0.45964912280701753,0.47368421052631576,0.3981312428955262,95.0
mlp,bart,0.5348837209302325,0.6571428571428571,0.5897435897435898,35.0
mlp,homer,0.5,0.36,0.41860465116279066,25.0
mlp,lisa,0.36,0.6923076923076923,0.47368421052631576,13.0
mlp,marge,1.0,0.1,0.18181818181818182,10.0
mlp,maggie,0.75,0.5,0.6,12.0
mlp,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
mlp,macro avg,0.6289767441860465,0.4618901098901099,0.45277012665017563,95.0
mlp,weighted avg,0.5779045287637699,0.5052631578947369,0.48718124710651933,95.0
dc,bart,0.2608695652173913,0.17142857142857143,0.20689655172413796,35.0
dc,homer,0.22727272727272727,0.2,0.21276595744680854,25.0
dc,lisa,0.12,0.23076923076923078,0.15789473684210525,13.0
dc,marge,0.1875,0.3,0.23076923076923075,10.0
dc,maggie,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
dc,accuracy,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632
dc,macro avg,0.18135068072024593,0.19710622710622713,0.18071291440407555,95.0
dc,weighted avg,0.20611143471326537,0.18947368421052632,0.19014430816854588,95.0
