model,labels,precision,recall,f1-score,support
knn,bart,0.46774193548387094,0.8285714285714286,0.5979381443298969,35.0
knn,homer,0.43478260869565216,0.4,0.41666666666666663,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5,0.4,0.4444444444444445,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
knn,macro avg,0.2805049088359046,0.32571428571428573,0.29180985108820157,95.0
knn,weighted avg,0.3393740311508083,0.45263157894736844,0.3767257490806053,95.0
nb,bart,0.52,0.7428571428571429,0.6117647058823529,35.0
nb,homer,0.5,0.36,0.41860465116279066,25.0
nb,lisa,0.16,0.3076923076923077,0.2105263157894737,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.236,0.28210989010989007,0.24817913456692345,95.0
nb,weighted avg,0.3450526315789474,0.4105263157894737,0.3643549798970029,95.0
lsvc,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lsvc,homer,0.4827586206896552,0.56,0.5185185185185185,25.0
lsvc,lisa,0.2222222222222222,0.3076923076923077,0.2580645161290323,13.0
lsvc,marge,0.3333333333333333,0.2,0.25,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.4997680984069369,0.4178241758241758,0.42826181240896216,95.0
lsvc,weighted avg,0.5490485136010018,0.5263157894736842,0.5179811855952051,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.6,0.36,0.45,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
svc,macro avg,0.21696969696969698,0.25485714285714284,0.21673267326732676,95.0
svc,weighted avg,0.3365231259968102,0.43157894736842106,0.3518759770713914,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4722222222222222,0.9714285714285714,0.6355140186915887,35.0
rf,homer,0.6428571428571429,0.36,0.4615384615384615,25.0
rf,lisa,0.125,0.07692307692307693,0.09523809523809525,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
rf,macro avg,0.24801587301587302,0.2816703296703297,0.23845811509362913,95.0
rf,weighted avg,0.3602548036758564,0.4631578947368421,0.3686268150606567,95.0
lgbm,bart,0.576271186440678,0.9714285714285714,0.723404255319149,35.0
lgbm,homer,0.8888888888888888,0.64,0.7441860465116279,25.0
lgbm,lisa,0.2857142857142857,0.15384615384615385,0.2,13.0
lgbm,marge,0.5,0.2,0.28571428571428575,10.0
lgbm,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
lgbm,accuracy,0.6421052631578947,0.6421052631578947,0.6421052631578947,0.6421052631578947
lgbm,macro avg,0.6501748722087706,0.5097216117216117,0.5380293385616441,95.0
lgbm,weighted avg,0.6642736785466491,0.6421052631578947,0.6128741917817017,95.0
xgb,bart,0.5614035087719298,0.9142857142857143,0.6956521739130436,35.0
xgb,homer,0.8333333333333334,0.6,0.6976744186046512,25.0
xgb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
xgb,marge,0.42857142857142855,0.3,0.3529411764705882,10.0
xgb,maggie,1.0,0.6666666666666666,0.8,12.0
xgb,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
xgb,macro avg,0.6446616541353383,0.526959706959707,0.5536979982421011,95.0
xgb,weighted avg,0.652296530800686,0.631578947368421,0.6085051284807113,95.0
ab,bart,0.5833333333333334,0.6,0.591549295774648,35.0
ab,homer,0.37209302325581395,0.64,0.4705882352941177,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.16666666666666666,0.1,0.125,10.0
ab,maggie,1.0,0.16666666666666666,0.2857142857142857,12.0
ab,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
ab,macro avg,0.42441860465116277,0.30133333333333334,0.29457036335661024,95.0
ab,weighted avg,0.4566911464708282,0.42105263157894735,0.39102634382144263,95.0
et,bart,0.4827586206896552,0.8,0.6021505376344086,35.0
et,homer,0.35714285714285715,0.4,0.3773584905660378,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
et,macro avg,0.23464696223316914,0.26000000000000006,0.22667103640932001,95.0
et,weighted avg,0.30693112090571256,0.4105263157894737,0.33734413284017667,95.0
mlp,bart,0.6511627906976745,0.8,0.7179487179487181,35.0
mlp,homer,0.4642857142857143,0.52,0.49056603773584906,25.0
mlp,lisa,0.2,0.3076923076923077,0.24242424242424246,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,1.0,0.16666666666666666,0.2857142857142857,12.0
mlp,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
mlp,macro avg,0.4630897009966777,0.3588717948717949,0.34733065676461905,95.0
mlp,weighted avg,0.5157667424374891,0.49473684210526314,0.46286781738618876,95.0
dc,bart,0.4074074074074074,0.3142857142857143,0.3548387096774193,35.0
dc,homer,0.2,0.12,0.15,25.0
dc,lisa,0.13636363636363635,0.23076923076923078,0.1714285714285714,13.0
dc,marge,0.045454545454545456,0.1,0.06250000000000001,10.0
dc,maggie,0.0,0.0,0.0,12.0
dc,accuracy,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632
dc,macro avg,0.15784511784511784,0.153010989010989,0.14775345622119812,95.0
dc,weighted avg,0.226174020910863,0.18947368421052632,0.20024132912927478,95.0
