model,labels,precision,recall,f1-score,support
knn,bart,0.46,0.6571428571428571,0.5411764705882354,35.0
knn,homer,0.6875,0.44,0.5365853658536586,25.0
knn,lisa,0.13636363636363635,0.23076923076923078,0.1714285714285714,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.4567727272727272,0.38224908424908427,0.3972065026267247,95.0
knn,weighted avg,0.4953708133971292,0.4631578947368421,0.457120919038516,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.35714285714285715,0.2,0.25641025641025644,25.0
nb,lisa,0.0625,0.07692307692307693,0.06896551724137931,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.23076923076923078,0.5,0.3157894736842105,12.0
nb,accuracy,0.30526315789473685,0.30526315789473685,0.30526315789473685,0.30526315789473685
nb,macro avg,0.2363324175824176,0.25252747252747254,0.22972558678060206,95.0
nb,weighted avg,0.32741107576633893,0.30526315789473685,0.30376290366795383,95.0
lsvc,bart,0.5952380952380952,0.7142857142857143,0.6493506493506493,35.0
lsvc,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lsvc,lisa,0.4666666666666667,0.5384615384615384,0.5,13.0
lsvc,marge,1.0,0.1,0.18181818181818182,10.0
lsvc,maggie,1.0,0.5,0.6666666666666666,12.0
lsvc,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
lsvc,macro avg,0.7091551459293395,0.4905494505494506,0.5067099567099567,95.0
lsvc,weighted avg,0.6420713073005093,0.5684210526315789,0.5519822282980178,95.0
svc,bart,0.5777777777777777,0.7428571428571429,0.65,35.0
svc,homer,0.5555555555555556,0.6,0.576923076923077,25.0
svc,lisa,0.2857142857142857,0.15384615384615385,0.2,13.0
svc,marge,0.2,0.2,0.20000000000000004,10.0
