model,labels,precision,recall,f1-score,support
knn,bart,0.5192307692307693,0.7714285714285715,0.6206896551724139,35.0
knn,homer,0.8,0.48,0.6,25.0
knn,lisa,0.15789473684210525,0.23076923076923078,0.18749999999999997,13.0
knn,marge,1.0,0.1,0.18181818181818182,10.0
knn,maggie,1.0,0.6666666666666666,0.8,12.0
knn,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
knn,macro avg,0.6954251012145749,0.44977289377289376,0.47800156739811916,95.0
knn,weighted avg,0.6550074579160452,0.5368421052631579,0.5324191552549086,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.35714285714285715,0.2,0.25641025641025644,25.0
nb,lisa,0.0625,0.07692307692307693,0.06896551724137931,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.23076923076923078,0.5,0.3157894736842105,12.0
nb,accuracy,0.30526315789473685,0.30526315789473685,0.30526315789473685,0.30526315789473685
nb,macro avg,0.2363324175824176,0.25252747252747254,0.22972558678060206,95.0
nb,weighted avg,0.32741107576633893,0.30526315789473685,0.30376290366795383,95.0
lsvc,bart,0.6341463414634146,0.7428571428571429,0.6842105263157895,35.0
lsvc,homer,0.53125,0.68,0.5964912280701754,25.0
lsvc,lisa,0.6153846153846154,0.6153846153846154,0.6153846153846154,13.0
lsvc,marge,0.5,0.1,0.16666666666666669,10.0
lsvc,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
lsvc,accuracy,0.6210526315789474,0.6210526315789474,0.6210526315789474,0.6210526315789474
lsvc,macro avg,0.656156191369606,0.5443150183150184,0.559919028340081,95.0
lsvc,weighted avg,0.6365933889602053,0.6210526315789474,0.6038781163434903,95.0
svc,bart,0.5454545454545454,0.6857142857142857,0.6075949367088607,35.0
svc,homer,0.5384615384615384,0.56,0.5490196078431373,25.0
svc,lisa,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
svc,marge,0.2,0.2,0.20000000000000004,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
svc,macro avg,0.5012276612276612,0.419912087912088,0.44101987860736924,95.0
svc,weighted avg,0.5204351204351204,0.5052631578947369,0.4984731509949991,95.0
lr,bart,0.5294117647058824,0.7714285714285715,0.627906976744186,35.0
lr,homer,0.5357142857142857,0.6,0.5660377358490566,25.0
lr,lisa,0.3333333333333333,0.23076923076923078,0.27272727272727276,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
lr,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lr,macro avg,0.47969187675070024,0.40377289377289377,0.41098145588763246,95.0
lr,weighted avg,0.507953707798909,0.5263157894736842,0.49191542796988674,95.0
rf,bart,0.4520547945205479,0.9428571428571428,0.611111111111111,35.0
rf,homer,0.4375,0.28,0.34146341463414637,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
rf,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
rf,macro avg,0.4445776255707763,0.2766227106227106,0.2457530003871467,95.0
rf,weighted avg,0.46062545061283344,0.4421052631578947,0.3513959695987937,95.0
lgbm,bart,0.5245901639344263,0.9142857142857143,0.6666666666666666,35.0
lgbm,homer,0.6923076923076923,0.72,0.7058823529411765,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.0,0.0,0.0,10.0
lgbm,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
lgbm,accuracy,0.6,0.6,0.6,0.6
lgbm,macro avg,0.6433795712484237,0.44095970695970693,0.4454901960784314,95.0
lgbm,weighted avg,0.6386141899515497,0.6,0.5421671826625388,95.0
xgb,bart,0.5076923076923077,0.9428571428571428,0.6599999999999999,35.0
xgb,homer,0.7391304347826086,0.68,0.7083333333333334,25.0
xgb,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
xgb,marge,1.0,0.1,0.18181818181818182,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.6,0.6,0.6,0.6
xgb,macro avg,0.8493645484949832,0.442007326007326,0.4633636363636363,95.0
xgb,weighted avg,0.7499735961978524,0.6,0.5483492822966508,95.0
ab,bart,0.6458333333333334,0.8857142857142857,0.7469879518072288,35.0
ab,homer,0.46875,0.6,0.5263157894736842,25.0
ab,lisa,0.3333333333333333,0.23076923076923078,0.27272727272727276,13.0
ab,marge,0.6,0.3,0.4,10.0
ab,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
ab,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
ab,macro avg,0.6095833333333334,0.41996336996336997,0.4199754335708679,95.0
ab,weighted avg,0.5963815789473685,0.5578947368421052,0.5125692783337211,95.0
et,bart,0.515625,0.9428571428571428,0.6666666666666666,35.0
et,homer,0.5454545454545454,0.48,0.5106382978723404,25.0
et,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
et,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
et,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
et,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
et,macro avg,0.5188825757575758,0.3366227106227106,0.3183310640131666,95.0
et,weighted avg,0.5307007575757575,0.5052631578947369,0.4305964198066168,95.0
mlp,bart,0.5957446808510638,0.8,0.6829268292682927,35.0
mlp,homer,0.5416666666666666,0.52,0.5306122448979592,25.0
mlp,lisa,0.47058823529411764,0.6153846153846154,0.5333333333333333,13.0
mlp,marge,0.5,0.1,0.16666666666666669,10.0
mlp,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
mlp,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
mlp,macro avg,0.6215999165623696,0.4904102564102564,0.5003548736567798,95.0
mlp,weighted avg,0.6053723953187098,0.5789473684210527,0.5560691439605366,95.0
dc,bart,0.3076923076923077,0.22857142857142856,0.26229508196721313,35.0
dc,homer,0.23076923076923078,0.24,0.23529411764705882,25.0
dc,lisa,0.09090909090909091,0.15384615384615385,0.1142857142857143,13.0
dc,marge,0.07142857142857142,0.1,0.08333333333333333,10.0
dc,maggie,0.14285714285714285,0.08333333333333333,0.10526315789473685,12.0
dc,accuracy,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632
dc,macro avg,0.16873126873126876,0.16115018315018315,0.1600942810256113,95.0
dc,weighted avg,0.2120931699879069,0.18947368421052632,0.19626196130329887,95.0
