model,labels,precision,recall,f1-score,support
knn,bart,0.5833333333333334,0.6,0.591549295774648,35.0
knn,homer,0.7333333333333333,0.44,0.5499999999999999,25.0
knn,lisa,0.3125,0.7692307692307693,0.4444444444444445,13.0
knn,marge,0.5,0.1,0.16666666666666669,10.0
knn,maggie,0.8,0.6666666666666666,0.7272727272727272,12.0
knn,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
knn,macro avg,0.5858333333333332,0.5151794871794871,0.4959866268316972,95.0
knn,weighted avg,0.6043421052631579,0.5368421052631579,0.5329046581455773,95.0
nb,bart,0.5,0.4857142857142857,0.49275362318840576,35.0
nb,homer,0.5333333333333333,0.32,0.4,25.0
nb,lisa,0.125,0.07692307692307693,0.09523809523809525,13.0
nb,marge,0.2857142857142857,0.2,0.23529411764705882,10.0
nb,maggie,0.22580645161290322,0.5833333333333334,0.3255813953488372,12.0
nb,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
nb,macro avg,0.3339708141321044,0.3331941391941392,0.3097734462844794,95.0
nb,weighted avg,0.40026477484032663,0.3684210526315789,0.365730420740485,95.0
lsvc,bart,0.6153846153846154,0.6857142857142857,0.6486486486486486,35.0
lsvc,homer,0.8,0.48,0.6,25.0
lsvc,lisa,0.4782608695652174,0.8461538461538461,0.6111111111111112,13.0
lsvc,marge,0.42857142857142855,0.3,0.3529411764705882,10.0
lsvc,maggie,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
lsvc,accuracy,0.6,0.6,0.6,0.6
lsvc,macro avg,0.5917161099769795,0.579040293040293,0.5642793176808522,95.0
lsvc,weighted avg,0.6281887448935505,0.6,0.5945358603993683,95.0
svc,bart,0.5714285714285714,0.6857142857142857,0.6233766233766234,35.0
svc,homer,0.6666666666666666,0.32,0.43243243243243246,25.0
svc,lisa,0.391304347826087,0.6923076923076923,0.5,13.0
svc,marge,0.2,0.2,0.20000000000000004,10.0
svc,maggie,0.875,0.5833333333333334,0.7000000000000001,12.0
svc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
