model,labels,precision,recall,f1-score,support
knn,bart,0.6136363636363636,0.7714285714285715,0.6835443037974683,35.0
knn,homer,0.52,0.52,0.52,25.0
knn,lisa,0.21052631578947367,0.3076923076923077,0.25,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
knn,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
knn,macro avg,0.46883253588516743,0.40315750915750914,0.40835591958302314,95.0
knn,weighted avg,0.5180433140266936,0.5157894736842106,0.49718814907708586,95.0
nb,bart,0.5,0.37142857142857144,0.42622950819672134,35.0
nb,homer,0.4,0.16,0.22857142857142856,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.18181818181818182,0.6666666666666666,0.28571428571428575,12.0
nb,accuracy,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
nb,macro avg,0.21636363636363637,0.23961904761904762,0.18810304449648713,95.0
nb,weighted avg,0.3124401913875598,0.2631578947368421,0.25327252557623564,95.0
lsvc,bart,0.5853658536585366,0.6857142857142857,0.6315789473684211,35.0
lsvc,homer,0.4230769230769231,0.44,0.4313725490196078,25.0
lsvc,lisa,0.3076923076923077,0.3076923076923077,0.3076923076923077,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.6923076923076923,0.75,0.7199999999999999,12.0
lsvc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
lsvc,macro avg,0.4016885553470919,0.43668131868131865,0.4181287608160673,95.0
lsvc,weighted avg,0.4565517922385702,0.5052631578947369,0.47925870403563087,95.0
svc,bart,0.5897435897435898,0.6571428571428571,0.6216216216216216,35.0
svc,homer,0.48148148148148145,0.52,0.5,25.0
svc,lisa,0.047619047619047616,0.07692307692307693,0.058823529411764705,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
svc,macro avg,0.42376882376882374,0.3508131868131868,0.36942236354001057,95.0
svc,weighted avg,0.47681168733800317,0.45263157894736844,0.45285750146431264,95.0
lr,bart,0.5,0.6571428571428571,0.5679012345679013,35.0
lr,homer,0.4482758620689655,0.52,0.48148148148148145,25.0
lr,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.875,0.5833333333333334,0.7000000000000001,12.0
lr,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
lr,macro avg,0.38283699059561127,0.36747985347985346,0.3665432098765432,95.0
lr,weighted avg,0.425144365616235,0.4631578947368421,0.4357569850552307,95.0
rf,bart,0.4852941176470588,0.9428571428571428,0.6407766990291262,35.0
rf,homer,0.6111111111111112,0.44,0.5116279069767442,25.0
rf,lisa,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
rf,macro avg,0.25261437908496737,0.2919560439560439,0.25153355278012146,95.0
rf,weighted avg,0.36241830065359476,0.47368421052631576,0.38511898097967995,95.0
lgbm,bart,0.5423728813559322,0.9142857142857143,0.6808510638297872,35.0
lgbm,homer,0.6296296296296297,0.68,0.6538461538461539,25.0
lgbm,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
lgbm,marge,0.0,0.0,0.0,10.0
lgbm,maggie,0.6,0.25,0.35294117647058826,12.0
lgbm,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
lgbm,macro avg,0.4877338355304457,0.3996263736263736,0.3875276788293059,95.0
lgbm,weighted avg,0.5325311395248951,0.5684210526315789,0.5016972126088785,95.0
xgb,bart,0.5,0.8285714285714286,0.6236559139784946,35.0
xgb,homer,0.6206896551724138,0.72,0.6666666666666666,25.0
xgb,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
xgb,marge,1.0,0.1,0.18181818181818182,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
xgb,macro avg,0.7574712643678161,0.42715018315018316,0.44442815249266865,95.0
xgb,weighted avg,0.670356926799758,0.5684210526315789,0.5217137418325873,95.0
ab,bart,0.4852941176470588,0.9428571428571428,0.6407766990291262,35.0
ab,homer,0.7857142857142857,0.44,0.5641025641025641,25.0
ab,lisa,0.375,0.23076923076923078,0.2857142857142857,13.0
ab,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
ab,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
ab,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
ab,macro avg,0.4958683473389355,0.3593919413919414,0.3574593691098545,95.0
ab,weighted avg,0.5351208904614477,0.5157894736842106,0.45786085826964723,95.0
et,bart,0.5333333333333333,0.9142857142857143,0.6736842105263158,35.0
et,homer,0.5,0.56,0.5283018867924528,25.0
