model,labels,precision,recall,f1-score,support
knn,bart,0.6,0.6,0.6,35.0
knn,homer,0.4230769230769231,0.44,0.4313725490196078,25.0
knn,lisa,0.08695652173913043,0.15384615384615385,0.1111111111111111,13.0
knn,marge,1.0,0.3,0.4615384615384615,10.0
knn,maggie,1.0,0.6666666666666666,0.8,12.0
knn,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
knn,macro avg,0.6220066889632107,0.4321025641025641,0.4808044243338361,95.0
knn,weighted avg,0.5758669248371766,0.47368421052631576,0.49941202931915,95.0
nb,bart,0.6774193548387096,0.6,0.6363636363636364,35.0
nb,homer,0.5454545454545454,0.24,0.3333333333333333,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.5,0.7,0.5833333333333334,10.0
nb,maggie,0.24324324324324326,0.75,0.3673469387755103,12.0
nb,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
nb,macro avg,0.39322342870729965,0.458,0.3840754483611627,95.0
nb,weighted avg,0.4764732628909199,0.45263157894736844,0.4299742863652638,95.0
lsvc,bart,0.7352941176470589,0.7142857142857143,0.7246376811594202,35.0
lsvc,homer,0.40625,0.52,0.45614035087719296,25.0
lsvc,lisa,0.0,0.0,0.0,13.0
lsvc,marge,0.6666666666666666,0.6,0.631578947368421,10.0
lsvc,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
lsvc,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
lsvc,macro avg,0.5394199346405228,0.5001904761904762,0.5148523482619592,95.0
lsvc,weighted avg,0.5602618679050567,0.5473684210526316,0.54973130767422,95.0
svc,bart,0.7586206896551724,0.6285714285714286,0.6875,35.0
svc,homer,0.375,0.6,0.4615384615384615,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.38461538461538464,0.5,0.4347826086956522,10.0
svc,maggie,1.0,0.6666666666666666,0.8,12.0
svc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
svc,macro avg,0.5036472148541113,0.47904761904761906,0.4767642140468228,95.0
svc,weighted avg,0.5449776629903671,0.5263157894736842,0.5215661855307164,95.0
lr,bart,0.7647058823529411,0.7428571428571429,0.7536231884057971,35.0
lr,homer,0.46153846153846156,0.72,0.5625,25.0
lr,lisa,0.0,0.0,0.0,13.0
lr,marge,1.0,0.5,0.6666666666666666,10.0
lr,maggie,1.0,0.6666666666666666,0.8,12.0
lr,accuracy,0.6,0.6,0.6,0.6
lr,macro avg,0.6452488687782806,0.5259047619047619,0.5565579710144928,95.0
lr,weighted avg,0.6347701833769944,0.6,0.5969050343249428,95.0
rf,bart,0.5490196078431373,0.8,0.6511627906976745,35.0
rf,homer,0.3939393939393939,0.52,0.44827586206896547,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
rf,maggie,1.0,0.3333333333333333,0.5,12.0
rf,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
rf,macro avg,0.5219251336898395,0.37066666666666664,0.3814261920917895,95.0
rf,weighted avg,0.5024298714701192,0.49473684210526314,0.45341597161121916,95.0
lgbm,bart,0.6571428571428571,0.6571428571428571,0.6571428571428571,35.0
lgbm,homer,0.4418604651162791,0.76,0.5588235294117647,25.0
lgbm,lisa,0.5,0.15384615384615385,0.23529411764705882,13.0
lgbm,marge,1.0,0.4,0.5714285714285715,10.0
lgbm,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
lgbm,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
lgbm,macro avg,0.6975784422296051,0.5275311355311355,0.5569187675070029,95.0
lgbm,weighted avg,0.6443492452060383,0.5894736842105263,0.5777532065457762,95.0
xgb,bart,0.5348837209302325,0.6571428571428571,0.5897435897435898,35.0
xgb,homer,0.47368421052631576,0.72,0.5714285714285714,25.0
xgb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
xgb,marge,0.5,0.3,0.37499999999999994,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
xgb,macro avg,0.5517135862913097,0.4174798534798535,0.4307638439991381,95.0
xgb,weighted avg,0.5348740578496425,0.5157894736842106,0.4863805441204822,95.0
ab,bart,0.0,0.0,0.0,35.0
ab,homer,0.25333333333333335,0.76,0.38,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.2222222222222222,0.2,0.2105263157894737,10.0
ab,maggie,1.0,0.75,0.8571428571428571,12.0
ab,accuracy,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105
ab,macro avg,0.2951111111111111,0.34199999999999997,0.28953383458646614,95.0
ab,weighted avg,0.21637426900584797,0.3157894736842105,0.2304313415116739,95.0
et,bart,0.5384615384615384,0.8,0.6436781609195402,35.0
et,homer,0.45714285714285713,0.64,0.5333333333333333,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,1.0,0.2,0.33333333333333337,10.0
et,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
et,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
et,macro avg,0.5991208791208791,0.41133333333333333,0.4197160243407708,95.0
et,weighted avg,0.5502602660497398,0.5368421052631579,0.4868865876659193,95.0
mlp,bart,0.696969696969697,0.6571428571428571,0.676470588235294,35.0
mlp,homer,0.4411764705882353,0.6,0.5084745762711865,25.0
mlp,lisa,0.0,0.0,0.0,13.0
mlp,marge,0.7142857142857143,0.5,0.588235294117647,10.0
mlp,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
mlp,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
mlp,macro avg,0.5482641541465071,0.4847619047619047,0.5070170441057779,95.0
mlp,weighted avg,0.5603460522965167,0.5368421052631579,0.541195211358406,95.0
dc,bart,0.375,0.2571428571428571,0.30508474576271183,35.0
dc,homer,0.2727272727272727,0.24,0.2553191489361702,25.0
dc,lisa,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
dc,marge,0.05263157894736842,0.1,0.06896551724137931,10.0
dc,maggie,0.2222222222222222,0.16666666666666666,0.1904761904761905,12.0
dc,accuracy,0.23157894736842105,0.23157894736842105,0.23157894736842105,0.23157894736842105
dc,macro avg,0.22261145287461073,0.21430036630036628,0.21102794401270217,95.0
dc,weighted avg,0.2696037342159226,0.23157894736842105,0.24310671381725277,95.0
