model,labels,precision,recall,f1-score,support
knn,bart,0.47540983606557374,0.8285714285714286,0.6041666666666667,35.0
knn,homer,0.44,0.44,0.44,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29736768149882903,0.33371428571428574,0.30295098039215684,95.0
knn,weighted avg,0.3510908418587452,0.4631578947368421,0.3879127966976264,95.0
nb,bart,0.6,0.7714285714285715,0.675,35.0
nb,homer,0.631578947368421,0.48,0.5454545454545454,25.0
nb,lisa,0.20689655172413793,0.46153846153846156,0.28571428571428575,13.0
nb,marge,1.0,0.1,0.18181818181818182,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
nb,macro avg,0.4876950998185118,0.3625934065934066,0.3375974025974026,95.0
nb,weighted avg,0.5208329353328875,0.4842105263157895,0.4504613807245386,95.0
lsvc,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lsvc,homer,0.5,0.56,0.5283018867924528,25.0
lsvc,lisa,0.2,0.3076923076923077,0.24242424242424246,13.0
lsvc,marge,0.2,0.1,0.13333333333333333,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lsvc,macro avg,0.47210526315789475,0.39782417582417584,0.4037570979894577,95.0
lsvc,weighted avg,0.5365096952908587,0.5157894736842106,0.5061348064585675,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.625,0.4,0.48780487804878053,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
svc,macro avg,0.22196969696969698,0.26285714285714284,0.22429364887708286,95.0
svc,weighted avg,0.34310207336523124,0.4421052631578947,0.36182462918949154,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4406779661016949,0.7428571428571429,0.5531914893617021,35.0
rf,homer,0.4,0.32,0.35555555555555557,25.0
rf,lisa,0.08333333333333333,0.07692307692307693,0.08,13.0
rf,marge,0.25,0.1,0.14285714285714288,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
rf,macro avg,0.2348022598870057,0.24795604395604398,0.2263208375548801,95.0
rf,weighted avg,0.30533749628308055,0.37894736842105264,0.32335960468547253,95.0
lgbm,bart,0.5192307692307693,0.7714285714285715,0.6206896551724139,35.0
lgbm,homer,0.4230769230769231,0.44,0.4313725490196078,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
lgbm,marge,0.6,0.3,0.4,10.0
lgbm,maggie,0.0,0.0,0.0,12.0
lgbm,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
lgbm,macro avg,0.30846153846153845,0.3022857142857143,0.29041244083840434,95.0
lgbm,weighted avg,0.36578947368421055,0.43157894736842106,0.38429949112131245,95.0
xgb,bart,0.5106382978723404,0.6857142857142857,0.5853658536585366,35.0
xgb,homer,0.45161290322580644,0.56,0.5,25.0
xgb,lisa,0.0,0.0,0.0,13.0
xgb,marge,0.75,0.3,0.4285714285714285,10.0
xgb,maggie,0.0,0.0,0.0,12.0
xgb,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
xgb,macro avg,0.34245024021962933,0.30914285714285716,0.30278745644599303,95.0
xgb,weighted avg,0.38592276848607443,0.43157894736842106,0.3923528333027691,95.0
ab,bart,0.375,0.34285714285714286,0.3582089552238806,35.0
ab,homer,0.2222222222222222,0.32,0.26229508196721313,25.0
ab,lisa,0.1111111111111111,0.07692307692307693,0.09090909090909093,13.0
ab,marge,0.11764705882352941,0.2,0.14814814814814817,10.0
ab,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
ab,accuracy,0.25263157894736843,0.25263157894736843,0.25263157894736843,0.25263157894736843
ab,macro avg,0.36519607843137253,0.2046227106227106,0.20268148601889732,95.0
ab,weighted avg,0.35054179566563465,0.25263157894736843,0.24846467359441746,95.0
et,bart,0.42592592592592593,0.6571428571428571,0.5168539325842697,35.0
et,homer,0.34615384615384615,0.36,0.35294117647058826,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.3473684210526316,0.3473684210526316,0.3473684210526316,0.3473684210526316
et,macro avg,0.22108262108262106,0.22342857142857145,0.20472825258020233,95.0
et,weighted avg,0.28310091467986204,0.3473684210526316,0.29949345884921774,95.0
mlp,bart,0.6585365853658537,0.7714285714285715,0.7105263157894737,35.0
mlp,homer,0.4827586206896552,0.56,0.5185185185185185,25.0
mlp,lisa,0.2222222222222222,0.3076923076923077,0.2580645161290323,13.0
mlp,marge,0.5,0.2,0.28571428571428575,10.0
mlp,maggie,1.0,0.25,0.4,12.0
mlp,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
mlp,macro avg,0.5727034856555462,0.4178241758241758,0.434564727230262,95.0
mlp,weighted avg,0.5790172094098436,0.5263157894736842,0.5141406903412086,95.0
dc,bart,0.3888888888888889,0.2,0.2641509433962264,35.0
dc,homer,0.2777777777777778,0.4,0.3278688524590164,25.0
dc,lisa,0.05263157894736842,0.07692307692307693,0.0625,13.0
dc,marge,0.0,0.0,0.0,10.0
dc,maggie,0.125,0.08333333333333333,0.1,12.0
dc,accuracy,0.2,0.2,0.2,0.2
dc,macro avg,0.16885964912280702,0.15205128205128207,0.15090395917104857,95.0
dc,weighted avg,0.23936595875654046,0.2,0.20478425610887724,95.0
