model,labels,precision,recall,f1-score,support
knn,bart,0.6206896551724138,0.5142857142857142,0.5625,35.0
knn,homer,0.7058823529411765,0.48,0.5714285714285713,25.0
knn,lisa,0.3076923076923077,0.9230769230769231,0.4615384615384615,13.0
knn,marge,1.0,0.3,0.4615384615384615,10.0
knn,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
knn,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
knn,macro avg,0.7268528631611796,0.5601391941391942,0.5587695199537304,95.0
knn,weighted avg,0.6881178605743569,0.5473684210526316,0.5624284648869137,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.5,0.36,0.41860465116279066,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.5454545454545454,0.6,0.5714285714285713,10.0
nb,maggie,0.3181818181818182,0.5833333333333334,0.4117647058823529,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.3789772727272727,0.40580952380952384,0.3818521230081758,95.0
nb,weighted avg,0.4249102870813397,0.4105263157894737,0.4092818157241522,95.0
lsvc,bart,0.7741935483870968,0.6857142857142857,0.7272727272727272,35.0
lsvc,homer,0.5428571428571428,0.76,0.6333333333333332,25.0
lsvc,lisa,0.21428571428571427,0.23076923076923078,0.22222222222222224,13.0
lsvc,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
lsvc,maggie,1.0,0.6666666666666666,0.8,12.0
lsvc,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lsvc,macro avg,0.620552995391705,0.5486300366300366,0.57068330362448,95.0
lsvc,weighted avg,0.6438758185787049,0.6105263157894737,0.6156068424179878,95.0
svc,bart,0.8076923076923077,0.6,0.6885245901639345,35.0
svc,homer,0.36585365853658536,0.6,0.4545454545454546,25.0
svc,lisa,0.125,0.07692307692307693,0.09523809523809525,13.0
svc,marge,0.3076923076923077,0.4,0.34782608695652173,10.0
svc,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
svc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
svc,macro avg,0.5212476547842402,0.45205128205128203,0.46459526643343285,95.0
svc,weighted avg,0.5696578453638788,0.5052631578947369,0.5160048251599203,95.0
lr,bart,0.75,0.6857142857142857,0.7164179104477612,35.0
lr,homer,0.5263157894736842,0.8,0.6349206349206348,25.0
lr,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
lr,marge,0.6666666666666666,0.4,0.5,10.0
lr,maggie,1.0,0.6666666666666666,0.8,12.0
lr,accuracy,0.6,0.6,0.6,0.6
lr,macro avg,0.6067783094098883,0.5258608058608059,0.5469343757403459,95.0
lr,weighted avg,0.6237513640560731,0.6,0.5961155376002194,95.0
rf,bart,0.5238095238095238,0.9428571428571428,0.673469387755102,35.0
rf,homer,0.6206896551724138,0.72,0.6666666666666666,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,1.0,0.1,0.18181818181818182,10.0
rf,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
rf,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
rf,macro avg,0.8288998357963875,0.3846227106227106,0.36373150658864944,95.0
rf,weighted avg,0.7247428917120388,0.5684210526315789,0.4816797237849869,95.0
lgbm,bart,0.6296296296296297,0.9714285714285714,0.7640449438202247,35.0
lgbm,homer,0.7586206896551724,0.88,0.8148148148148148,25.0
lgbm,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
lgbm,marge,1.0,0.4,0.5714285714285715,10.0
lgbm,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
lgbm,accuracy,0.7052631578947368,0.7052631578947368,0.7052631578947368,0.7052631578947368
lgbm,macro avg,0.8490786352855318,0.5656703296703297,0.5849448840578348,95.0
lgbm,weighted avg,0.7819817743592696,0.7052631578947368,0.6553928351992406,95.0
xgb,bart,0.6071428571428571,0.9714285714285714,0.7472527472527473,35.0
xgb,homer,0.76,0.76,0.76,25.0
xgb,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
xgb,marge,0.8571428571428571,0.6,0.7058823529411764,10.0
xgb,maggie,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
xgb,accuracy,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895
xgb,macro avg,0.8115238095238094,0.5650036630036629,0.5823095597213245,95.0
xgb,weighted avg,0.7560150375939849,0.6842105263157895,0.6393313600743941,95.0
