model,labels,precision,recall,f1-score,support
knn,bart,0.5,0.5142857142857142,0.5070422535211268,35.0
knn,homer,0.32,0.32,0.32,25.0
knn,lisa,0.12,0.23076923076923078,0.15789473684210525,13.0
knn,marge,0.3333333333333333,0.2,0.25,10.0
knn,maggie,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
knn,accuracy,0.3473684210526316,0.3473684210526316,0.3473684210526316,0.3473684210526316
knn,macro avg,0.388,0.2863443223443224,0.30032073140597976,95.0
knn,weighted avg,0.40414035087719297,0.3473684210526316,0.3526222152861769,95.0
nb,bart,0.5333333333333333,0.9142857142857143,0.6736842105263158,35.0
nb,homer,0.4,0.08,0.13333333333333333,25.0
nb,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
nb,marge,0.375,0.3,0.33333333333333326,10.0
nb,maggie,0.3333333333333333,0.5833333333333334,0.4242424242424242,12.0
nb,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
nb,macro avg,0.5283333333333334,0.3909084249084249,0.3414900888585099,95.0
nb,weighted avg,0.5201754385964913,0.47368421052631576,0.39151227350673334,95.0
lsvc,bart,0.48148148148148145,0.7428571428571429,0.5842696629213483,35.0
lsvc,homer,0.2631578947368421,0.2,0.22727272727272727,25.0
lsvc,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
lsvc,marge,0.2727272727272727,0.3,0.28571428571428564,10.0
lsvc,maggie,0.0,0.0,0.0,12.0
lsvc,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
lsvc,macro avg,0.22165514797093744,0.26395604395604394,0.23611800184833892,95.0
lsvc,weighted avg,0.287788317151198,0.3684210526315789,0.316544553416227,95.0
svc,bart,0.5151515151515151,0.4857142857142857,0.5,35.0
svc,homer,0.3170731707317073,0.52,0.3939393939393939,25.0
svc,lisa,0.11764705882352941,0.15384615384615385,0.13333333333333333,13.0
svc,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
svc,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
svc,accuracy,0.35789473684210527,0.35789473684210527,0.35789473684210527,0.35789473684210527
svc,macro avg,0.45664101560801706,0.2685787545787546,0.266993006993007,95.0
svc,weighted avg,0.4507355515435255,0.35789473684210527,0.34175193227824807,95.0
lr,bart,0.5094339622641509,0.7714285714285715,0.6136363636363636,35.0
lr,homer,0.25,0.28,0.2641509433962264,25.0
lr,lisa,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
lr,marge,0.375,0.3,0.33333333333333326,10.0
lr,maggie,0.0,0.0,0.0,12.0
lr,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
lr,macro avg,0.2935534591194969,0.30105494505494507,0.2843293912310794,95.0
lr,weighted avg,0.3385633896060906,0.4105263157894737,0.35948654474499875,95.0
rf,bart,0.4482758620689655,0.37142857142857144,0.40625,35.0
rf,homer,0.3333333333333333,0.36,0.34615384615384615,25.0
rf,lisa,0.14285714285714285,0.23076923076923078,0.17647058823529413,13.0
rf,marge,0.2727272727272727,0.3,0.28571428571428564,10.0
rf,maggie,0.42857142857142855,0.25,0.3157894736842105,12.0
rf,accuracy,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.3263157894736842
rf,macro avg,0.3251530079116286,0.30243956043956044,0.3060756387575273,95.0
rf,weighted avg,0.3552659077159985,0.3263157894736842,0.33487716149745644,95.0
lgbm,bart,0.38095238095238093,0.22857142857142856,0.2857142857142857,35.0
lgbm,homer,0.29411764705882354,0.4,0.33898305084745767,25.0
lgbm,lisa,0.16,0.3076923076923077,0.2105263157894737,13.0
lgbm,marge,0.2222222222222222,0.2,0.2105263157894737,10.0
lgbm,maggie,0.5,0.25,0.3333333333333333,12.0
lgbm,accuracy,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.28421052631578947
lgbm,macro avg,0.3114584500466854,0.27725274725274723,0.2758166602948048,95.0
lgbm,weighted avg,0.32619470244238047,0.28421052631578947,0.287544016150993,95.0
xgb,bart,0.43478260869565216,0.2857142857142857,0.3448275862068965,35.0
xgb,homer,0.3103448275862069,0.36,0.3333333333333333,25.0
xgb,lisa,0.15384615384615385,0.3076923076923077,0.20512820512820515,13.0
xgb,marge,0.2,0.2,0.20000000000000004,10.0
