model,labels,precision,recall,f1-score,support
knn,bart,0.5581395348837209,0.6857142857142857,0.6153846153846154,35.0
knn,homer,0.875,0.56,0.6829268292682927,25.0
knn,lisa,0.38095238095238093,0.6153846153846154,0.47058823529411764,13.0
knn,marge,1.0,0.4,0.5714285714285715,10.0
knn,maggie,0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0
knn,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
knn,macro avg,0.6355456558944932,0.5188864468864469,0.5376308676664239,95.0
knn,weighted avg,0.6392200109152374,0.5684210526315789,0.5749208219658564,95.0
nb,bart,0.43478260869565216,0.2857142857142857,0.3448275862068965,35.0
nb,homer,0.5333333333333333,0.32,0.4,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
nb,maggie,0.2,0.75,0.31578947368421056,12.0
nb,accuracy,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.3263157894736842
nb,macro avg,0.34790890269151137,0.35114285714285715,0.3062410590370449,95.0
nb,weighted avg,0.38594747738912494,0.3263157894736842,0.3217297005725588,95.0
lsvc,bart,0.4807692307692308,0.7142857142857143,0.5747126436781609,35.0
lsvc,homer,0.5185185185185185,0.56,0.5384615384615384,25.0
lsvc,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
lsvc,marge,1.0,0.3,0.4615384615384615,10.0
lsvc,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
lsvc,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
lsvc,macro avg,0.518039368039368,0.34690842490842494,0.36018062397372735,95.0
lsvc,weighted avg,0.49443899180741285,0.4631578947368421,0.4314682595081869,95.0
svc,bart,0.4727272727272727,0.7428571428571429,0.5777777777777778,35.0
svc,homer,0.7777777777777778,0.56,0.6511627906976745,25.0
svc,lisa,0.125,0.07692307692307693,0.09523809523809525,13.0
svc,marge,0.3333333333333333,0.4,0.3636363636363636,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
svc,macro avg,0.3417676767676768,0.35595604395604397,0.3375630054699822,95.0
svc,weighted avg,0.4310340244550771,0.47368421052631576,0.4355342196223469,95.0
lr,bart,0.42857142857142855,0.6857142857142857,0.5274725274725274,35.0
lr,homer,0.5833333333333334,0.56,0.5714285714285714,25.0
lr,lisa,0.0,0.0,0.0,13.0
lr,marge,1.0,0.2,0.33333333333333337,10.0
lr,maggie,0.0,0.0,0.0,12.0
lr,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
lr,macro avg,0.4023809523809524,0.28914285714285715,0.28644688644688643,95.0
lr,weighted avg,0.4166666666666667,0.42105263157894735,0.3797956429535377,95.0
rf,bart,0.5409836065573771,0.9428571428571428,0.6875,35.0
rf,homer,0.5652173913043478,0.52,0.5416666666666667,25.0
rf,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
rf,marge,0.5,0.1,0.16666666666666669,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
rf,macro avg,0.42124019957234504,0.32795604395604394,0.30583333333333335,95.0
rf,weighted avg,0.46910380012754627,0.5052631578947369,0.4316228070175439,95.0
lgbm,bart,0.5423728813559322,0.9142857142857143,0.6808510638297872,35.0
lgbm,homer,0.6428571428571429,0.72,0.6792452830188679,25.0
lgbm,lisa,0.5,0.15384615384615385,0.23529411764705882,13.0
lgbm,marge,1.0,0.2,0.33333333333333337,10.0
lgbm,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
lgbm,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
lgbm,macro avg,0.637046004842615,0.41429304029304026,0.41431618813723803,95.0
lgbm,weighted avg,0.60583662546196,0.5789473684210527,0.5149195988057376,95.0
xgb,bart,0.5689655172413793,0.9428571428571428,0.7096774193548387,35.0
xgb,homer,0.6071428571428571,0.68,0.6415094339622641,25.0
xgb,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
xgb,marge,0.0,0.0,0.0,10.0
xgb,maggie,0.25,0.08333333333333333,0.125,12.0
xgb,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
xgb,macro avg,0.35188834154351395,0.35662271062271056,0.3202373706634206,95.0
xgb,weighted avg,0.44658629331950567,0.5473684210526316,0.4631731108050101,95.0
ab,bart,0.39655172413793105,0.6571428571428571,0.4946236559139785,35.0
ab,homer,0.23529411764705882,0.16,0.19047619047619052,25.0
ab,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
ab,marge,0.38461538461538464,0.5,0.4347826086956522,10.0
ab,maggie,0.0,0.0,0.0,12.0
