model,labels,precision,recall,f1-score,support
knn,bart,0.574468085106383,0.7714285714285715,0.6585365853658536,35.0
knn,homer,0.8235294117647058,0.56,0.6666666666666666,25.0
knn,lisa,0.23809523809523808,0.38461538461538464,0.2941176470588235,13.0
knn,marge,1.0,0.2,0.33333333333333337,10.0
knn,maggie,1.0,0.6666666666666666,0.8,12.0
knn,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
knn,macro avg,0.7272185469932654,0.5165421245421246,0.5505308464849354,95.0
knn,weighted avg,0.6925248038745173,0.5894736842105263,0.5944453673638903,95.0
nb,bart,0.53125,0.4857142857142857,0.5074626865671641,35.0
nb,homer,0.35714285714285715,0.2,0.25641025641025644,25.0
nb,lisa,0.0625,0.07692307692307693,0.06896551724137931,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.23076923076923078,0.5,0.3157894736842105,12.0
nb,accuracy,0.30526315789473685,0.30526315789473685,0.30526315789473685,0.30526315789473685
nb,macro avg,0.2363324175824176,0.25252747252747254,0.22972558678060206,95.0
nb,weighted avg,0.32741107576633893,0.30526315789473685,0.30376290366795383,95.0
lsvc,bart,0.6190476190476191,0.7428571428571429,0.6753246753246753,35.0
lsvc,homer,0.48,0.48,0.48,25.0
lsvc,lisa,0.4444444444444444,0.6153846153846154,0.5161290322580646,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.875,0.5833333333333334,0.7000000000000001,12.0
lsvc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lsvc,macro avg,0.48369841269841274,0.48431501831501833,0.47429074151654804,95.0
lsvc,weighted avg,0.5257309941520468,0.5578947368421052,0.5341688532180893,95.0
svc,bart,0.5476190476190477,0.6571428571428571,0.5974025974025974,35.0
svc,homer,0.5454545454545454,0.48,0.5106382978723404,25.0
svc,lisa,0.07692307692307693,0.07692307692307693,0.07692307692307693,13.0
svc,marge,0.09090909090909091,0.1,0.09523809523809525,10.0
svc,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
svc,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
svc,macro avg,0.4521811521811522,0.37947985347985347,0.40340883453985354,95.0
svc,weighted avg,0.4917065390749601,0.4631578947368421,0.4681003639098764,95.0
lr,bart,0.5625,0.7714285714285715,0.6506024096385543,35.0
lr,homer,0.5416666666666666,0.52,0.5306122448979592,25.0
lr,lisa,0.25,0.3076923076923077,0.27586206896551724,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.5,0.6666666666666666,12.0
lr,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lr,macro avg,0.4708333333333333,0.41982417582417586,0.4247486780337395,95.0
lr,weighted avg,0.5103070175438597,0.5263157894736842,0.5012904984878959,95.0
rf,bart,0.44,0.9428571428571428,0.6000000000000001,35.0
rf,homer,0.3076923076923077,0.16,0.2105263157894737,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.25,0.08333333333333333,0.125,12.0
rf,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
rf,macro avg,0.3995384615384615,0.2526227106227106,0.21567669172932336,95.0
rf,weighted avg,0.411497975708502,0.4105263157894737,0.3117926394934706,95.0
lgbm,bart,0.5161290322580645,0.9142857142857143,0.6597938144329898,35.0
lgbm,homer,0.7391304347826086,0.68,0.7083333333333334,25.0
lgbm,lisa,0.75,0.23076923076923078,0.3529411764705882,13.0
lgbm,marge,0.5,0.1,0.16666666666666669,10.0
lgbm,maggie,1.0,0.3333333333333333,0.5,12.0
lgbm,accuracy,0.6,0.6,0.6,0.6
lgbm,macro avg,0.7010518934081347,0.4516776556776557,0.47754699818071555,95.0
lgbm,weighted avg,0.6662397578799735,0.6,0.5584844084133925,95.0
xgb,bart,0.5079365079365079,0.9142857142857143,0.653061224489796,35.0
xgb,homer,0.6956521739130435,0.64,0.6666666666666666,25.0
xgb,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
xgb,marge,1.0,0.1,0.18181818181818182,10.0
xgb,maggie,1.0,0.4166666666666667,0.5882352941176471,12.0
xgb,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
xgb,macro avg,0.7740510697032436,0.44495970695970694,0.4679562734184583,95.0
xgb,weighted avg,0.6930078820239002,0.5894736842105263,0.5436927881200326,95.0
ab,bart,0.5777777777777777,0.7428571428571429,0.65,35.0
ab,homer,0.41379310344827586,0.48,0.4444444444444445,25.0
ab,lisa,0.18181818181818182,0.15384615384615385,0.16666666666666669,13.0
ab,marge,0.6666666666666666,0.6,0.631578947368421,10.0
ab,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
ab,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
ab,macro avg,0.5680111459421804,0.41200732600732604,0.4093072424651372,95.0
ab,weighted avg,0.543130029881391,0.49473684210526314,0.465154958922272,95.0
et,bart,0.4507042253521127,0.9142857142857143,0.6037735849056604,35.0
et,homer,0.47058823529411764,0.32,0.38095238095238104,25.0
et,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.25,0.08333333333333333,0.125,12.0
et,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
et,macro avg,0.3009251587959127,0.2789084249084249,0.2469451931716083,95.0
et,weighted avg,0.3670809168737918,0.4421052631578947,0.35558826311060665,95.0
mlp,bart,0.5681818181818182,0.7142857142857143,0.6329113924050633,35.0
mlp,homer,0.5,0.44,0.46808510638297873,25.0
mlp,lisa,0.45,0.6923076923076923,0.5454545454545455,13.0
mlp,marge,1.0,0.1,0.18181818181818182,10.0
mlp,maggie,0.625,0.4166666666666667,0.5,12.0
mlp,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
mlp,macro avg,0.6286363636363637,0.4726520146520147,0.46565384521215397,95.0
mlp,weighted avg,0.5866985645933015,0.5368421052631579,0.5132959716088694,95.0
dc,bart,0.5,0.2857142857142857,0.36363636363636365,35.0
dc,homer,0.3333333333333333,0.28,0.30434782608695654,25.0
dc,lisa,0.14285714285714285,0.3076923076923077,0.1951219512195122,13.0
dc,marge,0.0,0.0,0.0,10.0
dc,maggie,0.2,0.25,0.22222222222222224,12.0
dc,accuracy,0.25263157894736843,0.25263157894736843,0.25263157894736843,0.25263157894736843
dc,macro avg,0.2352380952380952,0.22468131868131866,0.21706567263301096,95.0
dc,weighted avg,0.31674185463659144,0.25263157894736843,0.2688338990733365,95.0
