model,labels,precision,recall,f1-score,support
knn,bart,0.5,0.8,0.6153846153846154,35.0
knn,homer,0.8181818181818182,0.36,0.5,25.0
knn,lisa,0.3333333333333333,0.46153846153846156,0.3870967741935484,13.0
knn,marge,0.8,0.4,0.5333333333333333,10.0
knn,maggie,0.8,0.3333333333333333,0.47058823529411764,12.0
knn,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
knn,macro avg,0.6503030303030304,0.470974358974359,0.5012805916411229,95.0
knn,weighted avg,0.6303987240829346,0.5368421052631579,0.5268538079983202,95.0
nb,bart,0.35714285714285715,0.2857142857142857,0.3174603174603175,35.0
nb,homer,0.375,0.24,0.2926829268292683,25.0
nb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.2,0.75,0.31578947368421056,12.0
nb,accuracy,0.2736842105263158,0.2736842105263158,0.2736842105263158,0.2736842105263158
nb,macro avg,0.23642857142857143,0.27052747252747256,0.20871595535946516,95.0
nb,weighted avg,0.2897368421052631,0.2736842105263158,0.24996915506062345,95.0
lsvc,bart,0.5471698113207547,0.8285714285714286,0.6590909090909092,35.0
lsvc,homer,0.6666666666666666,0.4,0.5,25.0
lsvc,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
lsvc,marge,0.625,0.5,0.5555555555555556,10.0
lsvc,maggie,0.5,0.5,0.5,12.0
lsvc,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
lsvc,macro avg,0.49633872416891284,0.46109890109890106,0.462929292929293,95.0
lsvc,weighted avg,0.5255237149477466,0.5368421052631579,0.5097235513024987,95.0
svc,bart,0.5166666666666667,0.8857142857142857,0.6526315789473685,35.0
svc,homer,0.6153846153846154,0.32,0.4210526315789474,25.0
svc,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
svc,marge,0.4444444444444444,0.4,0.4210526315789474,10.0
svc,maggie,1.0,0.5,0.6666666666666666,12.0
svc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
svc,macro avg,0.5438705738705739,0.4365274725274725,0.452280701754386,95.0
svc,weighted avg,0.5449424844161687,0.5263157894736842,0.49346260387811636,95.0
lr,bart,0.4838709677419355,0.8571428571428571,0.6185567010309277,35.0
lr,homer,0.5714285714285714,0.32,0.41025641025641024,25.0
lr,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
lr,marge,0.5,0.2,0.28571428571428575,10.0
lr,maggie,0.75,0.5,0.6,12.0
lr,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
lr,macro avg,0.4896313364055299,0.3908131868131868,0.40290547940032473,95.0
lr,weighted avg,0.4955614843560514,0.49473684210526314,0.4554003963119536,95.0
rf,bart,0.4925373134328358,0.9428571428571428,0.6470588235294117,35.0
rf,homer,0.5,0.48,0.4897959183673469,25.0
rf,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
rf,macro avg,0.33184079601990046,0.31534065934065936,0.2773709483793517,95.0
rf,weighted avg,0.40426813301911496,0.49473684210526314,0.40149428192329556,95.0
lgbm,bart,0.559322033898305,0.9428571428571428,0.7021276595744681,35.0
lgbm,homer,0.5714285714285714,0.64,0.6037735849056605,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.0,0.0,0.0,10.0
lgbm,maggie,0.8,0.3333333333333333,0.47058823529411764,12.0
lgbm,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
lgbm,macro avg,0.5861501210653752,0.414007326007326,0.4086312292881826,95.0
lgbm,weighted avg,0.5943366891805785,0.5789473684210527,0.5135003494520418,95.0
xgb,bart,0.5666666666666667,0.9714285714285714,0.7157894736842105,35.0
xgb,homer,0.64,0.64,0.64,25.0
xgb,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
xgb,marge,0.0,0.0,0.0,10.0
xgb,maggie,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
xgb,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
xgb,macro avg,0.5079999999999999,0.41972161172161176,0.41004678362573105,95.0
xgb,weighted avg,0.5526315789473684,0.5894736842105263,0.5224838411819022,95.0
ab,bart,0.35384615384615387,0.6571428571428571,0.4600000000000001,35.0
ab,homer,0.3333333333333333,0.08,0.12903225806451613,25.0
ab,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
ab,marge,0.18181818181818182,0.2,0.1904761904761905,10.0
