model,labels,precision,recall,f1-score,support
knn,bart,0.574468085106383,0.7714285714285715,0.6585365853658536,35.0
knn,homer,0.42857142857142855,0.48,0.4528301886792452,25.0
knn,lisa,0.46153846153846156,0.46153846153846156,0.46153846153846156,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.5,0.25,0.3333333333333333,12.0
knn,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
knn,macro avg,0.3929155950432547,0.3925934065934066,0.3812477137833787,95.0
knn,weighted avg,0.45074388097904333,0.5052631578947369,0.46704773899774743,95.0
nb,bart,0.4897959183673469,0.6857142857142857,0.5714285714285715,35.0
nb,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
nb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
nb,marge,0.36363636363636365,0.4,0.380952380952381,10.0
nb,maggie,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
nb,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
nb,macro avg,0.3338177695320552,0.3291941391941392,0.3181596042672389,95.0
nb,weighted avg,0.3865914786967418,0.42105263157894735,0.3907377956781818,95.0
lsvc,bart,0.7714285714285715,0.7714285714285715,0.7714285714285715,35.0
lsvc,homer,0.5555555555555556,0.6,0.576923076923077,25.0
lsvc,lisa,0.2857142857142857,0.46153846153846156,0.35294117647058826,13.0
lsvc,marge,1.0,0.2,0.33333333333333337,10.0
lsvc,maggie,0.7,0.5833333333333334,0.6363636363636365,12.0
lsvc,accuracy,0.6,0.6,0.6,0.6
lsvc,macro avg,0.6625396825396825,0.5232600732600734,0.5341979589038413,95.0
lsvc,weighted avg,0.6631913116123642,0.6,0.5998000967041216,95.0
svc,bart,0.71875,0.6571428571428571,0.6865671641791045,35.0
svc,homer,0.3968253968253968,1.0,0.5681818181818182,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
svc,macro avg,0.22311507936507935,0.3314285714285714,0.2509497964721845,95.0
svc,weighted avg,0.36923036758563077,0.5052631578947369,0.40246732842962224,95.0
lr,bart,0.675,0.7714285714285715,0.72,35.0
lr,homer,0.4583333333333333,0.44,0.4489795918367347,25.0
lr,lisa,0.11764705882352941,0.15384615384615385,0.13333333333333333,13.0
lr,marge,0.5,0.1,0.16666666666666669,10.0
lr,maggie,0.5,0.5,0.5,12.0
lr,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
lr,macro avg,0.45019607843137255,0.3930549450549451,0.39379591836734695,95.0
