model,labels,precision,recall,f1-score,support
knn,bart,0.5869565217391305,0.7714285714285715,0.6666666666666667,35.0
knn,homer,0.41379310344827586,0.48,0.4444444444444445,25.0
knn,lisa,0.46153846153846156,0.46153846153846156,0.46153846153846156,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.5,0.25,0.3333333333333333,12.0
knn,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
knn,macro avg,0.3924576173451736,0.3925934065934066,0.38119658119658123,95.0
knn,weighted avg,0.45145585102185753,0.5052631578947369,0.4678362573099416,95.0
nb,bart,0.4897959183673469,0.6857142857142857,0.5714285714285715,35.0
nb,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
nb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
nb,marge,0.36363636363636365,0.4,0.380952380952381,10.0
nb,maggie,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
nb,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
nb,macro avg,0.3338177695320552,0.3291941391941392,0.3181596042672389,95.0
nb,weighted avg,0.3865914786967418,0.42105263157894735,0.3907377956781818,95.0
lsvc,bart,0.7647058823529411,0.7428571428571429,0.7536231884057971,35.0
lsvc,homer,0.5666666666666667,0.68,0.6181818181818183,25.0
lsvc,lisa,0.35294117647058826,0.46153846153846156,0.4000000000000001,13.0
lsvc,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lsvc,maggie,0.5454545454545454,0.5,0.5217391304347826,12.0
lsvc,accuracy,0.6,0.6,0.6,0.6
lsvc,macro avg,0.5792869875222817,0.516879120879121,0.5202472889429413,95.0
lsvc,weighted avg,0.6182287268974574,0.6,0.5933594704304087,95.0
svc,bart,0.6764705882352942,0.6571428571428571,0.6666666666666666,35.0
svc,homer,0.39344262295081966,0.96,0.5581395348837209,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
