model,labels,precision,recall,f1-score,support
knn,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
knn,homer,0.4444444444444444,0.48,0.4615384615384615,25.0
knn,lisa,0.42857142857142855,0.46153846153846156,0.4444444444444445,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.5,0.25,0.3333333333333333,12.0
knn,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
knn,macro avg,0.3980074299223235,0.4040219780219781,0.3893266624973942,95.0
knn,weighted avg,0.46608720382516566,0.5263157894736842,0.4849719671285782,95.0
nb,bart,0.4897959183673469,0.6857142857142857,0.5714285714285715,35.0
nb,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
nb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
nb,marge,0.36363636363636365,0.4,0.380952380952381,10.0
nb,maggie,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
nb,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
nb,macro avg,0.3338177695320552,0.3291941391941392,0.3181596042672389,95.0
nb,weighted avg,0.3865914786967418,0.42105263157894735,0.3907377956781818,95.0
lsvc,bart,0.7647058823529411,0.7428571428571429,0.7536231884057971,35.0
lsvc,homer,0.5666666666666667,0.68,0.6181818181818183,25.0
lsvc,lisa,0.25,0.3076923076923077,0.27586206896551724,13.0
lsvc,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lsvc,maggie,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
lsvc,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
lsvc,macro avg,0.5662745098039216,0.5027765567765569,0.5077385433157547,95.0
lsvc,weighted avg,0.6089267285861713,0.5894736842105263,0.58415249497077,95.0
svc,bart,0.7272727272727273,0.6857142857142857,0.7058823529411764,35.0
svc,homer,0.4032258064516129,1.0,0.5747126436781609,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
svc,macro avg,0.226099706744868,0.33714285714285713,0.25611899932386745,95.0
svc,weighted avg,0.37405463806142925,0.5157894736842106,0.4113020888936337,95.0
lr,bart,0.6511627906976745,0.8,0.7179487179487181,35.0
lr,homer,0.5769230769230769,0.6,0.5882352941176471,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.5,0.1,0.16666666666666669,10.0
lr,maggie,0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0
lr,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lr,macro avg,0.44911367702065375,0.3974358974358974,0.3949045839071415,95.0
lr,weighted avg,0.5113411680119146,0.5263157894736842,0.501838602013592,95.0
rf,bart,0.5161290322580645,0.9142857142857143,0.6597938144329898,35.0
rf,homer,0.5769230769230769,0.6,0.5882352941176471,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.5,0.1,0.16666666666666669,10.0
rf,maggie,0.25,0.08333333333333333,0.125,12.0
rf,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
rf,macro avg,0.5686104218362283,0.3549084249084249,0.3365105836148893,95.0
rf,weighted avg,0.5630272952853598,0.5263157894736842,0.45076289875689823,95.0
lgbm,bart,0.6037735849056604,0.9142857142857143,0.7272727272727272,35.0
lgbm,homer,0.625,0.8,0.7017543859649122,25.0
lgbm,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
lgbm,marge,0.5,0.1,0.16666666666666669,10.0
lgbm,maggie,0.8,0.3333333333333333,0.47058823529411764,12.0
lgbm,accuracy,0.6210526315789474,0.6210526315789474,0.6210526315789474,0.6210526315789474
lgbm,macro avg,0.6390880503144654,0.46029304029304036,0.46325640303968474,95.0
lgbm,weighted avg,0.6318288646143662,0.6210526315789474,0.5638119009880456,95.0
xgb,bart,0.5925925925925926,0.9142857142857143,0.7191011235955056,35.0
xgb,homer,0.6666666666666666,0.72,0.6923076923076923,25.0
xgb,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
xgb,marge,0.3333333333333333,0.2,0.25,10.0
xgb,maggie,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
xgb,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
xgb,macro avg,0.5851851851851853,0.4655750915750915,0.47005954095841734,95.0
xgb,weighted avg,0.6025341130604288,0.6105263157894737,0.5618550698266842,95.0
ab,bart,0.9166666666666666,0.6285714285714286,0.7457627118644068,35.0
ab,homer,0.34328358208955223,0.92,0.5,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.25,0.1,0.14285714285714288,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
ab,macro avg,0.30199004975124377,0.32971428571428574,0.2777239709443099,95.0
ab,weighted avg,0.4543728724797067,0.4842105263157895,0.4213712246718492,95.0
et,bart,0.49230769230769234,0.9142857142857143,0.64,35.0
et,homer,0.5,0.56,0.5283018867924528,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,1.0,0.1,0.18181818181818182,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
et,macro avg,0.3984615384615385,0.31485714285714284,0.2700240137221269,95.0
et,weighted avg,0.4182186234817814,0.49473684210526314,0.3939550419788752,95.0
mlp,bart,0.6923076923076923,0.7714285714285715,0.7297297297297296,35.0
mlp,homer,0.5909090909090909,0.52,0.5531914893617023,25.0
mlp,lisa,0.26666666666666666,0.3076923076923077,0.28571428571428575,13.0
mlp,marge,0.42857142857142855,0.3,0.3529411764705882,10.0
mlp,maggie,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
mlp,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
mlp,macro avg,0.5123576423576424,0.4964908424908425,0.5009820029219278,95.0
mlp,weighted avg,0.5658513416408154,0.5684210526315789,0.5643581605639441,95.0
dc,bart,0.4375,0.4,0.41791044776119407,35.0
dc,homer,0.3333333333333333,0.32,0.32653061224489793,25.0
dc,lisa,0.16666666666666666,0.15384615384615385,0.16,13.0
dc,marge,0.0,0.0,0.0,10.0
dc,maggie,0.058823529411764705,0.08333333333333333,0.06896551724137931,12.0
dc,accuracy,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
dc,macro avg,0.19926470588235293,0.19143589743589745,0.19468131544949427,95.0
dc,weighted avg,0.27914086687306505,0.2631578947368421,0.27050228615432415,95.0
