model,labels,precision,recall,f1-score,support
knn,bart,0.4827586206896552,0.8,0.6021505376344086,35.0
knn,homer,0.3870967741935484,0.48,0.42857142857142855,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5,0.2,0.28571428571428575,10.0
knn,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
knn,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
knn,macro avg,0.47397107897664076,0.31266666666666665,0.29405648115325533,95.0
knn,weighted avg,0.4586733797787015,0.45263157894736844,0.3841352761556497,95.0
nb,bart,0.4,0.9142857142857143,0.5565217391304348,35.0
nb,homer,0.42857142857142855,0.24,0.30769230769230765,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4,0.4,0.4,0.4
nb,macro avg,0.1657142857142857,0.23085714285714287,0.1728428093645485,95.0
nb,weighted avg,0.26015037593984963,0.4,0.2860059848618201,95.0
lsvc,bart,0.5918367346938775,0.8285714285714286,0.6904761904761905,35.0
lsvc,homer,0.5172413793103449,0.6,0.5555555555555556,25.0
lsvc,lisa,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.5,0.25,0.3333333333333333,12.0
lsvc,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
lsvc,macro avg,0.5084822894675111,0.42648351648351657,0.4379782790309107,95.0
lsvc,weighted avg,0.5260910897934492,0.5473684210526316,0.5136041859033549,95.0
svc,bart,0.3723404255319149,1.0,0.5426356589147286,35.0
svc,homer,1.0,0.04,0.07692307692307693,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.274468085106383,0.20800000000000002,0.12391174716756112,95.0
svc,weighted avg,0.4003359462486002,0.37894736842105264,0.22016131563255184,95.0
lr,bart,0.5178571428571429,0.8285714285714286,0.6373626373626374,35.0
lr,homer,0.4827586206896552,0.56,0.5185185185185185,25.0
lr,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
lr,marge,0.5,0.1,0.16666666666666669,10.0
lr,maggie,0.6,0.25,0.35294117647058826,12.0
lr,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
lr,macro avg,0.4867898193760262,0.36309890109890114,0.3600977998036822,95.0
lr,weighted avg,0.49186630369026013,0.505263157894737,0.45050122163125256,95.0
rf,bart,0.42857142857142855,0.9428571428571428,0.5892857142857142,35.0
rf,homer,0.5833333333333334,0.28,0.3783783783783784,25.0
rf,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.25,0.08333333333333333,0.125,12.0
rf,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
rf,macro avg,0.35238095238095235,0.2766227106227106,0.2451994851994852,95.0
rf,weighted avg,0.4114035087719298,0.4421052631578947,0.3507136083451872,95.0
lgbm,bart,0.53125,0.9714285714285714,0.6868686868686867,35.0
lgbm,homer,0.7727272727272727,0.68,0.7234042553191491,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.0,0.0,0.0,10.0
lgbm,maggie,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
lgbm,accuracy,0.6,0.6,0.6,0.6
lgbm,macro avg,0.5941287878787878,0.42772161172161177,0.4242768106597893,95.0
lgbm,weighted avg,0.6201255980861243,0.6,0.5360580044566607,95.0
xgb,bart,0.5238095238095238,0.9428571428571428,0.673469387755102,35.0
xgb,homer,0.8695652173913043,0.8,0.8333333333333333,25.0
xgb,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
xgb,marge,0.0,0.0,0.0,10.0
xgb,maggie,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
xgb,accuracy,0.6210526315789474,0.6210526315789474,0.6210526315789474,0.6210526315789474
xgb,macro avg,0.612008281573499,0.446007326007326,0.4435827664399092,95.0
xgb,weighted avg,0.6428680396643783,0.6210526315789474,0.5600501253132831,95.0
ab,bart,0.5454545454545454,0.8571428571428571,0.6666666666666665,35.0
ab,homer,0.6071428571428571,0.68,0.6415094339622641,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.0
ab,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
ab,macro avg,0.2638528138528139,0.34076190476190477,0.29496855345911943,95.0
ab,weighted avg,0.38178400546821595,0.5157894736842106,0.4354849387619993,95.0
et,bart,0.45714285714285713,0.9142857142857143,0.6095238095238095,35.0
et,homer,0.38095238095238093,0.32,0.34782608695652173,25.0
et,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
et,macro avg,0.3676190476190476,0.2622417582417582,0.22004140786749482,95.0
et,weighted avg,0.4055137844611529,0.43157894736842106,0.3356434564672551,95.0
mlp,bart,0.532258064516129,0.9428571428571428,0.6804123711340205,35.0
mlp,homer,0.6190476190476191,0.52,0.5652173913043478,25.0
mlp,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
mlp,marge,0.8,0.4,0.5333333333333333,10.0
mlp,maggie,0.75,0.25,0.375,12.0
mlp,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
mlp,macro avg,0.6735944700460829,0.45334065934065937,0.48079261915434035,95.0
mlp,weighted avg,0.6291777831675964,0.5789473684210527,0.5371389590066605,95.0
dc,bart,0.3225806451612903,0.2857142857142857,0.303030303030303,35.0
dc,homer,0.3333333333333333,0.32,0.32653061224489793,25.0
dc,lisa,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
dc,marge,0.10526315789473684,0.2,0.13793103448275862,10.0
dc,maggie,0.06666666666666667,0.08333333333333333,0.07407407407407407,12.0
