model,labels,precision,recall,f1-score,support
knn,bart,0.4827586206896552,0.8,0.6021505376344086,35.0
knn,homer,0.41935483870967744,0.52,0.46428571428571425,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5,0.2,0.28571428571428575,10.0
knn,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.4804226918798665,0.32066666666666666,0.30119933829611256,95.0
knn,weighted avg,0.4671623441250513,0.4631578947368421,0.39353377239625115,95.0
nb,bart,0.4,0.8571428571428571,0.5454545454545455,35.0
nb,homer,0.3888888888888889,0.28,0.32558139534883723,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.3894736842105263,0.3894736842105263,0.3894736842105263,0.3894736842105263
nb,macro avg,0.1577777777777778,0.2274285714285714,0.17420718816067654,95.0
nb,weighted avg,0.24970760233918127,0.3894736842105263,0.28663625236452656,95.0
lsvc,bart,0.6,0.8571428571428571,0.7058823529411764,35.0
lsvc,homer,0.5333333333333333,0.64,0.5818181818181818,25.0
lsvc,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.6,0.25,0.35294117647058826,12.0
lsvc,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
lsvc,macro avg,0.5466666666666666,0.44019780219780225,0.45257278669043377,95.0
lsvc,weighted avg,0.5550877192982456,0.5684210526315789,0.530268630578228,95.0
svc,bart,0.3723404255319149,1.0,0.5426356589147286,35.0
svc,homer,1.0,0.04,0.07692307692307693,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.274468085106383,0.20800000000000002,0.12391174716756112,95.0
svc,weighted avg,0.4003359462486002,0.37894736842105264,0.22016131563255184,95.0
lr,bart,0.5172413793103449,0.8571428571428571,0.6451612903225806,35.0
lr,homer,0.46153846153846156,0.48,0.47058823529411764,25.0
lr,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
lr,marge,0.5,0.1,0.16666666666666669,10.0
lr,maggie,0.5,0.25,0.3333333333333333,12.0
lr,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
lr,macro avg,0.462422634836428,0.35281318681318685,0.34814990512333965,95.0
lr,weighted avg,0.47342361208059947,0.49473684210526314,0.4382843969506308,95.0
rf,bart,0.4230769230769231,0.9428571428571428,0.5840707964601769,35.0
rf,homer,0.36363636363636365,0.16,0.2222222222222222,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
rf,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
rf,macro avg,0.39734265734265733,0.2526227106227106,0.21335944407261426,95.0
rf,weighted avg,0.4136694884063305,0.4105263157894737,0.30807306310196797,95.0
lgbm,bart,0.6071428571428571,0.9714285714285714,0.7472527472527473,35.0
lgbm,homer,0.7407407407407407,0.8,0.7692307692307692,25.0
lgbm,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
lgbm,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
