model,labels,precision,recall,f1-score,support
knn,bart,0.6,0.8571428571428571,0.7058823529411764,35.0
knn,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
knn,lisa,0.29411764705882354,0.38461538461538464,0.33333333333333337,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
knn,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
knn,macro avg,0.4363992869875223,0.41168498168498163,0.40406063134473647,95.0
knn,weighted avg,0.4861806923726428,0.5263157894736842,0.48783347605559585,95.0
nb,bart,0.5106382978723404,0.6857142857142857,0.5853658536585366,35.0
nb,homer,0.56,0.56,0.56,25.0
nb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
nb,marge,0.125,0.1,0.11111111111111112,10.0
nb,maggie,0.2,0.16666666666666666,0.1818181818181818,12.0
nb,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
nb,macro avg,0.359127659574468,0.33324542124542134,0.33210347376201044,95.0
nb,weighted avg,0.42865621500559914,0.45263157894736844,0.4281012953670207,95.0
lsvc,bart,0.6842105263157895,0.7428571428571429,0.7123287671232877,35.0
lsvc,homer,0.53125,0.68,0.5964912280701754,25.0
lsvc,lisa,0.4375,0.5384615384615384,0.4827586206896552,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.75,0.5,0.6,12.0
lsvc,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
lsvc,macro avg,0.4805921052631579,0.49226373626373626,0.47831572317662363,95.0
lsvc,weighted avg,0.5464854570637119,0.5894736842105263,0.5612594696845786,95.0
svc,bart,0.6666666666666666,0.6285714285714286,0.6470588235294118,35.0
svc,homer,0.423728813559322,1.0,0.5952380952380952,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
svc,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
svc,macro avg,0.5180790960451978,0.3577655677655677,0.3058952811893988,95.0
svc,weighted avg,0.5518584597085935,0.5157894736842106,0.43271050930493654,95.0
lr,bart,0.675,0.7714285714285715,0.72,35.0
lr,homer,0.5,0.56,0.5283018867924528,25.0
lr,lisa,0.4,0.46153846153846156,0.42857142857142855,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.5,0.4166666666666667,0.45454545454545453,12.0
lr,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
lr,macro avg,0.41500000000000004,0.4419267399267399,0.4262837539818672,95.0
lr,weighted avg,0.49815789473684213,0.5473684210526316,0.5203528546924773,95.0
rf,bart,0.5076923076923077,0.9428571428571428,0.6599999999999999,35.0
rf,homer,0.52,0.52,0.52,25.0
rf,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
rf,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
rf,macro avg,0.3722051282051282,0.3246227106227106,0.28933333333333333,95.0
rf,weighted avg,0.434412955465587,0.5052631578947369,0.41508771929824556,95.0
lgbm,bart,0.559322033898305,0.9428571428571428,0.7021276595744681,35.0
lgbm,homer,0.76,0.76,0.76,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.5,0.1,0.16666666666666669,10.0
lgbm,maggie,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
lgbm,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lgbm,macro avg,0.7067215496368039,0.47467399267399263,0.4843553564762971,95.0
lgbm,weighted avg,0.68576526060915,0.631578947368421,0.5791956936013045,95.0
xgb,bart,0.5409836065573771,0.9428571428571428,0.6875,35.0
xgb,homer,0.6818181818181818,0.6,0.6382978723404256,25.0
xgb,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
xgb,marge,1.0,0.2,0.33333333333333337,10.0
xgb,maggie,0.42857142857142855,0.25,0.3157894736842105,12.0
xgb,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
xgb,macro avg,0.6636079767227308,0.42934065934065924,0.4449841358715939,95.0
xgb,weighted avg,0.6293621535209111,0.5789473684210527,0.5304500402742579,95.0
ab,bart,0.5862068965517241,0.9714285714285714,0.7311827956989247,35.0
ab,homer,0.72,0.72,0.72,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
ab,maggie,1.0,0.75,0.8571428571428571,12.0
ab,accuracy,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685
ab,macro avg,0.5279080459770114,0.5082857142857142,0.4924343613375871,95.0
ab,weighted avg,0.5668481548699335,0.6526315789473685,0.5833218281435599,95.0
et,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
et,homer,0.52,0.52,0.52,25.0
et,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
et,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
et,macro avg,0.4676363636363637,0.31890842490842486,0.28597076850542197,95.0
et,weighted avg,0.4944178628389155,0.49473684210526314,0.4066880071465794,95.0
mlp,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
mlp,homer,0.5833333333333334,0.56,0.5714285714285714,25.0
mlp,lisa,0.35714285714285715,0.38461538461538464,0.3703703703703704,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.7,0.5833333333333334,0.6363636363636365,12.0
mlp,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
mlp,macro avg,0.45149949341438705,0.47130402930402937,0.457095930266662,95.0
mlp,weighted avg,0.5181256332320162,0.5789473684210527,0.5420314768196669,95.0
dc,bart,0.41379310344827586,0.34285714285714286,0.375,35.0
dc,homer,0.3333333333333333,0.32,0.32653061224489793,25.0
dc,lisa,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
dc,marge,0.18181818181818182,0.2,0.1904761904761905,10.0
dc,maggie,0.2,0.16666666666666666,0.1818181818181818,12.0
dc,accuracy,0.29473684210526313,0.29473684210526313,0.29473684210526313,0.29473684210526313
dc,macro avg,0.26388416181519625,0.26744322344322347,0.2618238204372658,95.0
dc,weighted avg,0.3106364657725819,0.29473684210526313,0.29930177812751896,95.0
