model,labels,precision,recall,f1-score,support
knn,bart,0.62,0.8857142857142857,0.7294117647058823,35.0
knn,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
knn,lisa,0.29411764705882354,0.38461538461538464,0.33333333333333337,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
knn,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
knn,macro avg,0.4403992869875223,0.41739926739926736,0.4087665136976776,95.0
knn,weighted avg,0.49354911342527436,0.5368421052631579,0.4965022067057506,95.0
nb,bart,0.5106382978723404,0.6857142857142857,0.5853658536585366,35.0
nb,homer,0.56,0.56,0.56,25.0
nb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
nb,marge,0.125,0.1,0.11111111111111112,10.0
nb,maggie,0.2,0.16666666666666666,0.1818181818181818,12.0
nb,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
nb,macro avg,0.359127659574468,0.33324542124542134,0.33210347376201044,95.0
nb,weighted avg,0.42865621500559914,0.45263157894736844,0.4281012953670207,95.0
lsvc,bart,0.6944444444444444,0.7142857142857143,0.7042253521126761,35.0
lsvc,homer,0.5151515151515151,0.68,0.5862068965517241,25.0
lsvc,lisa,0.4375,0.5384615384615384,0.4827586206896552,13.0
lsvc,marge,0.5,0.1,0.16666666666666669,10.0
lsvc,maggie,0.75,0.5,0.6,12.0
lsvc,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
lsvc,macro avg,0.5794191919191919,0.5065494505494506,0.5079715072041444,95.0
lsvc,weighted avg,0.5986509835194046,0.5894736842105263,0.57311145761441,95.0
svc,bart,0.6470588235294118,0.6285714285714286,0.6376811594202899,35.0
svc,homer,0.423728813559322,1.0,0.5952380952380952,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
svc,macro avg,0.3141575274177468,0.34109890109890106,0.2732505175983437,95.0
svc,weighted avg,0.418318728026447,0.5052631578947369,0.40982238204206173,95.0
lr,bart,0.675,0.7714285714285715,0.72,35.0
