model,labels,precision,recall,f1-score,support
knn,bart,0.5925925925925926,0.9142857142857143,0.7191011235955056,35.0
knn,homer,0.5555555555555556,0.4,0.46511627906976744,25.0
knn,lisa,0.3125,0.38461538461538464,0.3448275862068966,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
knn,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
knn,macro avg,0.463558201058201,0.4397802197802198,0.4321247872481181,95.0
knn,weighted avg,0.5155562517404623,0.5578947368421052,0.5142963399126063,95.0
nb,bart,0.5106382978723404,0.6857142857142857,0.5853658536585366,35.0
nb,homer,0.56,0.56,0.56,25.0
nb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
nb,marge,0.125,0.1,0.11111111111111112,10.0
nb,maggie,0.2,0.16666666666666666,0.1818181818181818,12.0
nb,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
nb,macro avg,0.359127659574468,0.33324542124542134,0.33210347376201044,95.0
nb,weighted avg,0.42865621500559914,0.45263157894736844,0.4281012953670207,95.0
lsvc,bart,0.6944444444444444,0.7142857142857143,0.7042253521126761,35.0
lsvc,homer,0.5483870967741935,0.68,0.6071428571428571,25.0
lsvc,lisa,0.5,0.6153846153846154,0.5517241379310345,13.0
lsvc,marge,0.5,0.1,0.16666666666666669,10.0
lsvc,maggie,0.7,0.5833333333333334,0.6363636363636365,12.0
lsvc,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lsvc,macro avg,0.5885663082437276,0.5386007326007327,0.5332245300433742,95.0
lsvc,weighted avg,0.6096340313148462,0.6105263157894737,0.5926516089331457,95.0
svc,bart,0.6153846153846154,0.6857142857142857,0.6486486486486486,35.0
svc,homer,0.46296296296296297,1.0,0.6329113924050632,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
svc,macro avg,0.3156695156695157,0.3525274725274725,0.282978674877409,95.0
svc,weighted avg,0.4169740590793223,0.5263157894736842,0.4237770615385539,95.0
lr,bart,0.6428571428571429,0.7714285714285715,0.7012987012987013,35.0
lr,homer,0.5,0.56,0.5283018867924528,25.0
lr,lisa,0.3333333333333333,0.38461538461538464,0.3571428571428571,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.625,0.4166666666666667,0.5,12.0
lr,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
lr,macro avg,0.42023809523809524,0.4265421245421245,0.4173486890468022,95.0
lr,weighted avg,0.4929824561403509,0.5368421052631579,0.5094300932434,95.0
rf,bart,0.4927536231884058,0.9714285714285714,0.6538461538461539,35.0
rf,homer,0.5,0.4,0.4444444444444445,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
rf,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
rf,macro avg,0.4385507246376812,0.3063369963369963,0.27175895999425415,95.0
rf,weighted avg,0.47522501906941267,0.4842105263157895,0.39225930588159685,95.0
lgbm,bart,0.5789473684210527,0.9428571428571428,0.7173913043478262,35.0
lgbm,homer,0.7037037037037037,0.76,0.7307692307692308,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.5,0.1,0.16666666666666669,10.0
lgbm,maggie,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
lgbm,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lgbm,macro avg,0.6993873572820941,0.47467399267399263,0.4815619315848149,95.0
lgbm,weighted avg,0.6781808321974526,0.631578947368421,0.5771268339833918,95.0
xgb,bart,0.5573770491803278,0.9714285714285714,0.7083333333333333,35.0
xgb,homer,0.6666666666666666,0.64,0.6530612244897959,25.0
xgb,lisa,0.5,0.15384615384615385,0.23529411764705882,13.0
xgb,marge,1.0,0.2,0.33333333333333337,10.0
xgb,maggie,0.75,0.25,0.375,12.0
xgb,accuracy,0.6,0.6,0.6,0.6
xgb,macro avg,0.6948087431693989,0.44305494505494514,0.46100440176070434,95.0
xgb,weighted avg,0.6492090882945066,0.6,0.5474774120174386,95.0
ab,bart,0.47761194029850745,0.9142857142857143,0.6274509803921569,35.0
ab,homer,0.6956521739130435,0.64,0.6666666666666666,25.0
ab,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
ab,macro avg,0.4346528228423102,0.3262417582417582,0.28739495798319326,95.0
ab,weighted avg,0.4958707606134089,0.5157894736842106,0.42615361934247376,95.0
et,bart,0.5,0.9142857142857143,0.6464646464646465,35.0
et,homer,0.48148148148148145,0.52,0.5,25.0
et,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
et,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
et,macro avg,0.46296296296296297,0.31890842490842486,0.2845310245310245,95.0
et,weighted avg,0.4898635477582846,0.49473684210526314,0.4061411103516367,95.0
mlp,bart,0.6122448979591837,0.8571428571428571,0.7142857142857143,35.0
