model,labels,precision,recall,f1-score,support
knn,bart,0.5849056603773585,0.8857142857142857,0.7045454545454545,35.0
knn,homer,0.5263157894736842,0.4,0.45454545454545453,25.0
knn,lisa,0.3125,0.38461538461538464,0.3448275862068966,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
knn,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
knn,macro avg,0.45617286139878,0.434065934065934,0.42709948853324525,95.0
knn,weighted avg,0.5050295487975152,0.5473684210526316,0.5061519290719787,95.0
nb,bart,0.5106382978723404,0.6857142857142857,0.5853658536585366,35.0
nb,homer,0.56,0.56,0.56,25.0
nb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
nb,marge,0.125,0.1,0.11111111111111112,10.0
nb,maggie,0.2,0.16666666666666666,0.1818181818181818,12.0
nb,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
nb,macro avg,0.359127659574468,0.33324542124542134,0.33210347376201044,95.0
nb,weighted avg,0.42865621500559914,0.45263157894736844,0.4281012953670207,95.0
lsvc,bart,0.6944444444444444,0.7142857142857143,0.7042253521126761,35.0
lsvc,homer,0.5666666666666667,0.68,0.6181818181818183,25.0
lsvc,lisa,0.5,0.6153846153846154,0.5517241379310345,13.0
lsvc,marge,0.5,0.1,0.16666666666666669,10.0
lsvc,maggie,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
lsvc,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lsvc,macro avg,0.5794949494949495,0.5386007326007327,0.5298987254132217,95.0
lsvc,weighted avg,0.6064061669324827,0.6105263157894737,0.5920616954141704,95.0
svc,bart,0.6153846153846154,0.6857142857142857,0.6486486486486486,35.0
svc,homer,0.46296296296296297,1.0,0.6329113924050632,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
svc,macro avg,0.3156695156695157,0.3525274725274725,0.282978674877409,95.0
svc,weighted avg,0.4169740590793223,0.5263157894736842,0.4237770615385539,95.0
lr,bart,0.6363636363636364,0.8,0.7088607594936709,35.0
lr,homer,0.56,0.56,0.56,25.0
lr,lisa,0.3125,0.38461538461538464,0.3448275862068966,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.5555555555555556,0.4166666666666667,0.4761904761904762,12.0
lr,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
lr,macro avg,0.41288383838383835,0.43225641025641026,0.41797576437820877,95.0
lr,weighted avg,0.4947567783094099,0.5473684210526316,0.5158649570237248,95.0
rf,bart,0.5238095238095238,0.9428571428571428,0.673469387755102,35.0
rf,homer,0.6785714285714286,0.76,0.7169811320754718,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
rf,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
rf,macro avg,0.5071428571428572,0.3726227106227106,0.33332819920421,95.0
rf,weighted avg,0.5505012531328322,0.5684210526315789,0.4731905234785076,95.0
lgbm,bart,0.5789473684210527,0.9428571428571428,0.7173913043478262,35.0
lgbm,homer,0.7142857142857143,0.8,0.7547169811320756,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.5,0.1,0.16666666666666669,10.0
lgbm,maggie,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
lgbm,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lgbm,macro avg,0.6919799498746867,0.46600732600732603,0.4699772126515359,95.0
lgbm,weighted avg,0.6749505342303126,0.631578947368421,0.5730872299699208,95.0
xgb,bart,0.55,0.9428571428571428,0.6947368421052631,35.0
xgb,homer,0.7272727272727273,0.64,0.6808510638297872,25.0
xgb,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
xgb,marge,1.0,0.2,0.33333333333333337,10.0
xgb,maggie,0.5,0.3333333333333333,0.4,12.0
xgb,accuracy,0.6,0.6,0.6,0.6
xgb,macro avg,0.6887878787878787,0.45400732600732596,0.4717842478536768,95.0
xgb,weighted avg,0.6536682615629984,0.6,0.554951572660655,95.0
ab,bart,0.6037735849056604,0.9142857142857143,0.7272727272727272,35.0
ab,homer,0.75,0.72,0.7346938775510204,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
ab,maggie,1.0,0.75,0.8571428571428571,12.0
ab,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
ab,macro avg,0.5374213836477987,0.4968571428571429,0.49459112316255166,95.0
ab,weighted avg,0.5812148295266468,0.631578947368421,0.5857480864999662,95.0
et,bart,0.4925373134328358,0.9428571428571428,0.6470588235294117,35.0
et,homer,0.5652173913043478,0.52,0.5416666666666667,25.0
et,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.25,0.08333333333333333,0.125,12.0
et,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
et,macro avg,0.46155094094743665,0.3246227106227106,0.2913165266106442,95.0
et,weighted avg,0.4986235868711363,0.5052631578947369,0.41627229839304136,95.0
mlp,bart,0.6444444444444445,0.8285714285714286,0.7250000000000001,35.0
mlp,homer,0.5833333333333334,0.56,0.5714285714285714,25.0
mlp,lisa,0.4375,0.5384615384615384,0.4827586206896552,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
mlp,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
mlp,macro avg,0.5108333333333334,0.5187399267399267,0.5082183908045977,95.0
mlp,weighted avg,0.5630847953216375,0.6105263157894738,0.579783510500389,95.0
dc,bart,0.40625,0.37142857142857144,0.3880597014925374,35.0
dc,homer,0.3684210526315789,0.28,0.3181818181818182,25.0
dc,lisa,0.24,0.46153846153846156,0.3157894736842105,13.0
dc,marge,0.09090909090909091,0.1,0.09523809523809525,10.0
dc,maggie,0.0,0.0,0.0,12.0
dc,accuracy,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.28421052631578947
dc,macro avg,0.22111602870813396,0.2425934065934066,0.2234538177193323,95.0
dc,weighted avg,0.2890354444724251,0.28421052631578947,0.27993978017957843,95.0
