model,labels,precision,recall,f1-score,support
knn,bart,0.4827586206896552,0.8,0.6021505376344086,35.0
knn,homer,0.3870967741935484,0.48,0.42857142857142855,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5,0.2,0.28571428571428575,10.0
knn,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
knn,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
knn,macro avg,0.47397107897664076,0.31266666666666665,0.29405648115325533,95.0
knn,weighted avg,0.4586733797787015,0.45263157894736844,0.3841352761556497,95.0
nb,bart,0.4,0.9142857142857143,0.5565217391304348,35.0
nb,homer,0.42857142857142855,0.24,0.30769230769230765,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4,0.4,0.4,0.4
nb,macro avg,0.1657142857142857,0.23085714285714287,0.1728428093645485,95.0
nb,weighted avg,0.26015037593984963,0.4,0.2860059848618201,95.0
lsvc,bart,0.6041666666666666,0.8285714285714286,0.6987951807228916,35.0
lsvc,homer,0.5,0.6,0.5454545454545454,25.0
lsvc,lisa,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.5,0.25,0.3333333333333333,12.0
lsvc,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
lsvc,macro avg,0.5075,0.42648351648351657,0.4376218750600488,95.0
lsvc,weighted avg,0.5260964912280701,0.5473684210526316,0.5140109164939789,95.0
svc,bart,0.3723404255319149,1.0,0.5426356589147286,35.0
svc,homer,1.0,0.04,0.07692307692307693,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.274468085106383,0.20800000000000002,0.12391174716756112,95.0
svc,weighted avg,0.4003359462486002,0.37894736842105264,0.22016131563255184,95.0
lr,bart,0.5178571428571429,0.8285714285714286,0.6373626373626374,35.0
lr,homer,0.4827586206896552,0.56,0.5185185185185185,25.0
lr,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
lr,marge,0.5,0.1,0.16666666666666669,10.0
lr,maggie,0.6,0.25,0.35294117647058826,12.0
lr,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
lr,macro avg,0.4867898193760262,0.36309890109890114,0.3600977998036822,95.0
lr,weighted avg,0.49186630369026013,0.505263157894737,0.45050122163125256,95.0
rf,bart,0.4266666666666667,0.9142857142857143,0.5818181818181819,35.0
rf,homer,0.5,0.28,0.358974358974359,25.0
rf,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.25,0.08333333333333333,0.125,12.0
rf,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
rf,macro avg,0.33533333333333337,0.2709084249084249,0.23982517482517482,95.0
rf,weighted avg,0.38877192982456144,0.43157894736842106,0.3428560912771439,95.0
lgbm,bart,0.5573770491803278,0.9714285714285714,0.7083333333333333,35.0
lgbm,homer,0.7916666666666666,0.76,0.7755102040816326,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.0,0.0,0.0,10.0
lgbm,maggie,0.75,0.5,0.6,12.0
lgbm,accuracy,0.6421052631578947,0.6421052631578947,0.6421052631578947,0.6421052631578947
lgbm,macro avg,0.6198087431693989,0.477054945054945,0.47010204081632656,95.0
lgbm,weighted avg,0.645261719873454,0.6421052631578947,0.577327246688149,95.0
xgb,bart,0.515625,0.9428571428571428,0.6666666666666666,35.0
xgb,homer,0.8571428571428571,0.72,0.782608695652174,25.0
xgb,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
xgb,marge,0.0,0.0,0.0,10.0
xgb,maggie,0.5714285714285714,0.3333333333333333,0.4210526315789474,12.0
xgb,accuracy,0.6,0.6,0.6,0.6
xgb,macro avg,0.5888392857142858,0.430007326007326,0.42739893211289093,95.0
xgb,weighted avg,0.6245535714285714,0.6,0.5412405154763339,95.0
ab,bart,0.5833333333333334,0.8,0.674698795180723,35.0
ab,homer,0.4166666666666667,0.4,0.4081632653061225,25.0
ab,lisa,0.23529411764705882,0.3076923076923077,0.26666666666666666,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,1.0,0.5,0.6666666666666666,12.0
ab,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
ab,macro avg,0.4470588235294118,0.4015384615384615,0.40323907876403575,95.0
ab,weighted avg,0.4830753353973168,0.5052631578947369,0.4766863803225793,95.0
et,bart,0.43661971830985913,0.8857142857142857,0.5849056603773585,35.0
et,homer,0.42857142857142855,0.36,0.391304347826087,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
et,macro avg,0.1730382293762575,0.2491428571428571,0.1952420016406891,95.0
et,weighted avg,0.2736418511066398,0.42105263157894735,0.3184663874616813,95.0
mlp,bart,0.5471698113207547,0.8285714285714286,0.6590909090909092,35.0
mlp,homer,0.5333333333333333,0.64,0.5818181818181818,25.0
mlp,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
mlp,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
mlp,maggie,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
mlp,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
mlp,macro avg,0.6161006289308175,0.43115018315018316,0.44860916860916866,95.0
mlp,weighted avg,0.5875537901357165,0.5578947368421052,0.5186725555146608,95.0
dc,bart,0.4594594594594595,0.4857142857142857,0.47222222222222227,35.0
dc,homer,0.2608695652173913,0.24,0.24999999999999994,25.0
dc,lisa,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
dc,marge,0.09090909090909091,0.1,0.09523809523809525,10.0
dc,maggie,0.13333333333333333,0.16666666666666666,0.14814814814814814,12.0
