model,labels,precision,recall,f1-score,support
knn,bart,0.5471698113207547,0.8285714285714286,0.6590909090909092,35.0
knn,homer,0.5294117647058824,0.36,0.42857142857142855,25.0
knn,lisa,0.2857142857142857,0.3076923076923077,0.29629629629629634,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.6666666666666666,0.5,0.5714285714285715,12.0
knn,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
knn,macro avg,0.4057925056815178,0.3992527472527473,0.3910774410774411,95.0
knn,weighted avg,0.46421603398062306,0.5052631578947369,0.46833118148907626,95.0
nb,bart,0.5116279069767442,0.6285714285714286,0.5641025641025641,35.0
nb,homer,0.4482758620689655,0.52,0.48148148148148145,25.0
nb,lisa,0.2857142857142857,0.15384615384615385,0.2,13.0
nb,marge,0.125,0.1,0.11111111111111112,10.0
nb,maggie,0.125,0.08333333333333333,0.1,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.29912361095199913,0.29715018315018316,0.29133903133903133,95.0
nb,weighted avg,0.3745069369494305,0.4105263157894737,0.38622881991303054,95.0
lsvc,bart,0.6190476190476191,0.7428571428571429,0.6753246753246753,35.0
lsvc,homer,0.6,0.6,0.6,25.0
lsvc,lisa,0.5555555555555556,0.7692307692307693,0.6451612903225806,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.875,0.5833333333333334,0.7000000000000001,12.0
lsvc,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lsvc,macro avg,0.5299206349206349,0.5390842490842491,0.5240971931294511,95.0
lsvc,weighted avg,0.572514619883041,0.6105263157894737,0.5834048464269178,95.0
svc,bart,0.5555555555555556,0.7142857142857143,0.6250000000000001,35.0
svc,homer,0.4375,0.84,0.5753424657534247,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
svc,macro avg,0.2986111111111111,0.3262417582417582,0.26673515981735163,95.0
svc,weighted avg,0.38823099415204676,0.49473684210526314,0.3999146839701995,95.0
lr,bart,0.5471698113207547,0.8285714285714286,0.6590909090909092,35.0
lr,homer,0.5,0.48,0.4897959183673469,25.0
lr,lisa,0.2857142857142857,0.15384615384615385,0.2,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.625,0.4166666666666667,0.5,12.0
lr,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
lr,macro avg,0.39157681940700806,0.3758168498168498,0.36977736549165124,95.0
lr,weighted avg,0.4512129380053908,0.5052631578947369,0.4622429450249,95.0
rf,bart,0.4583333333333333,0.9428571428571428,0.616822429906542,35.0
rf,homer,0.6470588235294118,0.44,0.5238095238095238,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
rf,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
