model,labels,precision,recall,f1-score,support
knn,bart,0.5365853658536586,0.6285714285714286,0.5789473684210527,35.0
knn,homer,0.5,0.2,0.28571428571428575,25.0
knn,lisa,0.30303030303030304,0.7692307692307693,0.43478260869565216,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.5454545454545454,0.5,0.5217391304347826,12.0
knn,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
knn,macro avg,0.3770140428677014,0.4195604395604396,0.3642366786531547,95.0
knn,weighted avg,0.4396351188392267,0.45263157894736844,0.4138848264826827,95.0
nb,bart,0.48936170212765956,0.6571428571428571,0.5609756097560975,35.0
nb,homer,0.6470588235294118,0.44,0.5238095238095238,25.0
nb,lisa,0.4,0.3076923076923077,0.34782608695652173,13.0
nb,marge,0.3333333333333333,0.4,0.3636363636363636,10.0
nb,maggie,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
nb,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
nb,macro avg,0.39617299402030315,0.37763369963369964,0.3782971358793204,95.0
nb,weighted avg,0.4544294403091584,0.45263157894736844,0.4424246773300744,95.0
lsvc,bart,0.6666666666666666,0.6285714285714286,0.6470588235294118,35.0
lsvc,homer,0.5294117647058824,0.36,0.42857142857142855,25.0
lsvc,lisa,0.38461538461538464,0.7692307692307693,0.5128205128205128,13.0
lsvc,marge,0.4,0.2,0.26666666666666666,10.0
lsvc,maggie,0.5,0.5833333333333334,0.5384615384615384,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.49613876319758676,0.5082271062271062,0.47871579400991165,95.0
lsvc,weighted avg,0.542827657378741,0.5263157894736842,0.5174338561335465,95.0
svc,bart,0.5555555555555556,0.7142857142857143,0.6250000000000001,35.0
svc,homer,0.425,0.68,0.5230769230769231,25.0
svc,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
svc,marge,1.0,0.2,0.33333333333333337,10.0
svc,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
svc,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
svc,macro avg,0.7675396825396825,0.4342417582417582,0.4511692693271641,95.0
svc,weighted avg,0.6668964076858813,0.5368421052631579,0.5023299645875824,95.0
lr,bart,0.5853658536585366,0.6857142857142857,0.6315789473684211,35.0
lr,homer,0.6428571428571429,0.36,0.4615384615384615,25.0
lr,lisa,0.2857142857142857,0.46153846153846156,0.35294117647058826,13.0
lr,marge,0.5,0.3,0.37499999999999994,10.0
lr,maggie,0.5384615384615384,0.5833333333333334,0.5599999999999999,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.5104797641383007,0.47811721611721614,0.47621171707549415,95.0
lr,weighted avg,0.5445795539505424,0.5157894736842106,0.5126522104260413,95.0
rf,bart,0.47058823529411764,0.9142857142857143,0.6213592233009708,35.0
rf,homer,0.5294117647058824,0.36,0.42857142857142855,25.0
rf,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
rf,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
rf,macro avg,0.29,0.2869084249084249,0.25704495390389165,95.0
rf,weighted avg,0.3721671826625387,0.45263157894736844,0.3726635263200835,95.0
lgbm,bart,0.5882352941176471,0.8571428571428571,0.6976744186046512,35.0
lgbm,homer,0.7307692307692307,0.76,0.7450980392156863,25.0
lgbm,lisa,0.5,0.23076923076923078,0.3157894736842105,13.0
lgbm,marge,0.25,0.1,0.14285714285714288,10.0
lgbm,maggie,0.875,0.5833333333333334,0.7000000000000001,12.0
lgbm,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lgbm,macro avg,0.5888009049773755,0.5062490842490843,0.5202838148723382,95.0
lgbm,weighted avg,0.614289116456299,0.631578947368421,0.5997883180844328,95.0
xgb,bart,0.5555555555555556,0.8571428571428571,0.6741573033707865,35.0
xgb,homer,0.631578947368421,0.48,0.5454545454545454,25.0
xgb,lisa,0.25,0.15384615384615385,0.1904761904761905,13.0
xgb,marge,0.14285714285714285,0.1,0.11764705882352941,10.0
xgb,maggie,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
xgb,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
xgb,macro avg,0.45885547201336674,0.4015311355311355,0.4108101775197472,95.0
xgb,weighted avg,0.5103570329332102,0.5263157894736842,0.49684547149948577,95.0
ab,bart,0.8947368421052632,0.4857142857142857,0.6296296296296297,35.0
ab,homer,0.375,0.84,0.5185185185185186,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.38461538461538464,0.5,0.4347826086956522,10.0
ab,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
ab,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
ab,macro avg,0.5308704453441295,0.38180952380952377,0.3473553821379909,95.0
ab,weighted avg,0.5951257191561901,0.4631578947368421,0.4336208414011618,95.0
et,bart,0.43478260869565216,0.8571428571428571,0.5769230769230769,35.0
et,homer,0.2857142857142857,0.16,0.20512820512820512,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.16666666666666666,0.08333333333333333,0.1111111111111111,12.0
et,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
et,macro avg,0.17743271221532092,0.22009523809523807,0.1786324786324786,95.0
et,weighted avg,0.25642366786531545,0.3684210526315789,0.28056680161943315,95.0
mlp,bart,0.5869565217391305,0.7714285714285715,0.6666666666666667,35.0
mlp,homer,0.5263157894736842,0.4,0.45454545454545453,25.0
mlp,lisa,0.2777777777777778,0.38461538461538464,0.3225806451612903,13.0
mlp,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
mlp,maggie,0.6666666666666666,0.5,0.5714285714285715,12.0
mlp,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
mlp,macro avg,0.4782100177981185,0.4312087912087913,0.4338134983296274,95.0
mlp,weighted avg,0.5120612362332223,0.5157894736842106,0.4977486576807461,95.0
dc,bart,0.3076923076923077,0.34285714285714286,0.3243243243243243,35.0
dc,homer,0.2222222222222222,0.16,0.18604651162790697,25.0
dc,lisa,0.14285714285714285,0.15384615384615385,0.14814814814814817,13.0
dc,marge,0.1,0.1,0.10000000000000002,10.0
dc,maggie,0.0,0.0,0.0,12.0
dc,accuracy,0.2,0.2,0.2,0.2
dc,macro avg,0.15455433455433457,0.15134065934065935,0.15170379682007587,95.0
dc,weighted avg,0.20191504402030716,0.2,0.1992467375576311,95.0
