model,labels,precision,recall,f1-score,support
knn,bart,0.5217391304347826,0.6857142857142857,0.5925925925925927,35.0
knn,homer,0.35135135135135137,0.52,0.4193548387096775,25.0
knn,lisa,0.25,0.15384615384615385,0.1904761904761905,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.25,0.08333333333333333,0.125,12.0
knn,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
knn,macro avg,0.2746180963572268,0.2885787545787546,0.2654847243556921,95.0
knn,weighted avg,0.3504700352526439,0.42105263157894735,0.3705347598386648,95.0
nb,bart,0.4883720930232558,0.6,0.5384615384615383,35.0
nb,homer,0.3448275862068966,0.4,0.3703703703703704,25.0
nb,lisa,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.18181818181818182,0.16666666666666666,0.17391304347826086,12.0
nb,accuracy,0.35789473684210527,0.35789473684210527,0.35789473684210527,0.35789473684210527
nb,macro avg,0.23633690554300016,0.24871794871794872,0.2376016220409813,95.0
nb,weighted avg,0.3164441869418023,0.35789473684210527,0.3322188492608822,95.0
lsvc,bart,0.6136363636363636,0.7714285714285715,0.6835443037974683,35.0
lsvc,homer,0.6071428571428571,0.68,0.6415094339622641,25.0
lsvc,lisa,0.36363636363636365,0.3076923076923077,0.33333333333333337,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.7,0.5833333333333334,0.6363636363636365,12.0
lsvc,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
lsvc,macro avg,0.4568831168831169,0.4684908424908425,0.4589501414913405,95.0
lsvc,weighted avg,0.5240328092959671,0.5789473684210527,0.5466471942280523,95.0
svc,bart,0.43661971830985913,0.8857142857142857,0.5849056603773585,35.0
svc,homer,0.5909090909090909,0.52,0.5531914893617023,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
svc,macro avg,0.20550576184379002,0.28114285714285714,0.22761942994781217,95.0
svc,weighted avg,0.3163622885639194,0.4631578947368421,0.361068266813159,95.0
lr,bart,0.5416666666666666,0.7428571428571429,0.6265060240963857,35.0
lr,homer,0.5161290322580645,0.64,0.5714285714285714,25.0
lr,lisa,0.25,0.15384615384615385,0.1904761904761905,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.42857142857142855,0.25,0.3157894736842105,12.0
lr,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
lr,macro avg,0.3472734254992319,0.35734065934065934,0.34084005193707156,95.0
lr,weighted avg,0.42373069771202193,0.49473684210526314,0.44714830831040825,95.0
rf,bart,0.515625,0.9428571428571428,0.6666666666666666,35.0
rf,homer,0.6,0.6,0.6,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
rf,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
rf,macro avg,0.46312500000000006,0.34062271062271055,0.3054341736694678,95.0
rf,weighted avg,0.5099671052631579,0.5263157894736842,0.4379183252248267,95.0
lgbm,bart,0.5409836065573771,0.9428571428571428,0.6875,35.0
lgbm,homer,0.7083333333333334,0.68,0.6938775510204083,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.0,0.0,0.0,10.0
lgbm,maggie,0.5,0.3333333333333333,0.4,12.0
lgbm,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
lgbm,macro avg,0.549863387978142,0.422007326007326,0.409608843537415,95.0
lgbm,weighted avg,0.5857132585562267,0.5894736842105263,0.5229063730755461,95.0
xgb,bart,0.5517241379310345,0.9142857142857143,0.6881720430107526,35.0
xgb,homer,0.75,0.72,0.7346938775510204,25.0
xgb,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
xgb,marge,0.5,0.1,0.16666666666666669,10.0
xgb,maggie,0.5,0.3333333333333333,0.4,12.0
xgb,accuracy,0.6,0.6,0.6,0.6
xgb,macro avg,0.5936781609195403,0.44429304029304034,0.44790651744568794,95.0
xgb,weighted avg,0.6076527525710829,0.6,0.5491582643244054,95.0
ab,bart,0.559322033898305,0.9428571428571428,0.7021276595744681,35.0
ab,homer,0.8,0.8,0.8000000000000002,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,1.0,0.6666666666666666,0.8,12.0
ab,accuracy,0.6421052631578947,0.6421052631578947,0.6421052631578947,0.6421052631578947
ab,macro avg,0.471864406779661,0.4819047619047619,0.46042553191489366,95.0
ab,weighted avg,0.5429081177520071,0.6421052631578947,0.5702575587905936,95.0
et,bart,0.4852941176470588,0.9428571428571428,0.6407766990291262,35.0
et,homer,0.43478260869565216,0.4,0.41666666666666663,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.25,0.08333333333333333,0.125,12.0
et,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
et,macro avg,0.2340153452685422,0.28523809523809524,0.23648867313915858,95.0
et,weighted avg,0.32478799300040384,0.4631578947368421,0.3615142224493272,95.0
