model,labels,precision,recall,f1-score,support
knn,bart,0.6857142857142857,0.6857142857142857,0.6857142857142857,35.0
knn,homer,0.4473684210526316,0.68,0.5396825396825397,25.0
knn,lisa,0.16666666666666666,0.15384615384615385,0.16,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.7,0.5833333333333334,0.6363636363636365,12.0
knn,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
knn,macro avg,0.39994987468671683,0.4205787545787546,0.40435209235209235,95.0
knn,weighted avg,0.48158818097876266,0.5263157894736842,0.49693081187818033,95.0
nb,bart,0.4807692307692308,0.7142857142857143,0.5747126436781609,35.0
nb,homer,0.45,0.36,0.39999999999999997,25.0
nb,lisa,0.2,0.07692307692307693,0.1111111111111111,13.0
nb,marge,0.5,0.3,0.37499999999999994,10.0
nb,maggie,0.25,0.25,0.25,12.0
nb,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
nb,macro avg,0.37615384615384617,0.34024175824175823,0.34216475095785437,95.0
nb,weighted avg,0.40712550607287445,0.43157894736842106,0.4032567049808429,95.0
lsvc,bart,0.7058823529411765,0.6857142857142857,0.6956521739130436,35.0
lsvc,homer,0.4444444444444444,0.64,0.5245901639344263,25.0
lsvc,lisa,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
lsvc,marge,0.25,0.1,0.14285714285714288,10.0
lsvc,maggie,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
lsvc,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
lsvc,macro avg,0.45784313725490194,0.4492454212454212,0.44231686583789226,95.0
lsvc,weighted avg,0.5179566563467491,0.5368421052631579,0.5184714523949998,95.0
svc,bart,0.7407407407407407,0.5714285714285714,0.6451612903225806,35.0
svc,homer,0.38333333333333336,0.92,0.5411764705882353,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.875,0.5833333333333334,0.7000000000000001,12.0
svc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
svc,macro avg,0.3998148148148148,0.414952380952381,0.3772675521821632,95.0
svc,weighted avg,0.484307992202729,0.5263157894736842,0.4685269150104863,95.0
lr,bart,0.6486486486486487,0.6857142857142857,0.6666666666666667,35.0
lr,homer,0.36363636363636365,0.48,0.41379310344827586,25.0
lr,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
lr,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
lr,macro avg,0.3479115479115479,0.36519413919413923,0.35449775112443777,95.0
lr,weighted avg,0.42749256433466964,0.4631578947368421,0.4427983376732687,95.0
rf,bart,0.56,0.8,0.6588235294117648,35.0
rf,homer,0.4358974358974359,0.68,0.53125,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
rf,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
rf,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
rf,macro avg,0.3991794871794872,0.35266666666666663,0.3262198340874812,95.0
