model,labels,precision,recall,f1-score,support
knn,bart,0.4745762711864407,0.8,0.5957446808510638,35.0
knn,homer,0.3793103448275862,0.44,0.4074074074074074,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.4,0.2,0.26666666666666666,10.0
knn,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
knn,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
knn,macro avg,0.4507773232028054,0.30466666666666664,0.2847329817542583,95.0
knn,weighted avg,0.4430834538127903,0.4421052631578947,0.37420073187150454,95.0
nb,bart,0.37209302325581395,0.9142857142857143,0.5289256198347106,35.0
nb,homer,0.7142857142857143,0.2,0.3125,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.3894736842105263,0.3894736842105263,0.3894736842105263,0.3894736842105263
nb,macro avg,0.21727574750830564,0.22285714285714286,0.16828512396694212,95.0
nb,weighted avg,0.32505682811680364,0.3894736842105263,0.2771041757285776,95.0
lsvc,bart,0.6122448979591837,0.8571428571428571,0.7142857142857143,35.0
lsvc,homer,0.5,0.56,0.5283018867924528,25.0
lsvc,lisa,0.375,0.23076923076923078,0.2857142857142857,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.6,0.25,0.35294117647058826,12.0
lsvc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lsvc,macro avg,0.5374489795918367,0.43958241758241756,0.4562486126526082,95.0
lsvc,weighted avg,0.547406015037594,0.5578947368421052,0.5279697579130957,95.0
svc,bart,0.3723404255319149,1.0,0.5426356589147286,35.0
svc,homer,1.0,0.04,0.07692307692307693,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.274468085106383,0.20800000000000002,0.12391174716756112,95.0
svc,weighted avg,0.4003359462486002,0.37894736842105264,0.22016131563255184,95.0
lr,bart,0.5357142857142857,0.8571428571428571,0.6593406593406593,35.0
lr,homer,0.5,0.56,0.5283018867924528,25.0
lr,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
lr,marge,0.5,0.1,0.16666666666666669,10.0
lr,maggie,0.6,0.25,0.35294117647058826,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.47714285714285715,0.36881318681318687,0.36497948961877935,95.0
lr,weighted avg,0.49157894736842106,0.5157894736842106,0.4601667662710948,95.0
rf,bart,0.4027777777777778,0.8285714285714286,0.5420560747663552,35.0
rf,homer,0.38095238095238093,0.32,0.34782608695652173,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
rf,accuracy,0.4,0.4,0.4,0.4
rf,macro avg,0.2567460317460317,0.24638095238095237,0.20654786091600394,95.0
rf,weighted avg,0.31180033416875524,0.4,0.30928316321074933,95.0
lgbm,bart,0.5384615384615384,0.8,0.6436781609195402,35.0
lgbm,homer,0.4444444444444444,0.48,0.4615384615384615,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
