model,labels,precision,recall,f1-score,support
knn,bart,0.5957446808510638,0.8,0.6829268292682927,35.0
knn,homer,0.4444444444444444,0.48,0.4615384615384615,25.0
knn,lisa,0.38461538461538464,0.38461538461538464,0.38461538461538464,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.5714285714285714,0.3333333333333333,0.4210526315789474,12.0
knn,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
knn,macro avg,0.3992466162678928,0.3995897435897436,0.39002666140021724,95.0
knn,weighted avg,0.4612559768214863,0.5157894736842106,0.478879285703149,95.0
nb,bart,0.4897959183673469,0.6857142857142857,0.5714285714285715,35.0
nb,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
nb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
nb,marge,0.36363636363636365,0.4,0.380952380952381,10.0
nb,maggie,0.1111111111111111,0.08333333333333333,0.09523809523809525,12.0
nb,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
nb,macro avg,0.3338177695320552,0.3291941391941392,0.3181596042672389,95.0
nb,weighted avg,0.3865914786967418,0.42105263157894735,0.3907377956781818,95.0
lsvc,bart,0.84375,0.7714285714285715,0.8059701492537314,35.0
lsvc,homer,0.5517241379310345,0.64,0.5925925925925927,25.0
lsvc,lisa,0.3,0.46153846153846156,0.3636363636363637,13.0
lsvc,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lsvc,maggie,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
lsvc,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lsvc,macro avg,0.5997008881922674,0.5312600732600734,0.5357174130697817,95.0
lsvc,weighted avg,0.6476566710663806,0.6105263157894737,0.6119190912524018,95.0
svc,bart,0.7272727272727273,0.6857142857142857,0.7058823529411764,35.0
svc,homer,0.4032258064516129,1.0,0.5747126436781609,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
svc,macro avg,0.226099706744868,0.33714285714285713,0.25611899932386745,95.0
svc,weighted avg,0.37405463806142925,0.5157894736842106,0.4113020888936337,95.0
