model,labels,precision,recall,f1-score,support
knn,bart,0.39622641509433965,0.6,0.4772727272727273,35.0
knn,homer,0.3333333333333333,0.28,0.30434782608695654,25.0
knn,lisa,0.08333333333333333,0.07692307692307693,0.08,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
knn,accuracy,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.3263157894736842
knn,macro avg,0.22924528301886796,0.22471794871794876,0.2167685551163812,95.0
knn,weighted avg,0.2872062231049321,0.3263157894736842,0.29494639761458985,95.0
nb,bart,0.4897959183673469,0.6857142857142857,0.5714285714285715,35.0
nb,homer,0.75,0.12,0.20689655172413793,25.0
nb,lisa,0.18181818181818182,0.15384615384615385,0.16666666666666669,13.0
nb,marge,0.2857142857142857,0.4,0.3333333333333333,10.0
nb,maggie,0.35294117647058826,0.5,0.41379310344827586,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.41205391247408063,0.37191208791208796,0.33842364532019703,95.0
nb,weighted avg,0.4773571629608781,0.4105263157894737,0.3751361161524501,95.0
lsvc,bart,0.4166666666666667,0.7142857142857143,0.5263157894736842,35.0
lsvc,homer,0.20833333333333334,0.2,0.20408163265306126,25.0
lsvc,lisa,0.0,0.0,0.0,13.0
lsvc,marge,1.0,0.2,0.33333333333333337,10.0
lsvc,maggie,0.4,0.16666666666666666,0.23529411764705882,12.0
lsvc,accuracy,0.35789473684210527,0.35789473684210527,0.35789473684210527,0.35789473684210527
lsvc,macro avg,0.40499999999999997,0.2561904761904762,0.25980497462142754,95.0
lsvc,weighted avg,0.3641228070175439,0.35789473684210527,0.31242059150530016,95.0
svc,bart,0.4098360655737705,0.7142857142857143,0.5208333333333334,35.0
svc,homer,0.2962962962962963,0.32,0.30769230769230765,25.0
svc,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
svc,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
svc,macro avg,0.25789313904068,0.23890842490842487,0.21590120663650075,95.0
svc,weighted avg,0.3052807337104145,0.3684210526315789,0.3057988013018973,95.0
lr,bart,0.45614035087719296,0.7428571428571429,0.5652173913043478,35.0
lr,homer,0.23076923076923078,0.24,0.23529411764705882,25.0
lr,lisa,0.2,0.07692307692307693,0.1111111111111111,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.2857142857142857,0.16666666666666666,0.2105263157894737,12.0
lr,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
lr,macro avg,0.23452477347214185,0.2452893772893773,0.22442978717039827,95.0
lr,weighted avg,0.2922390997737258,0.3684210526315789,0.3119549670604923,95.0
rf,bart,0.4857142857142857,0.4857142857142857,0.4857142857142857,35.0
rf,homer,0.3235294117647059,0.44,0.3728813559322034,25.0
rf,lisa,0.14285714285714285,0.15384615384615385,0.14814814814814817,13.0
rf,marge,0.42857142857142855,0.3,0.3529411764705882,10.0
rf,maggie,0.4,0.16666666666666666,0.23529411764705882,12.0
rf,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
rf,macro avg,0.3561344537815126,0.30924542124542126,0.3189958167824568,95.0
rf,weighted avg,0.37927465723131354,0.3684210526315789,0.364220010533701,95.0
lgbm,bart,0.4482758620689655,0.37142857142857144,0.40625,35.0
lgbm,homer,0.2619047619047619,0.44,0.3283582089552239,25.0
lgbm,lisa,0.18181818181818182,0.15384615384615385,0.16666666666666669,13.0
lgbm,marge,0.375,0.3,0.33333333333333326,10.0
lgbm,maggie,0.4,0.16666666666666666,0.23529411764705882,12.0
lgbm,accuracy,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.3263157894736842
lgbm,macro avg,0.3333997611583818,0.2863882783882784,0.2939804653204566,95.0
lgbm,weighted avg,0.3489569535123074,0.3263157894736842,0.3236972066910032,95.0
xgb,bart,0.4838709677419355,0.42857142857142855,0.4545454545454545,35.0
xgb,homer,0.21875,0.28,0.2456140350877193,25.0
xgb,lisa,0.16666666666666666,0.15384615384615385,0.16,13.0
xgb,marge,0.2727272727272727,0.3,0.28571428571428564,10.0
xgb,maggie,0.3333333333333333,0.25,0.28571428571428575,12.0
xgb,accuracy,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105
xgb,macro avg,0.2950696480938416,0.2824835164835165,0.2863176122123491,95.0
xgb,weighted avg,0.3294544554200751,0.3157894736842105,0.3201595375999808,95.0
ab,bart,0.4583333333333333,0.3142857142857143,0.3728813559322034,35.0
ab,homer,0.058823529411764705,0.04,0.04761904761904763,25.0
ab,lisa,0.11764705882352941,0.15384615384615385,0.13333333333333333,13.0
ab,marge,0.15384615384615385,0.2,0.17391304347826086,10.0
ab,maggie,0.2916666666666667,0.5833333333333334,0.38888888888888895,12.0
ab,accuracy,0.24210526315789474,0.24210526315789474,0.24210526315789474,0.24210526315789474
ab,macro avg,0.21606334841628957,0.2582930402930403,0.2233271338503468,95.0
ab,weighted avg,0.25347503373819164,0.24210526315789474,0.23558372718827286,95.0
et,bart,0.41935483870967744,0.37142857142857144,0.393939393939394,35.0
et,homer,0.3235294117647059,0.44,0.3728813559322034,25.0
et,lisa,0.1111111111111111,0.15384615384615385,0.12903225806451615,13.0
et,marge,0.4444444444444444,0.4,0.4210526315789474,10.0
et,maggie,1.0,0.25,0.4,12.0
et,accuracy,0.3473684210526316,0.3473684210526316,0.3473684210526316,0.3473684210526316
et,macro avg,0.45968796120598776,0.32305494505494503,0.34338112790301223,95.0
et,weighted avg,0.4279425635562657,0.3473684210526316,0.35576693007170584,95.0
mlp,bart,0.47619047619047616,0.8571428571428571,0.6122448979591837,35.0
mlp,homer,0.3,0.24,0.2666666666666666,25.0
mlp,lisa,0.0,0.0,0.0,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.2,0.16666666666666666,0.1818181818181818,12.0
mlp,accuracy,0.4,0.4,0.4,0.4
mlp,macro avg,0.1952380952380952,0.25276190476190474,0.21214594928880642,95.0
mlp,weighted avg,0.2796491228070175,0.4,0.31870585554796077,95.0
dc,bart,0.4838709677419355,0.42857142857142855,0.4545454545454545,35.0
dc,homer,0.36666666666666664,0.44,0.4,25.0
dc,lisa,0.3076923076923077,0.3076923076923077,0.3076923076923077,13.0
dc,marge,0.07142857142857142,0.1,0.08333333333333333,10.0
dc,maggie,0.42857142857142855,0.25,0.3157894736842105,12.0
dc,accuracy,0.35789473684210527,0.35789473684210527,0.35789473684210527,0.35789473684210527
dc,macro avg,0.331645988420182,0.30525274725274726,0.31227211385106124,95.0
dc,weighted avg,0.3785188778397607,0.35789473684210527,0.3634936623856291,95.0
