model,labels,precision,recall,f1-score,support
knn,bart,0.42857142857142855,0.5142857142857142,0.4675324675324675,35.0
knn,homer,0.2391304347826087,0.44,0.3098591549295775,25.0
knn,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
knn,marge,0.5,0.1,0.16666666666666669,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.3263157894736842
knn,macro avg,0.3002070393374741,0.22624175824175824,0.21381165782574235,95.0
knn,weighted avg,0.31906941266209,0.3263157894736842,0.28843980951097337,95.0
nb,bart,0.25,0.05714285714285714,0.09302325581395347,35.0
nb,homer,0.22972972972972974,0.68,0.3434343434343434,25.0
nb,lisa,0.2,0.07692307692307693,0.1111111111111111,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367
nb,macro avg,0.13594594594594595,0.16281318681318685,0.10951374207188161,95.0
nb,weighted avg,0.17992887624466572,0.21052631578947367,0.1398538629872779,95.0
lsvc,bart,0.43333333333333335,0.7428571428571429,0.5473684210526316,35.0
lsvc,homer,0.25806451612903225,0.32,0.2857142857142857,25.0
lsvc,lisa,0.0,0.0,0.0,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.0,0.0,0.0,12.0
lsvc,accuracy,0.35789473684210527,0.35789473684210527,0.35789473684210527,0.35789473684210527
lsvc,macro avg,0.13827956989247311,0.21257142857142858,0.16661654135338347,95.0
lsvc,weighted avg,0.2275608375778155,0.35789473684210527,0.27685001978630785,95.0
svc,bart,0.4098360655737705,0.7142857142857143,0.5208333333333334,35.0
svc,homer,0.3448275862068966,0.4,0.3703703703703704,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.2509327303561334,0.23824175824175825,0.2049074074074074,95.0
svc,weighted avg,0.31015738895004613,0.37894736842105264,0.3075974658869396,95.0
lr,bart,0.45,0.7714285714285715,0.5684210526315789,35.0
lr,homer,0.25806451612903225,0.32,0.2857142857142857,25.0
lr,lisa,0.0,0.0,0.0,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.0,0.0,0.0,12.0
lr,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
lr,macro avg,0.14161290322580644,0.21828571428571428,0.17082706766917294,95.0
lr,weighted avg,0.2337011884550085,0.3684210526315789,0.28460625247328847,95.0
rf,bart,0.4358974358974359,0.4857142857142857,0.45945945945945943,35.0
rf,homer,0.2765957446808511,0.52,0.36111111111111105,25.0
rf,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
rf,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.3368421052631579,0.3368421052631579,0.3368421052631579,0.3368421052631579
rf,macro avg,0.2758319694489907,0.23652747252747255,0.21988334488334488,95.0
rf,weighted avg,0.3140839004220863,0.3368421052631579,0.2976033726033726,95.0
lgbm,bart,0.4473684210526316,0.4857142857142857,0.4657534246575342,35.0
lgbm,homer,0.3125,0.6,0.4109589041095891,25.0
lgbm,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
lgbm,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
lgbm,maggie,0.0,0.0,0.0,12.0
lgbm,accuracy,0.35789473684210527,0.35789473684210527,0.35789473684210527,0.35789473684210527
lgbm,macro avg,0.2853070175438596,0.25252747252747254,0.2311116965226554,95.0
lgbm,weighted avg,0.327758541089566,0.35789473684210527,0.31304004214963116,95.0
xgb,bart,0.46511627906976744,0.5714285714285714,0.5128205128205128,35.0
xgb,homer,0.30952380952380953,0.52,0.3880597014925373,25.0
xgb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
xgb,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
xgb,maggie,0.0,0.0,0.0,12.0
xgb,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
xgb,macro avg,0.27159468438538203,0.25367032967032965,0.23447468539654664,95.0
xgb,weighted avg,0.3221105088302151,0.3684210526315789,0.32334825041261905,95.0
ab,bart,0.3333333333333333,0.05714285714285714,0.09756097560975609,35.0
ab,homer,0.24675324675324675,0.76,0.37254901960784315,25.0
ab,lisa,0.3333333333333333,0.07692307692307693,0.125,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.23157894736842105,0.23157894736842105,0.23157894736842105,0.23157894736842105
ab,macro avg,0.1826839826839827,0.1788131868131868,0.11902199904351984,95.0
ab,weighted avg,0.23335611756664384,0.23157894736842105,0.1510879961740794,95.0
et,bart,0.5,0.5142857142857142,0.5070422535211268,35.0
et,homer,0.34,0.68,0.4533333333333334,25.0
et,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
et,marge,0.25,0.1,0.14285714285714288,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.3894736842105263,0.3894736842105263,0.3894736842105263,0.3894736842105263
et,macro avg,0.318,0.2742417582417583,0.24731321260898725,95.0
et,weighted avg,0.3684210526315789,0.3894736842105263,0.33938649440502666,95.0
mlp,bart,0.5,0.6571428571428571,0.5679012345679013,35.0
mlp,homer,0.3181818181818182,0.56,0.4057971014492754,25.0
mlp,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.0,0.0,0.0,12.0
mlp,accuracy,0.4,0.4,0.4,0.4
mlp,macro avg,0.36363636363636365,0.25881318681318677,0.2233110957748639,95.0
mlp,weighted avg,0.4047846889952153,0.4,0.33556435371843457,95.0
dc,bart,0.24,0.17142857142857143,0.19999999999999998,35.0
dc,homer,0.28125,0.36,0.3157894736842105,25.0
dc,lisa,0.0,0.0,0.0,13.0
dc,marge,0.0,0.0,0.0,10.0
dc,maggie,0.18181818181818182,0.16666666666666666,0.17391304347826086,12.0
dc,accuracy,0.17894736842105263,0.17894736842105263,0.17894736842105263,0.17894736842105263
dc,macro avg,0.14061363636363639,0.1396190476190476,0.13794050343249425,95.0
dc,weighted avg,0.1854007177033493,0.17894736842105263,0.1787546669878357,95.0
