model,labels,precision,recall,f1-score,support
knn,bart,0.6037735849056604,0.9142857142857143,0.7272727272727272,35.0
knn,homer,0.631578947368421,0.48,0.5454545454545454,25.0
knn,lisa,0.3333333333333333,0.23076923076923078,0.27272727272727276,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.25,0.25,0.25,12.0
knn,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
knn,macro avg,0.36373717312148296,0.375010989010989,0.359090909090909,95.0
knn,weighted avg,0.46584086830781024,0.5263157894736842,0.4803827751196172,95.0
nb,bart,0.5098039215686274,0.7428571428571429,0.6046511627906976,35.0
nb,homer,0.4482758620689655,0.52,0.48148148148148145,25.0
nb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
nb,marge,0.5,0.4,0.4444444444444445,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
nb,macro avg,0.3716159567275186,0.3633406593406593,0.35055986218776913,95.0
nb,weighted avg,0.4131582505960642,0.47368421052631576,0.4266648533478398,95.0
lsvc,bart,0.56,0.8,0.6588235294117648,35.0
lsvc,homer,0.5357142857142857,0.6,0.5660377358490566,25.0
lsvc,lisa,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
lsvc,marge,0.4,0.2,0.26666666666666666,10.0
lsvc,maggie,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
lsvc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
lsvc,macro avg,0.41025396825396826,0.3674358974358974,0.36133588941580064,95.0
lsvc,weighted avg,0.46191311612364244,0.5052631578947369,0.4614744205888549,95.0
svc,bart,0.5185185185185185,0.8,0.6292134831460674,35.0
svc,homer,0.48717948717948717,0.76,0.59375,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
svc,macro avg,0.30113960113960114,0.3273846153846154,0.27125936329588013,95.0
svc,weighted avg,0.38765931923826663,0.5052631578947369,0.40631110782574414,95.0
lr,bart,0.5686274509803921,0.8285714285714286,0.6744186046511628,35.0
lr,homer,0.6296296296296297,0.68,0.6538461538461539,25.0
lr,lisa,0.375,0.23076923076923078,0.2857142857142857,13.0
lr,marge,0.4,0.2,0.26666666666666666,10.0
lr,maggie,0.0,0.0,0.0,12.0
lr,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
lr,macro avg,0.39465141612200433,0.3878681318681319,0.3761291421756538,95.0
lr,weighted avg,0.4686073844742575,0.5368421052631579,0.487702709367336,95.0
rf,bart,0.5344827586206896,0.8857142857142857,0.6666666666666667,35.0
rf,homer,0.5,0.56,0.5283018867924528,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
