model,labels,precision,recall,f1-score,support
knn,bart,0.5686274509803921,0.8285714285714286,0.6744186046511628,35.0
knn,homer,0.47368421052631576,0.36,0.40909090909090906,25.0
knn,lisa,0.3125,0.38461538461538464,0.3448275862068966,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.5714285714285714,0.3333333333333333,0.4210526315789474,12.0
knn,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
knn,macro avg,0.38524804658705586,0.3813040293040293,0.3698779463055831,95.0
knn,weighted avg,0.4490916726801524,0.49473684210526314,0.45649804304947844,95.0
nb,bart,0.5116279069767442,0.6285714285714286,0.5641025641025641,35.0
nb,homer,0.4482758620689655,0.52,0.48148148148148145,25.0
nb,lisa,0.2857142857142857,0.15384615384615385,0.2,13.0
nb,marge,0.125,0.1,0.11111111111111112,10.0
nb,maggie,0.125,0.08333333333333333,0.1,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.29912361095199913,0.29715018315018316,0.29133903133903133,95.0
nb,weighted avg,0.3745069369494305,0.4105263157894737,0.38622881991303054,95.0
lsvc,bart,0.6097560975609756,0.7142857142857143,0.6578947368421052,35.0
lsvc,homer,0.56,0.56,0.56,25.0
lsvc,lisa,0.5555555555555556,0.7692307692307693,0.6451612903225806,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
lsvc,accuracy,0.6,0.6,0.6,0.6
lsvc,macro avg,0.5228401084010841,0.54203663003663,0.5249921578138895,95.0
lsvc,weighted avg,0.5603194979318215,0.6,0.5742765232265724,95.0
svc,bart,0.5555555555555556,0.7142857142857143,0.6250000000000001,35.0
svc,homer,0.4375,0.84,0.5753424657534247,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
svc,macro avg,0.2986111111111111,0.3262417582417582,0.26673515981735163,95.0
svc,weighted avg,0.38823099415204676,0.49473684210526314,0.3999146839701995,95.0
lr,bart,0.5471698113207547,0.8285714285714286,0.6590909090909092,35.0
lr,homer,0.48,0.48,0.48,25.0
lr,lisa,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.625,0.4166666666666667,0.5,12.0
lr,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
lr,macro avg,0.3971006289308176,0.3758168498168498,0.36992344497607654,95.0
lr,weighted avg,0.452466070837471,0.5052631578947369,0.46110551498363134,95.0
rf,bart,0.44594594594594594,0.9428571428571428,0.6055045871559633,35.0
rf,homer,0.4,0.24,0.3,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
rf,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
rf,macro avg,0.40918918918918923,0.2686227106227106,0.2332017577673271,95.0
rf,weighted avg,0.43166429587482225,0.43157894736842106,0.33643755908930445,95.0
lgbm,bart,0.5238095238095238,0.9428571428571428,0.673469387755102,35.0
lgbm,homer,0.7727272727272727,0.68,0.7234042553191491,25.0
lgbm,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
lgbm,marge,0.5,0.1,0.16666666666666669,10.0
lgbm,maggie,0.5,0.25,0.3333333333333333,12.0
lgbm,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
lgbm,macro avg,0.6593073593073593,0.42534065934065934,0.4327080619481835,95.0
lgbm,weighted avg,0.6489633173843701,0.5894736842105263,0.5346301925025329,95.0
xgb,bart,0.532258064516129,0.9428571428571428,0.6804123711340205,35.0
xgb,homer,0.7619047619047619,0.64,0.6956521739130435,25.0
xgb,lisa,1.0,0.15384615384615385,0.2666666666666667,13.0
xgb,marge,0.5,0.1,0.16666666666666669,10.0
xgb,maggie,0.5,0.3333333333333333,0.4,12.0
xgb,accuracy,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263
xgb,macro avg,0.6588325652841782,0.434007326007326,0.4418795756760795,95.0
xgb,weighted avg,0.6492279084808796,0.5894736842105263,0.5383060070615805,95.0
ab,bart,0.5636363636363636,0.8857142857142857,0.6888888888888889,35.0
ab,homer,0.75,0.72,0.7346938775510204,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,1.0,0.75,0.8571428571428571,12.0
ab,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
ab,macro avg,0.4627272727272727,0.4711428571428572,0.45614512471655333,95.0
ab,weighted avg,0.5313397129186603,0.6105263157894737,0.5554123403747464,95.0
et,bart,0.4714285714285714,0.9428571428571428,0.6285714285714287,35.0
et,homer,0.55,0.44,0.48888888888888893,25.0
et,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.25,0.08333333333333333,0.125,12.0
et,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
et,macro avg,0.4542857142857143,0.30862271062271057,0.27706349206349207,95.0
et,weighted avg,0.4868421052631579,0.4842105263157895,0.3955722639933167,95.0
mlp,bart,0.6136363636363636,0.7714285714285715,0.6835443037974683,35.0
mlp,homer,0.5,0.56,0.5283018867924528,25.0
mlp,lisa,0.5,0.5384615384615384,0.5185185185185186,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
mlp,accuracy,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789
mlp,macro avg,0.4941558441558442,0.47397802197802197,0.4723887312953721,95.0
mlp,weighted avg,0.5343472317156528,0.5684210526315789,0.5415924832829948,95.0
dc,bart,0.4444444444444444,0.34285714285714286,0.3870967741935484,35.0
dc,homer,0.34782608695652173,0.32,0.3333333333333333,25.0
dc,lisa,0.14285714285714285,0.15384615384615385,0.14814814814814817,13.0
dc,marge,0.23076923076923078,0.3,0.2608695652173913,10.0
dc,maggie,0.1111111111111111,0.16666666666666666,0.13333333333333333,12.0
dc,accuracy,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.28421052631578947
dc,macro avg,0.2554016032276902,0.25667399267399266,0.2525562308451509,95.0
dc,weighted avg,0.3131513287119694,0.28421052631578947,0.2949088632442881,95.0
