model,labels,precision,recall,f1-score,support
knn,bart,0.7407407407407407,0.5714285714285714,0.6451612903225806,35.0
knn,homer,0.4074074074074074,0.44,0.4230769230769231,25.0
knn,lisa,0.35,0.5384615384615384,0.4242424242424242,13.0
knn,marge,0.5,0.2,0.28571428571428575,10.0
knn,maggie,0.17647058823529413,0.25,0.20689655172413793,12.0
knn,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
knn,macro avg,0.43492374727668837,0.39997802197802196,0.3970182950160703,95.0
knn,weighted avg,0.5029342965256277,0.45263157894736844,0.4632907498020783,95.0
nb,bart,0.4222222222222222,0.5428571428571428,0.47500000000000003,35.0
nb,homer,0.21428571428571427,0.12,0.15384615384615383,25.0
nb,lisa,0.18181818181818182,0.15384615384615385,0.16666666666666669,13.0
nb,marge,0.2857142857142857,0.4,0.3333333333333333,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.29473684210526313,0.29473684210526313,0.29473684210526313,0.29473684210526313
nb,macro avg,0.22080808080808084,0.24334065934065935,0.22576923076923078,95.0
nb,weighted avg,0.26690210374420903,0.29473684210526313,0.27338056680161943,95.0
lsvc,bart,0.5641025641025641,0.6285714285714286,0.5945945945945945,35.0
lsvc,homer,0.42857142857142855,0.36,0.391304347826087,25.0
lsvc,lisa,0.22727272727272727,0.38461538461538464,0.2857142857142857,13.0
lsvc,marge,0.42857142857142855,0.3,0.3529411764705882,10.0
lsvc,maggie,0.0,0.0,0.0,12.0
lsvc,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
lsvc,macro avg,0.3297036297036297,0.33463736263736266,0.3249108809211111,95.0
lsvc,weighted avg,0.3968224757698442,0.4105263157894737,0.39828544195215343,95.0
svc,bart,0.5,0.6285714285714286,0.5569620253164557,35.0
svc,homer,0.40816326530612246,0.8,0.5405405405405406,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
svc,macro avg,0.1816326530612245,0.2857142857142857,0.21950051317139926,95.0
svc,weighted avg,0.2916219119226638,0.4421052631578947,0.347444046311468,95.0
lr,bart,0.5227272727272727,0.6571428571428571,0.5822784810126581,35.0
lr,homer,0.43478260869565216,0.4,0.41666666666666663,25.0
lr,lisa,0.13333333333333333,0.15384615384615385,0.14285714285714288,13.0
lr,marge,0.3333333333333333,0.3,0.3157894736842105,10.0
lr,maggie,0.0,0.0,0.0,12.0
lr,accuracy,0.4,0.4,0.4,0.4
lr,macro avg,0.28483530961791825,0.30219780219780223,0.29151835284413563,95.0
lr,weighted avg,0.3603335413632896,0.4,0.37696264311678584,95.0
rf,bart,0.5614035087719298,0.9142857142857143,0.6956521739130436,35.0
rf,homer,0.6,0.6,0.6,25.0
rf,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
rf,marge,0.5,0.2,0.28571428571428575,10.0
rf,maggie,0.5,0.16666666666666666,0.25,12.0
rf,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
rf,macro avg,0.512280701754386,0.40695970695970696,0.41071773636991027,95.0
rf,weighted avg,0.5352539242843952,0.5578947368421052,0.506251135084087,95.0
lgbm,bart,0.5818181818181818,0.9142857142857143,0.7111111111111111,35.0
lgbm,homer,0.48148148148148145,0.52,0.5,25.0
lgbm,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
lgbm,marge,0.25,0.1,0.14285714285714288,10.0
lgbm,maggie,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
lgbm,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lgbm,macro avg,0.46265993265993266,0.3709597069597069,0.36523809523809525,95.0
lgbm,weighted avg,0.5007088428141059,0.5263157894736842,0.47088554720133663,95.0
xgb,bart,0.5961538461538461,0.8857142857142857,0.7126436781609196,35.0
xgb,homer,0.52,0.52,0.52,25.0
xgb,lisa,0.3333333333333333,0.23076923076923078,0.27272727272727276,13.0
xgb,marge,0.5,0.2,0.28571428571428575,10.0
xgb,maggie,0.6,0.25,0.35294117647058826,12.0
xgb,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
xgb,macro avg,0.5098974358974359,0.4172967032967033,0.42880528261461326,95.0
xgb,weighted avg,0.5305128205128204,0.5473684210526316,0.5113728447987015,95.0
ab,bart,0.5609756097560976,0.6571428571428571,0.605263157894737,35.0
ab,homer,0.4666666666666667,0.56,0.509090909090909,25.0
ab,lisa,0.45454545454545453,0.38461538461538464,0.41666666666666663,13.0
ab,marge,0.2222222222222222,0.2,0.2105263157894737,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
ab,macro avg,0.3408819906380883,0.36035164835164835,0.34830940988835724,95.0
ab,weighted avg,0.4150750119941391,0.4631578947368421,0.436141190296315,95.0
et,bart,0.5,0.9428571428571428,0.6534653465346535,35.0
et,homer,0.631578947368421,0.48,0.5454545454545454,25.0
et,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
et,marge,0.5,0.1,0.16666666666666669,10.0
et,maggie,0.25,0.08333333333333333,0.125,12.0
et,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
et,macro avg,0.42631578947368426,0.3366227106227106,0.32164672349587903,95.0
et,weighted avg,0.46883656509695293,0.5052631578947369,0.43372346522577954,95.0
mlp,bart,0.5102040816326531,0.7142857142857143,0.5952380952380952,35.0
mlp,homer,0.42857142857142855,0.36,0.391304347826087,25.0
mlp,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
mlp,marge,0.3,0.3,0.3,10.0
mlp,maggie,0.0,0.0,0.0,12.0
mlp,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
mlp,macro avg,0.2785243328100471,0.3056263736263736,0.2880777193820672,95.0
mlp,weighted avg,0.3533834586466165,0.4105263157894737,0.37490465293668956,95.0
dc,bart,0.4722222222222222,0.4857142857142857,0.47887323943661975,35.0
dc,homer,0.29411764705882354,0.4,0.33898305084745767,25.0
dc,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
dc,marge,0.3333333333333333,0.2,0.25,10.0
dc,maggie,0.125,0.08333333333333333,0.1,12.0
dc,accuracy,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.3263157894736842
dc,macro avg,0.263116458704694,0.24919413919413916,0.25023792472348216,95.0
dc,weighted avg,0.314693373362104,0.3263157894736842,0.3159839261558049,95.0
