model,labels,precision,recall,f1-score,support
knn,bart,0.5,0.9142857142857143,0.6464646464646465,35.0
knn,homer,0.5384615384615384,0.28,0.3684210526315789,25.0
knn,lisa,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
knn,marge,1.0,0.1,0.18181818181818182,10.0
knn,maggie,0.125,0.08333333333333333,0.1,12.0
knn,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
knn,macro avg,0.4771367521367521,0.3062930402930403,0.29570441254651786,95.0
knn,weighted avg,0.4773729194781826,0.45263157894736844,0.3917748118302136,95.0
nb,bart,0.4827586206896552,0.8,0.6021505376344086,35.0
nb,homer,0.5,0.44,0.46808510638297873,25.0
nb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
nb,marge,0.5,0.2,0.28571428571428575,10.0
nb,maggie,0.16666666666666666,0.08333333333333333,0.1111111111111111,12.0
nb,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
nb,macro avg,0.40988505747126436,0.3354358974358974,0.3378566526130013,95.0
nb,weighted avg,0.4378584392014519,0.4631578947368421,0.4195448584857247,95.0
lsvc,bart,0.6041666666666666,0.8285714285714286,0.6987951807228916,35.0
lsvc,homer,0.6,0.6,0.6,25.0
lsvc,lisa,0.3,0.23076923076923078,0.2608695652173913,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
lsvc,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
lsvc,macro avg,0.5636904761904762,0.4752014652014652,0.4971961070827934,95.0
lsvc,weighted avg,0.5749185463659147,0.5789473684210527,0.5596307910190684,95.0
svc,bart,0.41975308641975306,0.9714285714285714,0.5862068965517241,35.0
svc,homer,0.7,0.28,0.4,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,1.0,0.1,0.18181818181818182,10.0
svc,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
svc,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
svc,macro avg,0.6239506172839506,0.28695238095238096,0.264374246443212,95.0
svc,weighted avg,0.57043534762833,0.45263157894736844,0.3598060741436422,95.0
lr,bart,0.5636363636363636,0.8857142857142857,0.6888888888888889,35.0
lr,homer,0.65,0.52,0.5777777777777778,25.0
lr,lisa,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
lr,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
lr,maggie,0.5,0.3333333333333333,0.4,12.0
lr,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
lr,macro avg,0.5205050505050505,0.41857875457875454,0.43123543123543123,95.0
lr,weighted avg,0.5424508240297713,0.5473684210526316,0.5136433157485789,95.0
rf,bart,0.5,0.9428571428571428,0.6534653465346535,35.0
rf,homer,0.43478260869565216,0.4,0.41666666666666663,25.0
rf,lisa,1.0,0.07692307692307693,0.14285714285714288,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
rf,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
rf,macro avg,0.4269565217391304,0.3006227106227106,0.26612724297639845,95.0
rf,weighted avg,0.46073226544622425,0.47368421052631576,0.38480906693057626,95.0
lgbm,bart,0.576271186440678,0.9714285714285714,0.723404255319149,35.0
lgbm,homer,0.5714285714285714,0.64,0.6037735849056605,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
lgbm,marge,1.0,0.1,0.18181818181818182,10.0
lgbm,maggie,0.5,0.16666666666666666,0.25,12.0
lgbm,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lgbm,macro avg,0.5295399515738499,0.37561904761904763,0.3517992044085983,95.0
lgbm,weighted avg,0.5311074295909265,0.5578947368421052,0.4761228460736163,95.0
xgb,bart,0.5161290322580645,0.9142857142857143,0.6597938144329898,35.0
xgb,homer,0.6,0.6,0.6,25.0
xgb,lisa,0.0,0.0,0.0,13.0
xgb,marge,0.0,0.0,0.0,10.0
xgb,maggie,0.5714285714285714,0.3333333333333333,0.4210526315789474,12.0
xgb,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
xgb,macro avg,0.3375115207373272,0.3695238095238095,0.3361692892023874,95.0
xgb,weighted avg,0.4202279893281591,0.5368421052631579,0.45416226404317905,95.0
ab,bart,0.5,0.2,0.28571428571428575,35.0
ab,homer,0.27692307692307694,0.72,0.4,25.0
ab,lisa,0.18181818181818182,0.15384615384615385,0.16666666666666669,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.28421052631578947
ab,macro avg,0.19174825174825175,0.21476923076923074,0.1704761904761905,95.0
ab,weighted avg,0.2819654030180346,0.28421052631578947,0.23333333333333334,95.0
et,bart,0.5396825396825397,0.9714285714285714,0.6938775510204082,35.0
et,homer,0.5,0.52,0.5098039215686274,25.0
et,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
et,macro avg,0.3079365079365079,0.3136703296703297,0.26740296118447376,95.0
et,weighted avg,0.3988304093567251,0.5052631578947369,0.40804363850803477,95.0
mlp,bart,0.6122448979591837,0.8571428571428571,0.7142857142857143,35.0
mlp,homer,0.5416666666666666,0.52,0.5306122448979592,25.0
mlp,lisa,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
mlp,marge,0.6,0.3,0.4,10.0
mlp,maggie,0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0
mlp,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
mlp,macro avg,0.4750247371675943,0.4341465201465201,0.43698874515481256,95.0
mlp,weighted avg,0.5114889496468443,0.5473684210526316,0.5142222997834566,95.0
dc,bart,0.17391304347826086,0.11428571428571428,0.13793103448275862,35.0
dc,homer,0.25,0.28,0.2641509433962264,25.0
dc,lisa,0.058823529411764705,0.07692307692307693,0.06666666666666667,13.0
dc,marge,0.13333333333333333,0.2,0.16,10.0
dc,maggie,0.25,0.25,0.25,12.0
dc,accuracy,0.17894736842105263,0.17894736842105263,0.17894736842105263,0.17894736842105263
dc,macro avg,0.17321398124467177,0.18424175824175823,0.17574972890913035,95.0
dc,weighted avg,0.1835262709202674,0.17894736842105263,0.17787396272072503,95.0
