model,labels,precision,recall,f1-score,support
knn,bart,0.6,0.34285714285714286,0.43636363636363634,35.0
knn,homer,0.5263157894736842,0.8,0.6349206349206348,25.0
knn,lisa,0.35714285714285715,0.38461538461538464,0.3703703703703704,13.0
knn,marge,0.8571428571428571,0.6,0.7058823529411764,10.0
knn,maggie,0.625,0.8333333333333334,0.7142857142857143,12.0
knn,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
knn,macro avg,0.5931203007518797,0.5921611721611721,0.5723645417763065,95.0
knn,weighted avg,0.577601899485556,0.5578947368421052,0.5430611585410346,95.0
nb,bart,0.3409090909090909,0.42857142857142855,0.379746835443038,35.0
nb,homer,0.3142857142857143,0.44,0.3666666666666667,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.3333333333333333,0.3,0.3157894736842105,10.0
nb,maggie,0.2857142857142857,0.16666666666666666,0.2105263157894737,12.0
nb,accuracy,0.3263157894736842,0.3263157894736842,0.3263157894736842,0.3263157894736842
nb,macro avg,0.25484848484848477,0.2670476190476191,0.25454585831667775,95.0
nb,weighted avg,0.2794827979038505,0.3263157894736842,0.29623175193146095,95.0
lsvc,bart,0.5128205128205128,0.5714285714285714,0.5405405405405405,35.0
lsvc,homer,0.4,0.32,0.35555555555555557,25.0
lsvc,lisa,0.45,0.6923076923076923,0.5454545454545455,13.0
lsvc,marge,0.8571428571428571,0.6,0.7058823529411764,10.0
lsvc,maggie,0.6666666666666666,0.5,0.5714285714285715,12.0
lsvc,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lsvc,macro avg,0.5773260073260074,0.5367472527472528,0.5437723131840779,95.0
lsvc,weighted avg,0.5302120686331213,0.5157894736842106,0.5138387714239108,95.0
svc,bart,0.4305555555555556,0.8857142857142857,0.5794392523364487,35.0
svc,homer,0.5,0.2,0.28571428571428575,25.0
svc,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
svc,marge,1.0,0.5,0.6666666666666666,10.0
svc,maggie,0.8,0.3333333333333333,0.47058823529411764,12.0
svc,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
svc,macro avg,0.6794444444444444,0.4145787545787546,0.45048168800230376,95.0
svc,weighted avg,0.5877485380116959,0.49473684210526314,0.4524942785771465,95.0
lr,bart,0.525,0.6,0.56,35.0
